ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4563,"","I'm in a bad mood. Go away or I'll hack your
account.","……幹嘛。我現在心情很不好，
還不趕快給我滾，再不滾我就要盜取你帳號了啊！","","…뭐냐, 너. 지금 기분 나쁘니까
냉큼 딴 데로 가라, 계정 사냥하기 전에","Ich habe gerade schlechte Laune. Geh weg oder
ich hacke deinen Account."
1,4564,"","Everyone's been extra vigilant since the account
raiding rumors. I haven't been able to find any
targets. I'm starting to run low on funds.","帳號狩獵的傳聞傳開之後，大家都變得很謹慎，
很難找到肥羊了啊……唉，錢包很寂寞呢。","","계정 사냥 소문이 퍼지고 난 후, 모두 경계해서
좀처럼 봉이 보이질 않아…하아, 지갑이 굶고 있어","Seit den Gerüchten zum Kontendiebstahl sind alle
besonders wachsam. Deshalb konnte ich keine
Opfer finden. Langsam wird das Geld knapp."
100,4565,"","I heard there's a new Demon group, but this place
looks completely deserted.","聽說新生惡魔亂舞好像開始有動作了……
看來這裡只是空殼啊。","","신생 데몬즈라는 것이 움직이는 것 같다고 들었는데…
아무래도 여기는 이미 빈껍데기인 모양이네","Ich habe gehört, dass es eine neue Demons-Gruppe
gibt, aber hier ist ja völlig tote Hose."
200,9179,"","Hudie? What happened with you and the leader?","hudie啊……
你們的隊長，究竟怎麼了啊……","","후디에인가…
너희 쪽 리더, 어떻게 된 거냐고…","Hudie? Was ist mit dir und dem Anführer geschehen?"
201,9179,"","He showed up out of nowhere and went on a rampage.
The guy must have a screw loose.","突然出現就算了，還隨心所欲的亂來……
可惡……那個混蛋，實在是太不可理喻了。","","갑자기 나타나서, 손에 집히는 대로 날뛰기 시작했어…
제길…그 자식, 마구잡이잖아","Er ist urplötzlich aufgetaucht und durchgedreht.
Der Typ muss eine Schraube locker haben."
202,9180,"","K and Ryuji Mishima had a battle, but K suddenly
started acting really strange.","K和御島龍司之前在戰鬥，
但K的情況突然變得很奇怪……","","K와 미시마 류지의 배틀이 되어버렸는데
K의 상태가 갑자기 이상해져 버렸어…","K und Ryuji Mishima haben gekämpft, aber K hat
sich ganz plötzlich sehr seltsam verhalten."
203,9180,"","It was as if I was talking to a different person.
Then before I knew it, K and Mishima were gone.","就像是，在跟什麼其他的東西對話一樣……
總、總而言之，回過神來時K跟御島都不見了……","","마치, 뭔가 다른 녀석과 말하고 있는 것처럼……
어, 어쨌든, 깨닫고 보니 K도 미시마도 없어져 버렸었어…","Mir kam es vor, als ob ich mit einer anderen
Person rede. Bevor ich wusste, was geschah, waren
K und Mishima verschwunden."
204,9181,"","K's true identity? No one knows that. I heard he
collects lots of accounts from somewhere, so
Jimiken gave him a high position in the Demons.","K的真面目？　誰都不知道啊。
只知道他不曉得從何處蒐集到了大量的帳號，
被吉米肯重用，讓他成為惡魔亂舞的副幹部。","","K의 정체? 그런 건 아무도 모르죠
어딘가에서 계정을 대량으로 모아오니까
지미켄이 애지중지하며 데몬즈의 부간부로 삼았다고 해요","Die echte Identität von K? Die kennt niemand. Er
soll wohl irgendwo viele Konten sammeln. Daher gab
Jimiken ihm eine gute Position bei den Demons."
205,9181,"","Rumor has it that Hosaka used a pathological
account collector. As long as they have the
skills, their true identity doesn't matter.","根據傳聞，他好像還利用了一位叫做保坂的
病態帳號收藏家……只要有能力，我們的領導者
真面目究竟是誰，根本不重要。","","소문으론, 호사카라는 병적인 계정 컬렉터를 이용했다는 
모양이지만… 실력만 있다면 저희는 우두머리의
정체 따위 아무래도 좋아요","Gerüchten zufolge hat Hosaka einen pathologischen
Account-Sammler eingesetzt. Seine wahre Identität
ist egal. Hauptsache, er kann was."
206,9182,"","We want to ask where K went. He has the ability to
make back doors anywhere he wants.","你問我K跑去哪了，我們才想問咧……
那傢伙不論在哪都能夠自由製作出後門。","","K가 어디로 갔냐니 오히려 우리가 묻고 싶은데…
그 녀석은 어디든 자유롭게 뒷문(백 도어)을 만들거든","Wir wollten fragen, wo K hin ist. Er kann
jederzeit und überall Hintertüren öffnen."
207,9182,"","That must be how he got away. He abandoned us.","反正，一定是用同個手法來逃走了吧？
可惡，竟然把我們給丟在這裡……","","어차피, 같은 수법으로 도망친 거 아닐까?
젠장, 우리를 놔두고 가버리다니…","So ist er sicher auch entkommen. Er hat uns im
Stich gelassen."
