ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,3002,"","You've got some guts invading our turf! We'll make
you regret picking a fight with us!","你，竟然敢來我們的地盤搗亂還真是有膽量啊！
要讓你後悔，當初來找我們的碴啊！！！","","너, 우리 구역을 망치다니 배짱도 참 좋구만!
우리한테 싸움을 건 걸 후회하게 해주마아아아아!!","Ihr habt ja Nerven, in unserem Revier
aufzukreuzen! Es wird euch leidtun, dass ihr euch
mit uns angelegt habt!"
1,3002,"","Don't get cocky! I'll crush you like the loser you
are!","你不要給我太得意忘形喔，啊啊！？
你那若無其事的路人臉，看我還不把它給弄爛！！","","이 자식 기어오르지 말라고, 아앙!?
그 점잖은 척하는 잔챙이 얼굴, 와지끈 부숴주겠어!!","Werd bloß nicht frech!
Ich werde dich zermalmen, du Loser!"
2,3002,"","A strong hacker means strong Digimon! I'll show
you just how strong I am, you pipsqueak!","只有在健全的駭客下，才能夠培育出健全的
數碼寶貝！就讓我來教教你這像豆芽菜一樣
的傢伙吧！","","건전한 해커 밑에서 건전한 디지몬이 자란다!
약해빠진 네게 가르쳐주마!","Starke Hacker haben starke Digimon! Ich werde
dir zeigen, wie stark ich bin, du Winzling!"
3,9366,"","We're the strongest and meanest in EDEN! We are
Dinosaurists! We'll make you feel true fear!","我們是EDEN最強最可怕的！　「恐龍教」！
就讓你徹底瞧瞧我們的厲害！！","","EDEN 최강이며 가장 무서운!「다이노소어교」다!
뼛속까지 맛봐주겠어!!","Wir sind die stärksten und gemeinsten in EDEN!
Wir sind Dinosauristen! Wir zeigen dir, was
Angst ist!"
4,9159,"","Our burning passion is unstoppable! Team Firepower
will scorch the enemy!","燃燒炙熱胸口的這份氣勢，任誰也無法阻止！
隊伍「火焰熱力」猶如爆裂般地燃燒吧！","","뜨겁게 가슴을 태우는 이 정열의 기세는 아무도 막을 수 없어!
팀「파이어 파워즈」폭렬적으로 불태우겠어!","Unsere brennende Leidenschaft ist nicht
aufzuhalten! Team Firepower wird den Feind
einäschern!"
5,9164,"","Check out my awesome muscles, brah! They're
itching for a workout! You think you can handle
Muscle Gym?!","寄宿在鍛鍊肌肉的強悍靈魂！
揮灑的汗水相當美麗！
「肌肉健身房」，登場！！","","단련된 근육에 깃드는 것은 강인한 영혼!
날리는 땀은 아름답다!「머슬 짐」, 간다!!","Zieh dir meine Muckis rein! Die juckt es nach
einem Workout! Denkst du, du kommst gegen
Muscle Gym klar?!"
6,9157,"","Well, well, well. If it isn't Hudie's head honcho!
You're sorely mistaken if you think you stand a
chance against me!","什麼嘛，hudie的頭子沒來啊。
區區一個廢物，根本不是我的對手啊！！","","뭐야, 후디에의 톱이 나온 게 아닌 건가.
잔챙이 따윈 내 적수가 아니라고!!","Na sieh mal einer an. Wenn das nicht Hudies
Oberboss ist. Du irrst dich, wenn du glaubst,
du hättest eine Chance gegen mich!"
7,9157,"","How many of my friends did you defeat to get this
far? Never mind. It's time for me to see just how
good you really are!","來到這裡為止，你打倒了我多少伙伴啊？
沒關係啦。你的實力，就由我親自確認！","","여기에 오기까지 몇 명의 동료를 쓰러뜨린 거야?
뭐 됐어. 당신 실력은 내가 확인해주겠어!","Wie viele meiner Freunde hast du besiegt, um so
weit zu kommen? Egal. Jetzt will ich mal sehen,
wie gut du wirklich bist!"
8,9157,"","You really think you're a worthy match for me?
Come on then! Show me what you've got!","憑你也能當我的對手？
好吧，允許你上！！","","당신 따위가 날 상대할 수 있을까?
좋아, 덤벼봐!!","Du denkst wirklich, du bist ein würdiger Gegner
für mich? Dann mal los! Zeig mir, was du kannst!"
9,9157,"","There's strong and there's weak. We are Nakano
Stripes! We'll show you which one you are!","命運是劃清是非的黑與白……我們是
「中野條紋」！究竟哪邊比較強，
該來明辨黑白是非！","","운명은 빛과 어둠을 가른 백과 흑……우리「나카노 스트라이프스」!
어느 쪽이 강한지 흑백을 가려보자고!","Es gibt Starke und es gibt Schwache. Wir sind die
Nakano Stripes! Wir zeigen dir, zu welcher Sorte
du gehörst!"
10,9363,"","Rabbit Circle rules the night. And tonight, we
dance in celebration of your death.","在月夜的輝映下……閃耀神秘的兔子「兔籠」。
……今宵，與你共舞死之舞……","","달밤에 비춰지며……빛나는 신비의 토끼「래빗 서클」.
……오늘 밤, 당신과 죽음의 춤을 춰줄게……","Die Nacht gehört Rabbit Circle. Und heute Nacht
tanzen wir auf deinem Grab."
11,9360,"","We've shocked many a hacker! And today, Tokyo
Shock Groove will show you the time of your life!","在眾多的駭客的心上開一槍！！
「東京觸電嗨」，今天也要嗨起來喔喔喔──！！","","수많은 해커의 마음을 쇼킹!!
「도쿄 감전 그루브」, 오늘도 기운차게 간다~!!","Wir haben schon viele Hacker geschockt! Und heute
zeigt dir Tokyo Shock Groove die Show deines
Lebens!"
12,9365,"","So you're the one who invaded our territory.
Anyone who stands in our way must be eliminated.","在我們的地盤搗亂的人就是你嗎？
如果要打擾我們，只能在這驅逐你了。","","우리 구역을 어지럽히는 건 바로 너로군.
우릴 방해하겠다면 여기서 제거하도록 하겠어","Du bist also in unser Revier eingedrungen.
Wer uns im Weg steht, wird ausgeschaltet."
13,3002,"","You want to challenge me? I doubt I'll get any
interesting data from this.","你說想要挑戰我嗎？
這真是……感覺能取到無聊的數據呢。","","나한테 도전하겠다는 거야?
이거……시시한 데이터를 얻을 수 있겠군","Du willst mich herausfordern? Daraus werde ich
wohl kaum interessante Daten erhalten."
14,9369,"","We will purge cyberspace of stagnation and filth.
We are the Steam Dealers, protectors of order.","電腦世界的混濁及汙穢……必須淨化……哈啊。
秩序幕後的守護者「蒸氣領薪族」……哈啊。","","전뇌세계의 고인 물과 더러움을……정화하라……쉬익~
질서 이면의 수호자「스팀리맨」……쉬익~","Wir werden Stillstand und Schmutz aus dem
Cyberspace verbannen. Wir sind die Steam Dealers,
Wächter der Ordnung."
15,3002,"","We confront the contradictions of this world!
We strongly object to your battles.","我們是對抗這世界上矛盾的「尖刺與大盾」！
對你的戰鬥提出異議。","","이 세상의 모순에 맞서는 우린「호코타테」!
너의 배틀에 이의를 제기한다","Wir zeigen die Widersprüche dieser Welt auf!
Wir erheben ausdrücklich Einspruch gegen deine
Kämpfe."
16,9162,"","Us Wheel Lovers are never without our trusty
wheels! If you don't get out of the way, we'll mow
you down!","世界中的旅行都與輪圈共同！
我們是「輪圈愛好家」！！
不讓路的話，就把你給彈飛喔！","","세계여행을 휠과 함께! 우리「휠 애호가」!!
길을 비키지 않으면 날려버리겠어!","Wir Wheel Lovers sind nie unmotorisiert unterwegs!
Aus dem Weg, oder wir mähen dich nieder!"
17,3002,"","Hehehe, do you seriously think you can beat me?
You'll soon regret your naive optimism.","呼呼呼，你以為贏得了我嗎？
你那天真的想法，之後可會後悔喔。","","후후후, 나를 이길 수 있다고 생각하는 거니?
그 물러터진 생각, 나중에 후회하게 될 거야","Hehehe, glaubst du wirklich, du kannst mich
schlagen? Diesen blinden Optimismus wirst du bald
bereuen."
18,3002,"","This is no place for children. I'll teach you a
lesson for being so foolish.","這裡不是小朋友可以來的地方喔。
無知的你，就讓我來好好的懲罰你。","","여기는 어린애가 와도 되는 곳이 아니야
말귀를 못 알아먹는 네겐 내가 벌을 주도록 할게","Kinder gehören hier nicht hin. Ich werde dir
eine Lektion erteilen für deinen Leichtsinn."
19,9368,"","We are the healing flowers of EDEN. We are Legend
Angels! Hehehe, and now to send you to the
hospital!","於EDEN中盛開的治癒花朵，
我們是「傳說天使」。
呵呵呵，讓我送你進醫院吧。","","EDEN에 피는 치유의 꽃들, 우리는「레전드 천사」.
우후후, 당신을 병원으로 보내주도록 하겠어","Wir sind die heilenden Blumen EDENs. Die Legend
Angels! Hehehe, und jetzt ab ins Krankenhaus mit
dir!"
20,9151,"","We are the Ocean Animals! Like the raw power of
the waves, we are a force to be reckoned with!","海水的閃爍是夢的光芒。
「海洋動物群」，乘上網路的海浪！","","바다의 스팽글은 꿈의 반짝임.
「오션 애니멀즈」, 인터넷의 파도에 라이드 온!","Wir sind die Ocean Animals! Wir sind kraftvoll
wie die Wogen der See!"
21,9160,"","At one with the trees, now is the time we awaken
from our deep slumber. We are the Forest Girls!
Now feel our might!","與樹木一同沉睡，如今正是甦醒之時。
「森林女孩」，將解放這份思念。","","나무들과 함께 깊은 잠에서 지금이야말로 깨어날 때,
「포레스트 걸즈」, 지금 이 마음을 해방합니다","Wir sind eins mit den Bäumen. Jetzt ist die Zeit,
aus unserem Tiefschlaf zu erwachen! Wir sind
die Forest Girls! Spüre unsere Kraft!"
22,9167,"","A broad mind leads to great things. Now see just
what we can do.","心靈寬裕～時間充裕～
我們是「展翅高飛隊」喔～
讓你們看看大人的從容吧～","","마음의 여유는~ 시간의 여유~,「날개 편 부대」야~
어른의 여유를 보도록 해~","Eine offene Gesinnung schafft großartige
Möglichkeiten. Und jetzt schau nur, was wir
können."
23,3002,"","Mwahaha! We'll cover everything in poop! If you
try to stop us, we'll treat you like an enemy!","嗚哈哈哈哈！　讓你全身上下都沾滿那個！
想要阻止我的話，你就是敵人～！！","","우햐햐햐햐! 여기저기 그거투성이로 해주마!
방해한다면 너는 적이다~!!","Muahaha! Wir bedecken alles mit Kacke! Wenn du
versuchst, uns aufzuhalten, behandeln wir dich als
Feind!"
24,3002,"","People say poop is disgusting; they couldn't be
more wrong. We'll show you just how great it is!","大家都覺得那個東西很髒，這也太奇怪了！
好好領會一下那個的偉大性～！！","","모두 그거 따위 불결하다고 하는데, 이상하다고!
그것의 위대함을 깨달아라~!!","Die Leute sagen, Kacke wäre eklig. Da haben sie so
unrecht! Wir zeigen dir, wie toll die ist!"
25,9364,"","We love dirty Digimon! The Dust Alliance will make
you realize how amazing filth can be!","我們是最喜歡髒髒數碼寶貝的！！
「塵埃同盟」，來教教你汙物的厲害！！","","우리가 좋아하는! 더러운 디지몬!!
「더스트 동맹」이 오물의 굉장함을 가르쳐주마!!","Wir mögen dreckige Digimon! Die Dust Alliance
wird dir zeigen, wie schön Schmutz sein kann!"
26,3002,"","This is our castle! No loser boys allowed!","這裡是我們的城堡！
拒絕路人臉男子！","","여긴 우리 성이야!
얼굴이 흔해빠진 남자는 사양이라고!","Das ist unser Schloss! Kein Zutritt für doofe
Jungs!"
27,3002,"","I hate boys! They're loud, annoying, messy, and
gross!","男生真的都太討人厭了！！
又吵、又孩子氣、也不會打掃，
真是太糟糕了啦！","","남자 따위 정말 싫어!!
시끄럽고, 어린애고, 청소도 안 하고, 야만스러워!!","Ich hasse Jungs! Sie sind laut, nerven, machen
Schweinerei und sind eklig!"
28,9158,"","My heart races as I search for my destined prince!
Behold Young at Heart!","在小小的胸中懷抱著憧憬，
要去跟命運的王子殿下見面！
你也對「童心」著迷就好！！","","작은 가슴에 두근거림을 안고서 운명의 왕자님을 만나러 가겠어!
당신도「하트 오브 차일드」에 빠지도록 해!!","Mein Herz schlägt höher, wenn ich meinen mir
bestimmten Prinz suche! Seht: Young at Heart!"
29,3002,"","Oh, this customer here would like one of our
100,000-yen smiles! ...Now pay up or beat it!","這位主人大人，點了付費笑容一個☆
……是10萬元，付不起的話就給我快滾！！","","이쪽 주인니임, 유료 스마일 1개 주문입니다~♥
……10만엔, 낼 수 없으면 냉큼 나가!!","Oh, dieser Kunde hätte gerne ein Lächeln für
100 000 Yen! ... Jetzt bezahl oder mach die
Fliege!"
30,3002,"","Look at us. Be enchanted by our beauty! So now
you'll do whatever we say, right?!","給大哥哥，一個最特別的萌萌小愛心～☆
怎麼樣？　你已經對我們著迷了吧！？","","오빠한테, 스페셜한 모에모에 콩콩~♥
어때? 이걸로 이제 우리의 포로지!?","Sieh uns an. Lass dich von unserer Schönheit
verzaubern! Jetzt tust du, was wir sagen,
nicht wahr?!"
31,9361,"","Master, Cat Ears has been looking forward to your
arrival! It will be our pleasure to serve you!","盼望主人的愛撒嬌小貓咪，「萌萌貓耳」！
誠心誠意的為您服務喵☆","","주인님을 애타게 기다리는 어리광쟁이 아기고양이,「캣 이어」!
성심성의껏 봉사해드리겠습니다냥♥","Cat Ears hat deine Ankunft schon
erwartet! Es wird uns ein Vergnügen sein, dir zu
dienen!"
32,3002,"","You strike me as a fan of horror movies. I think
we're gonna get along. Wanna see my scary Digimon?","你該不會很喜歡恐怖片吧。我們好像很合……
就讓你看看我那恐怖的數碼寶貝吧？
……呵呵呵。","","당신, 혹시 호러 좋아하니? 마음이 맞을 것 같네…….
내 무서운 디지몬을 보여줄까? ……우후후","Du siehst aus, als würdest du Horrorfilme mögen.
Ich glaube, wir werden uns verstehen.
Willst du meine schaurigen Digimon sehen?"
33,3002,"","Do you want to see my true face? Maybe that can be
your reward if you beat me?","想看我的素顏嗎？
那這樣吧，如果你贏我的話，
我就作為獎勵給你看看吧～？","","내 민낯이 보고 싶어?
그럼 승부에서 이기면 상으로 보여주도록 할까~?","Willst du mein wahres Gesicht sehen?
Vielleicht zur Belohnung, falls du mich schlägst?"
34,9362,"","The Masked Maids embrace EDEN's dark side.
We'll give you a scare you won't soon forget!","與狂氣共同生存於EDEN中的闇系少女
「假面女僕」……
我會在你心中烙印下無法忘記的恐怖……！","","광기와 함께 EDEN을 살아가는 어둠 계열 소녀「마스크 메이드」…….
네 마음에 잊을 수 없는 공포를 새겨줄게……!","Die Masked Maids nehmen die dunkle Seite EDENs an.
Wir erschrecken dich so, dass du es nicht so
bald vergisst!"
35,3002,"","You've got some nerve challenging me! Let me show
you my unique approach to customer service!","哼～　竟敢挑戰兼職領班的我，
膽子還真大啊！可以呀，就讓你看看
我的終極“待客七大奧義”……！","","후훗, 알바 리더인 내게 도전하다니 좋은 배짱이네!
좋아, 내가 마스터한 ""접객 7대 오의""……보여주겠어!","Ganz schön dreist, mich herauszufordern! Ich zeige
dir meinen einzigartigen Ansatz beim
Kundendienst!"
36,3002,"","Are you the new part-timer? Let me warn you, I'm
very strict!","你就是新來的打工？
我們這裡很嚴格喔，做好心理準備吧！","","네가 신입 알바 군?
우리는 스파르타야. 각오하도록 해!","Bist du die neue Teilzeitkraft?
Ich warne dich, ich bin sehr streng!"
37,9166,"","For the best one-one-one, you can't beat 101! As
proprietress, my customer service is legendary!
Today is your lucky day!","最適合你喔♪　唯一就選「101」！
由我這鑽研待客服務的店長來當您的對手吧！","","당신에게 딱♪ 온리 원이라면「원 오 원」!
접객에 통달한 점장인 제가 당신을 상대해드리지요!","Hier bei 101 kennen wir das Einmaleins der
Kundenfreundlichkeit! Unsere ist legendär! Heute
ist dein Glückstag!"
38,3002,"","Shut your mouth, kid! You must be here for a
Digimon battle? It will be my pleasure.","閉嘴，小毛頭！
你是為了決鬥數碼寶貝才來到這的吧？
讓我來當你的對手吧。","","닥쳐라, 애송이가!
디지몬 승부를 하러 온 거겠지? 상대해주마","He, Mund zu! Du bist wohl wegen eines
Digimon-Kampfs hier? Wird mir ein Vergnügen."
39,3002,"","You want to displace a weak old man? The youth of
today are despicable. I'll defend this place to my
last breath.","是想從孱弱的老人那奪走生存的空間嗎？
最近的年輕人好可怕啊……我要死守這裡。","","허약한 노인이 있을 곳을 빼앗으려는 것이렷다?
요즘 젊은이들은 무섭구먼……여기는 사수하도록 하겠다","Du willst einem schwachen alten Mann seinen Platz
nehmen? Die Jugend von heute ist abscheulich.
Ich verteidige ihn bis zum letzten Atemzug."
40,9161,"","Our bodies may be frail, but our hearts are tough
as nails! We are Black Silver! You brat, I'll give
you a taste of defeat!","就算腳跟腰很沒力，內心卻無比強韌的「黑銀」！！
你這個小毛頭，讓我教你什麼是失敗的滋味啊。","","하반신은 약하지만 마음은 강인한「블랙 실버」!!
애송이, 네게 패배의 맛을 가르쳐주마","Unsere Körper sind zwar zerbrechlich, aber unsere
Herzen beinhart! Wir sind Black Silver! Du
Rotzlöffel, dir zeig ich, was eine Niederlage ist!"
41,3002,"","You there! You wanna hear how great my Digimon
are? Of course you do, right?","那邊的那位！　能不能聽聽看，
我家數碼寶貝的厲害呀？
當然會聽的對吧？ 對吧？","","거기 당신! 내 디지몬 자랑을 들어주겠어?
물론 들을 거지? 응?","He, du! Willst du hören, wie toll meine Digimon
sind? Klar willst du das, stimmt’s?"
42,9367,"","Our glasses conceal a burning passion! We are the
indomitable Akiba Flannel! Hahaha, you must be a
fool to challenge me!","隱藏在眼鏡深處的灼熱熱情。
「秋葉原格紋」！呼呼呼呼……
竟敢向鄙人決鬥，實在是愚蠢至極！","","안경 속에 감춰진 뜨거운 정열,「아키바 플란넬」!
듀후후후후……본인에게 승부를 걸다니 어리석도다!","Hinter unseren Brillen steckt loderndes Feuer!
Wir sind das unbezwingliche Akiba Flannel! Haha,
nur Narren fordern mich heraus!"
100,3002,"","How could a hacker be so strong? I wouldn't have
challenged you if I'd known!","竟、竟然有這麼強的駭客，這是騙人的吧！？
早知道就不要向你挑戰了……！","","이, 이렇게 강한 해커가 있다니 말도 안 돼!
알았더라면 안 덤볐을 텐데……!","Wie kann ein Hacker nur so stark sein? Hätte ich
das gewusst, hätte ich dich nicht herausgefordert!"
101,3002,"","Sorry, I guess I was the loser. I won't get cocky
again. Please forgive me!","……對不起，我才是路人。
我不會再得寸進尺了，請原諒我～！！","","……죄송합니다, 잔챙이는 제 쪽이었어요.
이제 안 까불 테니까 봐주세요~!!","Entschuldige, hier bin ich wohl der Loser. Ich
werde mich nicht mehr so aufspielen. Verzeih mir!"
102,3002,"","So it's me who didn't train enough... I need to
make a fresh start.","唔、訓練不足的人是我才對嗎……
先去重練一下再來……","","큭, 단련이 부족한 건 내 쪽인가…….
처음부터 다시 단련해야겠군……","Also habe ich wohl nicht genug trainiert ...
Ich muss noch mal von vorne anfangen."
