ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,5004,"","I haven't found them yet...
I'll try talking to some of the EDEN avatars here!","還沒有找到那兩人……
去問問在樓層裡的「EDEN化身」吧！","","아직 두 사람을 찾지 못했어…
플로어에 있는「EDEN 아바타」에게
말을 걸어 보자…！","Hm, noch nicht gefunden ...
Ich spreche mal mit ein paar EDEN-Avataren hier!"
1,5004,"","There's a guy who looks like a ""hacker"" hanging
around the entrance... Maybe he knows how to get
to Kowloon Galacta Park?","似乎有個像是「駭客」的男人正待在入口處那裡……
他會不會知道怎麼去「Kowloon的破銅爛鐵公園」呢？","","「해커」같은 남자가 엔트런스에 있는 모양이야…
「쿠롱의 잡동사니 공원」으로 가는 방법을 알고 있을까…?","Am Eingang hängt ein Typ herum, der wie ein
„Hacker“ aussieht ... Vielleicht weiß er, wie man
zum Galacta-Park in Kowloon kommt?"
2,5004,"","Now I've got Kowloon's URL... So I should be
able to get to Kowloon from the logout zone.","拿到了通往Kowloon的「URL」……
這樣應該就能從登出區前往Kowloon了。","","쿠롱의「URL」을 손에 넣었어…
이제 로그아웃 존을 통해서 쿠롱에 갈 수 있을 거야","Jetzt habe ich die URL von Kowloon ... also sollte
ich vom Ausloggbereich dorthin gelangen."
3,5004,"","I'd better hurry and meet them.","快點去找他們兩個吧。","","빨리 두 사람을 만나러 가자","Ich sollte mich lieber beeilen und zum Treffen
gehen."
100,3002,"","Lalalalaaaa! The saaad hummingbiiird!
Hm? That's the newest hit Jimiken single!
You should pick it up!","哼哼哼～♪　苦～戀～的～蜂～鳥～♪
啊，這是我現在超迷的「Jimmy Ken」的歌！
你也聽聽看嘛！","","훙훙후~웅♪　애~달프~은~ 허~밍 버~~드~♪
아, 이거 지금 엄청 빠져 있는「지미KEN」의 곡이야!
너도 한번 들어 봐!","Lalalalaaa! Der kurzlebige Kolibriii!
Hm? Das ist der neueste Hit von Jimiken!
Du solltest ihn dir holen!"
110,3006,"","Aren't you impatient. How 'bout you meet the
neighbors, and learn how cases work while
you're at it? Go check the whiteboard.","你是急性子嗎？
就請你在到處打招呼的同時，順便記住承接委託的方法吧。
你先確認一下白板上的內容。","","넌 성급한 건가?
인사를 하고 다니는 김에 의뢰의 구조도 배워 줘야겠다
화이트보드를 체크하도록","Sei doch nicht so ungeduldig. Lern die Nachbarn
kennen und erfahre dabei, wie Fälle ablaufen.
Sieh dir das Schwarze Brett an."
120,2000,"","Time to go meet people in the building.","現在就在館內到處跟人打招呼吧。","","지금은 관내에서 인사를 하고 다니자","Es wird Zeit, sich mit den Leuten im Gebäude zu
unterhalten."
130,2000,"","Uh-oh, don't want to get caught.
I guess I can't just walk on through...","要避開守衛的監視才能自由通過呢……","","보초에게 들키지 않도록 주의하지 않으면
자유롭게 빠져나갈 수 없겠어…","Hoppla, ich will nicht erwischt werden.
Einfach durchspazieren geht wohl nicht ..."
150,2000,"","A firewall put up by a hacker...
I don't know how to destroy it.
But I need to go after Arata...","由駭客寫出來的防火牆，
我無法破解……
現在就先去追新吧。","","해커가 만든 방화벽…
뚫는 방법을 모르겠어…
지금은, 아라타를 쫓아가자…","Eine Firewall von einem Hacker ...
Ich weiß nicht, wie ich die durchbreche.
Aber ich muss Arata folgen ..."
160,4247,"","Weren't you chasing those Digimon?","你不是要去追那群數碼寶貝嗎？","","저 디지몬들을 쫓아가는 거 아니었어?","Warst du nicht hinter diesen Digimon her?"
180,2000,"","So if I can get to where Arata is, I can get
out of here? Better take Nokia with me, then.","只要到新那裡，就能脫離了……？
既然如此，要連諾奇雅也一起帶過來才行！","","아라타에게 가면, 탈출할 수 있어…?
그렇다면, 노키아도 데려가야 해…!","Wenn ich da hinkomme, wo Arata ist, komme ich
hier raus? Dann sollte ich Nokia lieber mitnehmen."
185,2000,"","I can't go back...
I'll just have to continue.","回不去……
現在就試著前進吧……","","돌아갈 수 없어…
지금은, 앞으로 나아가 보자…","Ich kann nicht zurück ...
Ich muss einfach weitergehen."
188,2000,"","I can't logout in this form...
I've got to collect my avatar parts.","如果一直維持現在的模樣會無法登出……
得去收集化身用的零件才行！","","이 모습인 채로는, 로그아웃을 할 수 없어…
아바타 파츠를 모아야 해…!","So kann ich mich nicht ausloggen ...
Ich muss die Teile meines Avatars einsammeln."
189,2000,"","I can't leave until I've gotten
that data on EDEN Syndrome.","在拿到EDEN症候群的資料之前，
我不能回去……","","EDEN 증후군의 데이터를 손에 넣을 때까지
돌아갈 수는 없어…","Ich kann nicht gehen, bevor ich die Daten
zum EDEN-Syndrom habe."
190,2000,"","I can't go back now, Kishibe and the rest of them
might still be in there. Better get to the lobby
and meet up with Kyoko.","岸部那群人搞不好還在那裡，現在不能回去。
先回大廳去跟杏子姊會合吧……","","아직 키시베 일행이 있을지도 몰라… 지금은 돌아갈 수 없어
로비로 돌아가서, 쿄코 씨와 합류하자…","Dorthin kann ich jetzt nicht zurück. Kishibe und
die anderen sind vielleicht noch drin. Ich gehe
lieber in die Lobby und treffe mich mit Kyoko."
191,2000,"","If I leave now, I'll be caught by security!
I've got to get the data from the control room...","現在出去會被警衛發現！
必須到控制室去拿資料才行！","","지금 나갔다간 경비원에게 들켜…!
제어실에서 데이터를 손에 넣어야 해…!","Wenn ich jetzt gehe, erwischen mich die
Sicherheitsleute! Ich brauche die Daten aus dem
Kontrollraum ..."
199,2000,"","...I feel like there's someone I haven't met yet.
I'd better look around Broadway a little more.","……好像還有人沒打到招呼。
再稍微在BW館內跟人打招呼吧。","","…아직 인사를 하지 않은 사람이 있는 것 같아…
조금 더 BW 관내에서 인사를 하고 다니자","... Ich glaube, mir fehlt noch jemand. Ich sollte
mich noch ein wenig im Broadway umsehen."
200,3017,"","It's kinda cool having a detective as a buddy!","有個當偵探的朋友會讓人很興奮呢！","","탐정 친구가 있다니, 왠지 두근거리는걸!","Ziemlich cool, einen Detektiv zu kennen!"
210,2000,"","So there's no rumors about me?
I'd better ask around a little more.","再稍微打聽一會兒，看有沒有人在流傳自己的事。","","내 소문이 돌고 있는지… 조금 더 물어보고 다니자","Es gibt also keine Gerüchte über mich?
Ich sollte noch mehr Leute fragen."
300,2000,"","That woman is probably following me...
Better keep going.","那個女人搞不好已經追過來了……
先前進吧。","","그 여성 분이 뒤쫓아 왔을지도 몰라…
앞으로 나아가자","Die Frau folgt mir vermutlich ...
Ich gehe lieber weiter."
500,3014,"","Hold up, hold up! Where're you going!?
We've still gotta show that Barbawhatsit what for!","喂喂～！！你為什麼想轉身離開啊！？
你應該要好好修理巴爾巴爾吧！？","","잠깐잠깐~!! 왜 돌아가려고 그래!?
발발이를 너덜너덜하게 해 주기로 했잖아―!?","He, he, warte! Wo willst du hin?! Wir müssen
erst diesem Barbatypen eins auf die Rübe geben!"
600,3005,"","Hey, are you really just walking away?
C'mon, let's check out what's further in,
we might figure something out.","喂喂，你是打算就這樣放著不管喔？
先試著調查深處吧。搞不好會知道些什麼。","","야야, 이대로 방치해 두고 가려는 거냐
안쪽을 조사해 보자. 뭔가 알아낼 수 있을지도 모르니까","He, du gehst einfach? Schauen wir doch weiter
rein, vielleicht fällt uns was ein."
800,3005,"","Hey, don't tell me you're getting cold feet.
C'mon, we can't just let this lie.","喂喂，你是現在才覺得害怕嗎？
先試著前進吧，總不能放著這件事不管吧？","","야야, 이제 와서 겁먹은 거야?
나아가 보자고, 내버려 둘 수도 없잖아","He, dich verlässt doch nicht etwa der Mut.
Komm schon, wir können das nicht einfach
ruhen lassen."
810,2000,"","I've never seen such a massive network before...
Let's head inside.","我還是第一次來到這麼大的網路裡……
就試著前進吧。","","이렇게 커다란 네트워크는 처음이야…
앞으로 나아가 보자","So ein riesiges Netzwerk habe ich noch nie
gesehen ... Gehen wir rein."
850,3005,"","Hey, we've still got work to do. You're not going
back now that we've come this far, are you?","喂喂，工作可還沒有完成哦。
事到如今，你應該不會說你想回去吧？","","야야, 아직 일은 끝나지 않았다고
여기까지 와서, 돌아가겠다고는 하지 않겠지?","He, wir haben immer noch zu tun. Du willst doch
nicht jetzt noch umdrehen, oder?"
900,3003,"",".........I...I'm right here...
Were you planning on going in without me?","………………我明明就在這裡，
你打算無視我往前走嗎……","","………………제가 여기에 있는데
무시하고 앞으로 가실 생각인가요…","... Ich stehe direkt vor dir ...
Wolltest du ohne mich reingehen?"
1000,2100,"","Welcome...
But we aren't open just yet, sorry.","歡迎光臨。
不好意思，我們還沒有開始營業。","","어서 오세요
죄송해요, 아직 준비중이에요","Willkommen ...
Aber wir haben noch nicht geöffnet, tut mir leid."
1010,2100,"","Oh dear, we're still getting ready to open.
Just hold tight a bit.","唉呀，我們還在準備開店。
請你再稍微等一會兒。","","어머, 지금 가게 준비중이에요
조금 더 기다려 주…","Wir bereiten den Laden immer noch vor.
Bitte gedulde dich ein wenig."
1011,2100,"","...Hm?
You the new kid at the Kuremi Detective Agency?","……咦？
你是暮海偵探事務所的新員工？","","…에?
쿠레미 탐정사무소네의 신인?","... Hm?
Du bist neu im Detektivbüro Kuremi?"
1012,2100,"","In that case, you're a Nakanoite as well!
Welcome to Broadway! It's a little strange,
but it's a lot interesting, don't you think?","唉呀，這麼說，你也是這個中野的居民囉！
歡迎來到百老匯！
這裡有點怪，不過也很有趣哦。","","어머어머, 그럼 너도 이 나카노의 주민이구나!
브로드웨이에 잘 왔어, 환영할게!
좀 특이한 장소지만… 재밌는 곳이란다?","Dann gehörst du auch zu Nakano! Willkommen im
Broadway! Ein wenig seltsam, aber sehr
interessant hier, findest du nicht?"
1013,2100,"","You're more than welcome as a customer!
Come by any time we're open.","我們也非常歡迎你作為客人來光顧！
等我們開始營業後，歡迎你隨時過來！","","손님으로 와도, 대환영이야!
개점하면, 언제든 들러 주렴!","Du bist hier jederzeit gern gesehen!
Komm vorbei, wenn wir offen haben."
1500,2000,"","...I don't have any reason to go past here.","沒什麼特別的事要到前面去。","","…이 앞에서는 볼일이 없어","... Ich habe keinen Grund, noch weiter zu gehen."
1600,2000,"","...I don't need to go back.","不需要回去。","","…돌아갈 필요는 없어","... Ich muss nicht zurück."
1700,2000,"","I guess I'll listen to what Dynasmon has to say...","去問杜納斯獸看看吧。","","듀나스몬에게 말을 걸어 보자…","Ich sollte mir anhören, was Dynasmon zu sagen
hat ..."
1900,4759,"","...You aren't worthy of going any further yet.","……你還沒資格過去。","","…너에게는 아직, 이 앞으로 나아갈 자격이 없다","... Du hast es noch nicht verdient, weiter zu
kommen."
1901,4759,"","Once you've proven your strength and pride
as a hacker, the path will open on its own.","當你掌握身為駭客的實力以及榮譽時，
道路就會自然開啟。","","해커로서의 실력과 긍지를 갖췄을 때…
길은 저절로 열릴 거다","Sobald du Kraft und Stolz als Hacker unter Beweis
gestellt hast, öffnet sich dir der Weg."
2000,4760,"","Sorry, but this's as far as you go.
Scram.","抱歉啊，這裡無法通行。
你走其他地方吧。","","미안하구만… 여기는 지나갈 수 없거든
저리 가시지","Weiter kommst du leider nicht.
Zieh Leine."
2001,4760,"","...Why? Like I know.","……原因？那種事我怎麼可能會知道。","","…이유? 그런 거, 내가 알겠냐","... Warum? Woher soll ich das wissen?"
2100,4761,"","Excuse me, excuse me, road's closed.
Move along, move along.","好了好了，這裡現在禁止通止喲～
閃邊去閃邊去。","","네에네~에, 여긴 지금, 통행금지야~
저리 가, 저리 가","Entschuldige, hier ist zu.
Schau, dass du weiterkommst."
2200,4762,"","Get away... Don't come close... Get away...","不准過來……不准靠近……不准過來……不准靠近……","","접근하지 마… 다가오지 마… 접근하지 마… 다가오지 마…","Hau ab ... Komm mir nicht nahe ... Verschwinde."
5000,2000,"","I haven't picked up any cases lately...
I'd better take a few on before Kyoko forces me.","最近都沒有處理委託……
在被杏子姊轟出去之前，快點工作吧……","","요즘 들어 의뢰를 완수하지 않았어…
쿄코 씨에게 쫓겨나기 전에 일하자…","Ich habe in letzter Zeit keine Fälle angenommen.
Ich nehme lieber ein paar, bevor mich Kyoko
dazu zwingt."
5001,2000,"","Just because Kyoko's gone doesn't mean the agency
shuts down. Wonder if there are any new cases?","就算杏子姊不在，事務所也不能歇業……
有沒有什麼委託上門呢？","","쿄코 씨가 없다고 해서 사무소가 휴업인 건 아니야…
무언가 새로 온 의뢰가 있지 않을까?","Nur, weil Kyoko nicht da ist, ist hier ja nicht
zu. Ob es wohl neue Fälle gibt?"
6800,3002,"","Huh, so this is a real detective's case board...
--Whoops, there's no time for that! I've got
to go save [p], quick!","嗯～這就是偵探的委託板嗎……
唉呀，現在不是做這種事的時候！
得快點去幫助[p]！","","흠흠… 이게 탐정의 의뢰 보드인가…
이런, 이럴 때가 아니었지!
빨리 [p]를(을) 구하러 가야 해…!","Das sind also die Fälle für Detektive ...
Huch, dafür habe ich keine Zeit! Ich muss
ganz schnell [p] retten gehen!"
6801,3002,"","[p] could Connect Jump...
Rrrgh... Raahhh... Hrnnnghh!
.........Eheheh, figured that wouldn't work.","如果是[p]的話一定能從這裡進行登入跳躍吧～
唔！　哈！　喝！
………………嘿嘿，我果然辦不到嗎……","","[p]는(은) 여기서 커넥트 점프를 할 수 있었지~
음! 호옷! 타앗!
…………………에헷, 역시 난 무리인가…","[p] würde einen Verbindungssprung machen ...
Grrrnfff ... grrrrr ... raaarrr!
Hihi, dachte mir schon, dass das nicht klappt."
6802,3002,"","Huh? How weird, I can't logout.
I'll just have to save [p]
from in here!","咦？　好奇怪，無法登出。
總之，得去幫助[p]才行！","","어라? 이상하네, 로그아웃을 할 수가 없어
어쨌든 [p]를(을) 구하러 가야 해…!","Wie? Seltsam, ich kann mich nicht ausloggen.
Dann muss ich [p] wohl von hier aus retten!"
8000,4032,"","Wahh!
Be quiet! I'm playing hide and seek!","哇哇！
別出聲！我現在正在玩捉迷藏！","","와앗!
조용히 해! 지금 숨바꼭질을 하고 있으니까!","Wah!
Sei ruhig! Ich spiele Verstecken!"
8001,4032,"","Stop, they're gonna find me!
Just--take this and go away!","唉喲！　你那樣會害我被發現啦！　
這個給你，你去那邊！","","정말―! 들켜 버리잖아!
이거 줄 테니까 저리 가!","Hör auf, oder die finden mich!
Nimm das hier und geh weg!"
8002,4032,"","Shhh!!!","噓！！","","쉬잇―!!","Pssst!!!"
9000,4763,"","You wanna battle? You think you've got a chance?
You can see the Flamedramon behind me, right? Or
are you looking over here 'cause you want a fight?　","你想跟我對戰？
你看不見我身後的烈焰獸嗎？
還是說，你是因為看見了才來找我碴的？","","나랑 배틀을 하고 싶다고? 너…
내 뒤에 있는 화염드라몬이 안 보이는 거야?
아니면, 보이는데도 싸움을 거는 거야?","Tänzchen gefällig? Meinst du, du hast ’ne Chance?
Du siehst Flamedramon hinter mir, oder? Oder
guckst du uns an, weil du kämpfen willst?　"
9001,4763,"","Agh! I-I'm sorry I acted so big...
I'm the one who didn't really see your
Digimon's strength. For-forgive me!","噫！　對不起，我剛才不該那麼囂張的。
是我沒看到你的數碼寶貝。
我、我告辭了————！！！！！","","히익…! 거만한 태도를 취해서 죄송했습니다…
당신의 디지몬이 안 보이는 건 제 쪽이었습니다…
시, 실례했습니다―――!!!!!","Argh! T-Tut mir leid, dass ich mich so aufgespielt
habe ... Ich habe die Stärke deiner Digimon
nicht erkannt. Verzeih mir!"
10000,5004,"","I don't have any reason to go down there.","沒什麼特別的事要到地下去……","","지하에 볼일은 없어…","Ich habe keinen Grund, da runter zu gehen."
10010,2000,"","This logout zone is still broken.
Guess whatever Arata did was temporary...","這個登出區又故障了……
原來新並沒有徹底修好它嗎……","","이 로그아웃 존… 다시 부숴져 있어…
아라타가 고친 건 일시적이었던 걸까…","Dieser Ausloggbereich ist immer noch defekt.
Aratas Lösung war wohl nur provisorisch ..."
10020,2000,"","No need to go to the station.","現在沒什麼特別的事要去車站那裡……","","지금 역에 볼일은 없어…","Ich muss jetzt nicht zum Bahnhof."
10400,2000,"","I'll need an IC card to get through the gates.","要通過驗票口似乎需要IC卡……","","개찰구를 지나가려면 IC 카드가 필요한 모양이다…","Ich brauche eine Chipkarte, um durch die Sperre
zu kommen."
