ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3013,"","So you took my case. I knew you would come.
It was inevitable.","你接下委託了呢。
我就猜到你會過來喔。
這也是……必然呢。","","의뢰를 받아줬구나.
분명 와줄 거라고 생각했어.
이것도…필연이니까","Du hast also meinen Fall angenommen. Ich wusste,
dass du kommen würdest. Es war unvermeidlich."
2,3013,"","Although you have some unusual quirks, so I did
have a slight inkling of doubt, but luckily it
proved unfounded.","但是，你就像是不規則的枝葉一般，
所以我想過，你該不會……
幸好只是杞人之憂罷了。","","그치만, 너는 불규칙한 가지니까
혹시나…하고 생각해서
기우에 그쳐서 다행이야","Auch wenn du ein paar ungewöhnliche Eigenheiten
hast, weshalb ich kurz Zweifel hatte, aber zum
Glück waren sie unbegründet."
3,3013,"","I'll get straight to the case. I want you to
punish an evil hacker in EDEN.","……馬上就說委託的內容吧。
我希望你可以去制裁
在EDEN裡胡作非為的駭客。","","…바로 의뢰에 관한 이야기로 들어가자면
EDEN에 있는 악질적인 해커를 
혼내줬으면 좋겠어","Kommen wir direkt zum Fall. Ich möchte, dass du
einen bösen Hacker in EDEN bestrafst."
4,3013,"","EDEN is filled to the brim with hackers who view
Digimon as little more than mere tools to do their
bidding, as I'm sure you already know.","在這個世界……在EDEN中蔓延的駭客，
大部分都只把數碼寶貝當作方便的道具。
你也知道對吧？","","이 세계…EDEN에 설치는 해커 대부분이
디지몬을 그냥 편리한 도구로밖에 보지 않는 것은
너도 알고 있겠지?","EDEN ist voll von Hackern, die Digimon nur als
Werkzeug für ihre Absichten ansehen. Das weißt
du sicher bereits."
5,3013,"","Of course, said bidding is rather malicious and
illegal in nature, to put it simply.","如果只是這樣就算了，得意忘形的人
還會利用他們來進行犯罪行為。","","그것만이라면 몰라도, 도를 넘은 무리들은
그들을 범죄행위에 이용하고 있어","Natürlich sind ihre Absichten ziemlich böse und
illegal, um es kurz zu machen."
6,3013,"","In an effort to help those poor Digimon, I'd like
you to go after one such hacker and teach them a
lesson for these terrible hijinks.","為了能多拯救出受苦的數碼寶貝，
希望你能讓那些駭客好好的反省一下。
同樣身為駭客，用數碼寶貝戰鬥來制裁。","","고통 받는 디지몬을 조금이라도 구하기 위해
그런 해커들을 반성하게 해줬으면 좋겠어.
같은 해커로서, 배틀로 말이지","Um diesen armen Digimon zu helfen, möchte ich,
dass du einem solchen Hacker nachsetzt und ihm
für seine furchtbaren Taten eine Lehre erteilst."
7,3013,"","Thank you. I knew you'd accept this job.","……謝謝。
我之前就覺得，你會願意接下這個任務呢。","","…고마워.
너라면 맡아줄 거라 생각했어","Danke. Ich wusste, dass du diesen Job übernehmen
würdest."
8,3013,"","Again, straight to the point. The nasty hacker
seems to be somewhere on Under Kowloon Lv. 1.","抱歉，需要你馬上過去處理。
胡作非為的駭客應該在
「Under Kowloon Lv.1」裡沒錯……","","갑작스럽게 미안하지만, 악질적인 해커가
「언더 쿠롱 Lv.1」에 있는 것 같아…","Ich komme wieder direkt zum Punkt. Der fiese
Hacker scheint irgendwo auf Ebene 1 in Unter 
Kowloon zu sein."
9,3013,"","This one seems to be a particularly nasty hacker.
You'll know why.","看起來就是個性很惡劣的傢伙，
只要上前搭話，你一定馬上就會知道的。","","척 봐도 질이 안 좋아 보이는 녀석이니까
말을 걸어보면 금방 알거야","Dieser scheint besonders fies zu sein. Du wirst
schon verstehen, was ich meine."
10,3013,"","That's all I have for you right now. Thank you
again for taking on this case. Once you're done,
come back here and report back to me.","那麼就交給你了。
結束記得跟我報告一下喔。","","그럼 잘 부탁해.
끝나면 보고하러 와줘","Mehr habe ich für dich momentan nicht. Danke
noch mal, dass du bei dem Fall hilfst. Komm wieder
her, wenn du fertig bist, und erstatte Bericht."
