ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,2020,"","(I should be able to get everything on the list in
Ikebukuro. I'll head to Tokyo Handy.)","（購物清單上的東西，池袋應該都有。
　先去東京手創館看看吧）","","(구매목록에 있던 것은 전부 이케부쿠로에서 살 수 있을 거야.
 일단은 도쿄 핸디에서 심부름을 끝마치자)","(In Ikebukuro sollte ich alles auf der Liste
bekommen. Ich gehe zu „Tokyo Handy“.)"
110,4058,"","Please visit the EDEN cyberspace.","請務必光臨電腦空間「EDEN」。","","저희가 운영하는 전뇌공간「EDEN」에 꼭 방문해주세요","Bitte komm zum EDEN-Cyberspace."
410,7238,"","Do it for the Digimon!","就算是為了數碼寶貝們，還請多指教喔！","","디지몬들을 위해서라도 잘 부탁드릴게요!","Tu es für die Digimon!"
500,2020,"","(It shouldn't follow me into the cafe. I'll take
refuge at Hudie!)","（應該不至於會跟來店裡，
　趕快躲進hudie吧！）","","(어쨌든 가게 안까지는 따라 들어오지 않을 거야.
 후디에로 도망가자!)","(Es sollte mir nicht ins Café folgen.
Ich verstecke mich bei Hudie!)"
510,9108,"","Oh, it's Mr. Navit, doing PR in the real world
as well. Now that's what I call business sense!
You could learn a thing or two!","喔，這不是NAVIT嗎。連在現實世界
都在宣傳啊，還真是厲害的業務魂！
你也給我學習一下啊！","","오오, 내빗군이잖아.
현실세계에서도 PR하다니, 역시~ 대단한 영업정신이야!
너도 잘 보고 배우라고!","Ach, das ist Herr Navit, der auch in der echten
Welt PR macht. Was für ein Geschäftssinn!
Du könntest etwas von ihm lernen!"
511,9109,"","Is that Mr. Navit? I don't think it is. In fact,
I'm pretty sure it's not!","那、那個是NAVIT嗎！？
怎麼感覺不太一樣！？
一定不太一樣吧！？","","아, 아니 내빗군이라구요!?
뭔가 다르지 않슴까!?
완전 아닌 것 같지 않슴까!?","Ist das Herr Navit? Ich glaube nicht. Ich bin mir
sogar ziemlich sicher, dass er es nicht ist!"
512,9101,"","Yuck! What's that ugly thing behind you?!","呀！
後面那個噁心的東西是什麼！？","","꺄악!
뒤쪽에 있는 징그러운 건 뭐야!?","Igitt! Was ist denn das hässliche Ding hinter
dir?!"
513,9105,"","You want to know about Mr. Navit? I wish I could
tell you, but I haven't got a clue. What is it?","你想要知道後面的NAVIT的事情？
……雖然我也想告訴你，但我也不曉得喔。
那是什麼東西！？！？","","뒤쪽의 내빗군에 관해서 알고 싶은 거야?
…알려주고 싶지만 나도 잘 모르겠어
뭐야 저건!?!?","Du willst etwas über Herr Navit wissen? Ich
wünschte, ich könnte dir helfen, aber ich
habe keine Ahnung. Hm?"
514,9103,"","We've got a brand new game... Hey! Behind you!","這裡有新的街……咿！
後、後、後、後面……！！！","","신작 아케이드 게임도 취급하고 있…히익!
뒤, 뒤, 뒤, 뒤에…!!","Wir haben ein ganz neues Spiel ...
Hey! Hinter dir!"
515,9104,"","Is that...Mr. Navit?! Something about him looks
different.","喔，不是……NAVIT！？
好像跟我知道的NAVIT不太一樣！？","","오오, 내빗군……이 아니잖아!?
내가 아는 내빗군이 아닌 것 같은데!?","Ist das ... Herr Navit?! Irgendwie sieht er anders
aus."
