ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
13110,4748,"","What is it?","你有事想問我？","","궁금한거라도 있어?","Was gibt es?"
13120,4748,"","How should you get a girlfriend?","要怎麼做才能交到女朋友？","","어떻게 하면 여자친구가 생기겠냐고?","Wie du eine Freundin bekommst?"
13121,4748,"","Hee hee, for sure, it's all about a smiling face!
Smile and the world smiles with you, as they say!","哈哈，那當然是靠『笑容』囉！
只要你笑口常開，別人自然就會靠過來！","","핫핫, 그거야『미소』지 미소!
밝게 있다보면 주변에 사람이 꼬이는 법!","Es kommt definitiv auf das Lächeln an!
Lächle und die Welt lächelt zurück,
wie es so schön heißt!"
13130,4748,"","You look like you've got a question!","你不是有事情想要問我嗎？","","묻고싶은게 있었던거 아냐?","Du siehst aus, als wolltest du was fragen!"
13140,4748,"","A cheery smile is number one!
...Well, not in every case.","笑容是最強的武器！
不過只有帥哥的笑容才適用這句話就是了……","","미소가 최고!
다만 잘생긴 사람 한정…이라고는 하지.","Ein freundliches Lächeln ist das Wichtigste!
Nun ... vielleicht nicht immer."
100,4748,"","[k100]? Never heard of it.","[k100]？　我不知道耶……","","[k100]? 모르겠는데…","[k100]?
Nie davon gehört."
101,4748,"","[k120]? Never heard of it.","[k120]？　我不知道耶……","","[k120]? 모르겠는데…","[k120]?
Nie davon gehört."
102,4748,"","[k121]? Never heard of it.","[k121]？　我不知道耶……","","[k121]? 모르겠는데…","[k121]?
Nie davon gehört."
103,4748,"","[k130]? Never heard of it.","[k130]？　我不知道耶……","","[k130]? 모르겠는데…","[k130]?
Nie davon gehört."
104,4748,"","Speed dating? Like, a party where you meet a
bunch of people at once? Man, I love those!
I'd go 7 days a week if I could. Heck, I'd go 8!","喔，聯誼！？聯誼是指男女聯誼會！？喜歡喜歡喜歡！
我超喜歡的！只要有人邀我參加，就算要一星期去7次也行！
不，即使是一星期要去8次我也願意！","","오오, 미팅!? 미팅이란거 그 미트팅!?
좋지 좋지! 무지 좋아해!
불러만 준다면 주7일제라도 간다! 아니 주8일제라도!","Speed-Dating? So eine Party, wo man viele Leute
auf einmal trifft? Die finde ich super! Ich
würde jeden Tag hingehen, wenn ich es könnte!"
105,4748,"","[k132]? Never heard of it.","[k132]？　我不知道耶……","","[k132]? 모르겠는데…","[k132]?
Nie davon gehört."
106,4748,"","What do you mean? Friends?
Are you looking for a friend?","嗯？什麼？　朋友？
你正在找你的朋友是嗎？","","응? 뭐? 친구?
친구를 찾는다고?","Wie meinst du? Freunde?
Suchst du Freunde?"
1060,4748,"","The only people hanging around Kowloon are
hackers. Oh, do you have a hacker friend?","會聚集在Kowloon這裡的人只有駭客啦。
還是說，你的朋友也是駭客嗎？","","쿠롱에서 어슬렁대는건 해커밖에 없다고.
아니면 네 친구도 해커인거야?","In Kowloon hängen nur Hacker herum.
Ach, du hast einen Freund, der Hacker ist?"
107,4748,"","Hm, Digimon?
Walk around Kowloon, and you'll run into
plenty...whether you want to or not!","嗯？什麼？　數碼寶貝？
數碼寶貝那玩意兒，只要你在Kowloon裡到處閒晃，
就算不願意也會遇到。","","응? 뭐? 디지몬?
디지몬같은거야 쿠롱에 널렸으니
싫어도 마주치잖아.","Hm, Digimon? Spazier in Kowloon herum, dann
findest du jede Menge ... ob es dir passt
oder nicht!"
