ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,5004,"","If this text appears in the actual game, it's a
bug. Please report this.","遊戲中若跑出這段文字就表示有BUG。
到時候請記得回報。","","","Wenn dieser Text im Spiel erscheint, ist das ein
Fehler. Bitte melden."
1000,3006,"","...You're free? What are you talking about?
Detectives don't have free time. Fine, here's a
task for you. Figure out what you should be doing.","嗯？　什麼？　……你說你很閒？　你是在說些什麼啊？
偵探可沒有時間摸魚哦。
你必須自行判斷自己該做的事。","","응? 뭐? …한가하다고? 넌 대체 무슨 소리를 하는 건가…
탐정에게 한가한 시간 같은 건 존재하지 않아
스스로 판단해서, 자신이 해야 할 일을 하도록","Du hast nichts zu tun? Wovon redest du? Detektive
haben immer was zu tun. Hier hast du eine Aufgabe.
Überleg dir, was du tun solltest."
2000,3006,"","First, take a look at the whiteboard to the right
of my desk.","這樣好了，你先面向我的辦公桌，
然後確認放在右邊的白板上面的內容。","","그렇군, 우선 내 데스크를 향했을 때 오른쪽에 있는
화이트보드를 체크해 보도록","Schau zuerst auf das Schwarze Brett rechts von
meinem Schreibtisch."
2005,3006,"","Seems like you were able to accept a case.","看來你順利接下委託了呢。","","아무래도 무사히 의뢰를 수주한 모양이군","Du scheinst einen Fall akzeptiert zu haben."
2006,3006,"","It's pretty straightforward. When you want to take
on a new case, get one from the whiteboard, just
like that.","在接受委託時，
基本上就是像剛才那樣確認寫在白板上面的內容。","","의뢰를 수주할 때는
방금처럼 화이트보드를 확인하는 게 기본이다","Alles ganz einfach. Wenn du einen neuen Fall
annehmen möchtest, hol dir einen vom Schwarzen
Brett."
2007,3006,"","I'll add new cases every so often, so make sure
to check it from time to time.","你可以偶爾確認一下白板。
有時會追加新的委託。","","때때로 화이트보드를 체크해 보도록
새로운 의뢰가 추가되어 있는 경우도 있으니까 말이지","Ich werde öfter neue Fälle hinzufügen.
Schau also hin und wieder vorbei."
2008,3006,"","Anyway, go on and start talking to people.
I'm counting on you for my case, too.","那麼，你先到處打聲招呼吧。
我的委託也麻煩你囉。","","그럼, 인사를 끝내고 오도록
내 의뢰 쪽도, 잘 부탁한다","So, geh los und rede mit Leuten.
Auch für meinen Fall zähle ich auf dich."
2010,3006,"","Take on some cases while you make your rounds.
Think of it as a test. I'll be your client, but
don't think that means you can slack off.","在四處打招呼時，也順便完成剛才承接的委託吧。
這次只是先測試而已。
雖然委託人是我，但可不能輕忽大意哦。","","인사를 하고 다니면서, 수주한 의뢰도 달성하도록
이번에는 어디까지나 테스트다
의뢰인은 비록 나다만, 긴장을 풀지 말고 임해 주도록","Nimm ein paar Fälle an, während du deine Runden
drehst. Das ist wie ein Test. Ich bin dein Klient,
aber das heißt nicht, dass du trödeln kannst."
2020,3006,"","Huh, looks like you've cracked the case. But you
shouldn't bother me with it. When you complete
a case, note it down on the whiteboard.","嗯，看來你已經完成委託了。
不過，要報告完結果後，才算是真正達成委託。
不是直接跟我說，而是在白板上寫下完成委託的報告。","","흐음, 의뢰를 달성하고 온 것 같군
단, 완료 보고를 해야 비로소 의뢰는 달성된다
나에게 직접 보고하지 말고, 화이트보드에 완료 보고를 적도록","Wie es aussieht hast du den Fall gelöst. Aber
ich habe dafür keine Zeit. Notiere es auf dem
Schwarzen Brett, wenn du einen Fall abschließt."
2030,3006,"","Head for Shinjuku. We may not know everything, but
getting out there and taking action is key. Don't
think too hard, just keep moving forward.","目標地點是新宿。
雖然你應該還有很多不懂的地方，不過所謂熟能生巧。
先不用想太多，總之往前進就對了。","","목적지는 신주쿠다
아직 모르는 게 많겠지만, 배우는 것보다 익숙해져라, 다
어렵게 생각하지 말고, 우선 앞으로 나아가 보도록","Geh nach Shinjuku. Wir wissen nicht alles, aber es
ist wichtig, einen Anfang zu machen. Überleg nicht
zu lange, mach einfach weiter."
2040,3006,"","Account raiding's starting to be a real problem.
Go ask around EDEN, see what you can find out.","畢竟是鬧得這麼大的『帳號狩獵』。
只要到EDEN走一趟，應該能獲得某些情報吧。","","이렇게나 소동이 되고 있는『계정 사냥』이다
EDEN에 가면 무언가 정보를 입수할 수 있겠지","Kontendiebstahl ist langsam echt ein
Problem. Hör dich in EDEN um.
Vielleicht kannst du etwas herausfinden."
2041,3006,"","I don't know much about getting Makoto Yamashina's
information, but...look into that as well, would
you? Go on, log in to EDEN.","關於『山科誠』的情報的取得方式還不清楚……
不過還是請你同時進行調查。
好了，快登入EDEN吧。","","『야마시나 마코토』의 정보 입수에 관해서는 알 수 없지만…
병행해서 조사를 부탁한다
그럼, EDEN에 로그인하도록","Ich weiß nicht, wie man die Informationen zu
Makoto Yamashina bekommt, aber sieh dir die Sache
mal an, ja? Los, logg dich in EDEN ein."
2050,3006,"","Hmm... I'll leave the rest of the investigation to
you, then. I'm looking forward to seeing your
sleuthing chops.","嗯……　後續調查就交給你負責吧。
我很期待你身為偵探的天分哦。","","흐음… 뒷일의 조사는 너에게 맡기도록 하지
너의 탐정으로서의 소질을 기대하고 있다","Hm ... Dann überlasse ich dir den Rest der
Ermittlungen. Ich freue mich schon darauf,
deine detektivischen Talente zu erleben."
2051,3006,"","...What happens if you don't know what to do?
Ah... Go talk to Mirei Mikagura, she'll help out.","……如果不曉得下一步該怎麼做？
那就去找「御神樂米蕾」吧，她應該能幫上你的忙。","","…만약 나아가야 할 길을 잃으면?
그렇군…「미카구라 미레이」라면, 여러모로 도움이 되어 주겠지","Was, wenn du nicht weiterweißt?
Ach ... Geh zu Mirei Mikagura. Sie hilft dir."
3000,3006,"","Weren't you meeting Nokia in Galacta Park?
Friend or not, a case is a case. Don't slack off.","你是跟諾奇雅約在「破銅爛鐵公園」碰面對吧？
就算對方是朋友，但委託就是委託……　你可要好好調查啊，呵呵。","","「잡동사니 공원」에서 노키아와 만나기로 하지 않았나?
친구가 부탁했다 해도, 의뢰는 의뢰… 확실히 조사하도록, 후후…","Solltest du nicht Nokia im Galacta-Park treffen?
Auch bei Freunden gilt: Ein Fall ist ein Fall.
Da wird nicht gefaulenzt."
4000,3006,"","You received the transmission, right? Go check out
Shinjuku--before the police get there.","你應該有收到通知吧？
在警察開始行動之前，快點去調查新宿吧。","","통신을 받았겠지?
경찰이 본격적으로 움직이기 전에, 신주쿠에서 조사를 진행하도록","Du hast die Übertragung erhalten, oder? Schau dich
in Shinjuku um, bevor die Polizei es tut."
4999,3006,"","Come to think of it, we're out of beans.
Pick up some more, would you? I used them all up
crafting a new recipe yesterday.","這麼說來，咖啡豆沒了呢。
你可以去幫我買一下嗎？
昨晚為了開發新口味可用掉不少啊。","","그러고 보니, 커피콩이 다 떨어졌군
사와 줄 수 있겠나?
어젯밤 새로운 레시피를 고안해 내는데 대량으로 써 버려서 말이지","Mir fällt gerade ein, wir haben keine Bohnen mehr.
Kannst du welche besorgen? Ich habe gestern
alle für ein neues Rezept benutzt."
5000,3006,"","Oho? You think I'm working you too hard?
...You've got a lot of nerve.
Who exactly is giving you room and board again?","哦……你是想從我身上搾出錢來嗎？
挺有膽量的嘛。
你以為你的食衣住都是由誰出錢的？","","호오… 나에게서 착취하겠다는 건가?
…배짱이 좋군
너의 의식주를 제공해 주고 있는 게 누구라고 생각하지?","Aha? Du meinst, du musst zu viel arbeiten?
... Du bist ja ganz schön mutig.
Wer gibt dir denn Kost und Logis?"
5010,3006,"","Head to Makoto Yamashina's place. And this time,
you make him talk. ...I'm counting on you.","你去山科誠的家吧。
這次一定要讓他招供，交給你囉。","","넌 야마시나 마코토의 집으로 향하도록
이번만큼은, 반드시 입을 열게 하는 거다… 부탁한다","Statte Makoto Yamashina einen Besuch ab.
Und sorge dieses Mal dafür, dass er redet.
... Ich zähle auf dich."
5020,3006,"","If you don't know what to do next, go talk to
Mirei Mikagura. She'll use her strange power to
help.","如果不知道下一步該怎麼做的話，
可以去找御神樂米蕾。
她應該會用奇妙的力量給你指示。","","나아가야 할 길을 잃으면
미카구라 미레이에게 찾아가 보는 게 좋을 거다
신기한 힘으로, 길을 가리켜 줄 거다","Wenn du nicht weißt, was du tun sollst,
sprich mit Mirei Mikagura. Sie wird ihre
seltsamen Kräfte nutzen, um dir zu helfen."
5030,3006,"","Go find Mirei Mikagura.
...I don't have to tell you where, do I? Heh.","去找御神樂米蕾吧。
地點……應該用不著我說吧？……呵呵。","","미카구라 미레이에게 찾아가도록
어디로 가야하는지… 굳이 지시할 필요는 없겠지? …후후","Finde Mirei Mikagura.
... Ich muss dir ja nicht sagen wo, oder? Ha."
5040,3006,"","Go, expose Kamishiro for what it really is.
Yuuko's waiting, so head to the Kamishiro HQ.","好啦，把神代的假面具給扒下來吧。
你快前往悠子所在的神代總公司吧。","","자, 카미시로의 탈을 벗겨 주도록 하지
유코가 기다리고 있는, 카미시로 본사로 향하도록","Los, du musst Kamishiro entlarven.
Yuuko wartet, also geh zum
Kamishiro HQ."
5050,3006,"","Go, expose Kamishiro for what it really is.
Make sure to use that program effectively.
...And do take care not to abuse it, hehehe.","好啦，把神代的假面具給扒下來吧。
你可要好好運用那個程式啊。
千萬不可以拿來做壞事哦，呵呵呵。","","자, 카미시로의 탈을 벗겨 주도록 하지
그 프로그램을, 효과적으로 활용하도록
…아무쪼록 악용은 하지 말도록, 후후후","Los, du musst Kamishiro entlarven.
Achte darauf, das Programm effektiv zu nutzen.
Und stell bloß keinen Blödsinn an damit, hihihi."
6000,3006,"","I'll leave that case to your discretion.
As my assistant, I expect you to perform well.","這個委託就交由你全權負責了。
你就以我的助手的身分，漂亮地完成這個任務吧。","","이 의뢰는, 너에게 일임하도록 하겠다
내 조수로서, 훌륭하게 임무를 완수하도록","Diesen Fall überlasse ich ganz dir.
Als mein Hilfsdetektiv erwarte ich, dass du
gute Arbeit leistest."
6010,3006,"","How's the case coming along?
I'm leaving all the details to you.
Just report in once you've made some progress.","委託進行得如何了？
這次的案件是由你全權負責的。
如果有什麼成果，記得要向我報告。","","의뢰의 진척 상태는 어떤가?
이번 안건은 전부 너에게 일임하고 있다
뭔가 성과가 있으면, 보고하도록","Wie läuft es mit dem Fall?
Die Einzelheiten überlasse ich dir. Aber erstatte
Bericht, wenn du Fortschritte gemacht hast."
6020,3006,"","Hm, so the case is coming along well, then.
There's probably nothing to worry about...
Even so, don't think you can slack off.","嗯，看來委託進行得很順利呢。
這麼的話，應該是不需要替你擔心了……
不過在完成任務之前，可不要輕忽大意哦。","","흐음, 의뢰는 순조롭게 해나가고 있는 것 같군
이 상태라면 걱정할 필요는 없다고 생각한다만…
마지막까지 긴장을 풀지 말고 나아가도록","Hm, es läuft also gut mit dem Fall. Wahrscheinlich
gibt es keinen Grund zur Sorge ... Aber denk
trotzdem nicht, dass du trödeln kannst."
7000,3006,"","I'll take a look into this Digimon Medal business.
You check out the shop selling them.","我會著手進行關於數碼寶貝獎牌的調查。
你就負責調查有在買賣數碼寶貝獎牌的店吧。","","난 디지몬 메달에 대해 조사해 두겠다
넌, 디지몬 메달을 판매하고 있는 가게를 조사하도록","Ich stelle Nachforschungen zu den
Digimon-Medaillen an. Du kümmerst dich um den
Laden, der sie verkauft."
7010,3006,"","Track down clues on the missing Sakura.
While you're working on that, I'll look into the
disturbing video.","你去追查下落不明的小櫻的線索。
在這段期間內，我會著手調查那個令人不愉快的影像。","","넌 행방불명인 사쿠라 군에 대해, 단서를 찾아내도록
그 동안 난, 그 불쾌한 영상에 대해 조사해 두겠다","Finde Hinweise zur vermissten Sakura.
Während du daran arbeitest, kümmere ich mich um
das verstörende Video."
7020,3006,"","The URL points to Kowloon Lv. 4.
Get over there and check it out.","URL所顯示的大略區域是「Kowloon Lv. 4」。
你就直接過去調查吧。","","URL이 가리키고 있는 대략적인 에어리어는「쿠롱 Lv.4」다
직접 가서 조사하고 오도록","Die URL lässt auf die vierte Ebene in Kowloon 
schließen. Geh hin und schau dich da um."
8010,3006,"","Haven't Nokia and Arata called for you?
It's fine to take a break from this, so go see
what your friends need.","諾奇雅跟新在找你對吧？
你暫時不用管我這裡的委託。
先去聽聽朋友的請求吧。","","노키아와 아라타에게 불리지 않았는가?
당분간 이쪽 일은 신경 쓰지 않아도 된다
친구의 부탁을 들어 주도록","Haben Nokia und Arata nicht angerufen?
Du kannst ruhig eine Pause machen.
Sieh nach, was deine Freunde wollen."
9000,3006,"","Alright, let's get started.
Head to Kamishiro HQ in EDEN.","好啦，開始行動。
你就前往在EDEN裡的神代總公司吧。","","자, 행동 개시다
EDEN의 카미시로 본사로 향하도록","Also gut, legen wir los.
Geh zum Kamishiro HQ in EDEN."
10000,3006,"","You heard me, didn't you? Get to EDEN.
Something's causing trouble, so be careful.","我都聽見囉，你要去EDEN對吧？
那裡似乎不太平靜，你可要多加小心啊。","","듣고 있었다, EDEN으로 향하는 거지?
그쪽은 이래저래 소란스러우니, 충분히 조심하도록","Hast du mich nicht gehört? Geh nach EDEN.
Irgendwas macht dort Probleme, sei vorsichtig."
10010,3006,"","Hmph... I've got a bad feeling about this.
And any good detective knows to trust his gut.
Won't hurt to act cautiously.","嗯……總覺得忐忑不安啊。
偵探是要相信自己的“直覺＂的職業。
看來這陣子還是謹慎行動比較好。","","흐음… 왠지 불길한 예감이 드는군
탐정은 자신의 ""감""을 신용해야 하는 직업이다
당분간은 주의하면서 행동하는 게, 무엇보다 좋겠지","Hmpf ... Ich habe ein ungutes Gefühl.
Jeder gute Detektiv vertraut seinem Instinkt.
Es kann nicht schaden, vorsichtig zu sein."
11000,3006,"","A message from Nokia...that is, from Omnimon?
Hmm... It must be something important.","諾奇雅……不，奧米加獸有話要說？
嗯……　或許是什麼重要的事情也說不定。","","노키아… 아니, 오메가몬이 할 얘기가 있다고?
흐음… 무언가 중요한 얘기일지도 모르겠군","Eine Nachricht von Nokia ... also eigentlich von
Omnimon? Hm ... Das muss wichtig sein."
11001,3006,"","My investigation's going to take a little longer.
The Zaxon forum, eh? Go check it out.","我這邊的查證還要再花一點時間。
是「Zaxon廣場」對吧？你就去吧。","","내 쪽의 검증에는 아직 시간이 더 걸린다
「잭슨 포럼」이었지. 다녀오도록","Ich brauche noch Zeit für meine Ermittlungen.
Das Zaxon-Forum, was? Hake da mal nach."
11010,3006,"","To get to the Roppongi Underground Center,
head to the Nakano Underpass.","你從「中野地下道」前往「六本木地下設施」吧。","","「롯폰기 지하시설」로는「나카노 지하도」를 통해 향하도록","Geh zur Nakano-Unterführung, um zum
unterirdischen Zentrum in Roppongi zu gelangen."
