ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,5002,"","Grab 'em!","幫我抓住那傢伙！","","그 녀석을 잡아 줘!","Haltet ihn!"
2,5002,"","Agh, got away... Sorry! Thanks for the help.
I'm Kyoko Kuremi. I'm a private detective.","呿，逃走了啊……哎呀，抱歉，謝謝你幫我。
我是暮海杏子，是名偵探。","","칫, 놓쳐 버렸나… 이런, 미안해, 협력 고마워
난 쿠레미 쿄코, 탐정이야","Uff, er ist entkommen ... Ach, entschuldige!
Ich heiße Kyoko Kuremi und bin Privatdetektivin."
3,3006,"","I was sick for a while, so my instincts are a bit
 rusty.","我病才剛好呢……　所以“直覺”還有點遲鈍——","","병이 나은지 얼마 안 돼서… 좀처럼 ""감""이 돌아오질 않아서 말이야―","Ich war eine ganze Weile krank, also haben meine
Reflexe etwas nachgelassen."
4,3006,"","What an odd thing to drink...","真是奇特的……與眾不同的喝法呢……","","묘하게… 색다르게 마시는구나…","Das Getränk ist aber eine seltsame Mischung ..."
5,3006,"","Well, each to his own. It might be really good.
Maybe I'll try it if I have the chance.","不，每個人的味覺本來就都不一樣……或許會意外地好喝。
有機會的話，我也想試試看呢。","","아니, 미각은 사람 나름이니… 의외로 맛있을지도 몰라
기회가 있으면, 시험해 볼게","Nun ja, jedem das Seine. Vielleicht schmeckt das
ja. Eventuell probiere ich es auch mal."
6,3006,"","Pardon the intrusion. I'll be on my way.","打擾你了……那麼，我先告辭了。","","방해해 버렸네… 그럼, 난 이만 ","Entschuldige die Störung. Ich gehe dann."
7,3006,"","Sorry if this seems a bit forward, but...","抱歉有點冒昧……","","갑자기 미안하지만…","Entschuldige diese direkte Frage, aber ..."
8,3006,"","That was some smooth reaction time you had.
Are you used to this sort of thing?","以臨時反應來說，你剛剛的動作很棒呢。
你很習慣了嗎？這類的事情？","","아까 그 움직임, 좋았어… 순간적이었던 것 치고는, 말이야
익숙한 거야? 이런 일에?","Du hast ja blitzschnell reagiert.
Machst du so was öfter?"
9,3006,"","I'm actually looking for an assistant right now.","其實我正在找助手。","","…실은 지금, 조수를 찾고 있거든","Ich suche aktuell nämlich einen Hilfsdetektiv."
10,3006,"","Would you consider working with me?","有興趣的話，要不要來我這邊工作？","","괜찮으면, 우리 사무소에서 일해 보지 않을래?","Könntest du dir so etwas vorstellen?"
