ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,2020,"","It happened a few months ago. Suddenly I couldn't
log into EDEN anymore.","那是好幾個月前發生的事了，
我突然沒有辦法登入EDEN。","","그것은 몇 개월 전의 일이었다.
갑자기 나는 EDEN에 로그인할 수 없게 되었다","Vor ein paar Monaten ist es passiert. Plötzlich
konnte ich mich nicht mehr in EDEN
einloggen."
2,2020,"","It was an account raid...the act of a hacker.","起因是帳號狩獵，
……都是駭客幹得好事。","","원인은 계정 사냥.
……해커의 짓이다","Es war ein Kontenraub ... Ein Hacker steckte
dahinter."
3,2020,"","I had a net-savvy friend of mine set up a
temporary account for me, but...","雖然請精通網路的朋友
幫我準備了一個臨時帳號……","","네트워크를 잘 아는 친구가 임시 계정을 
준비해주었지만……","Ein Freund von mir, der sich damit auskennt,
hat einen temporären Account für mich
erstellt, aber ..."
4,2020,"","In this day and age, your account is the same as
your ID. Lose it, and no one trusts you.","但在現今，這以帳號取代身分證明的時代裡，
弄丟了帳號，同時也代表喪失他人的信賴。","","요즘 시대에 신분 증명을 대신하는 계정을 잃는 것은
모든 신뢰를 잃어버린다는 것을 의미한다","Heutzutage ist ein Account quasi dein Ausweis.
Wenn du ihn verlierst, traut dir niemand."
5,2020,"","Having a temporary avatar practically screams
""hacker,"" you see.","因為……使用臨時化身這件事，
就像公開向全天下承認自己是駭客一樣。","","왜냐하면… 임시 아바타를 쓴다는 것 자체가
자신을 해커라고 공언하는 것과 다름없기 때문이다","Wenn man einen temporären Avatar hat, wird man
sofort für einen Hacker gehalten."
6,2020,"","Hackers change accounts after every crime. It's
only natural they'd lose theirs if they're caught.","駭客在犯案的時候都會換帳號，
如果被逮捕的話，被剝奪帳號是理所當然的……","","해커는 범죄 행위를 할 때마다 계정을 바꾼다.
잡히면 당연히 계정은 박탈된다……","Nach jeder Tat wechseln die Hacker den Account.
Wenn sie erwischt werden, verlieren sie
ihren natürlich."
7,2020,"","So when I lost my account, teachers and classmates
began suspecting me of hacking, and I started to
hate going to school.","失去帳號之後，學校的老師和朋友們，
也都開始懷疑我是不是駭客。
漸漸的，我在學校的處境變得很艱難。","","계정을 잃어버린 나는 학교 선생님이나 친구들로부터 
해커로 의심받아 결국 학교에 있을 수 없게 되었다","Als ich meinen Account verlor, hielten meine
Lehrer und Mitschüler mich für einen Hacker.
Die Schule machte keinen Spaß mehr."
8,2020,"","Only my best friend Yu still believed in me.","唯一願意相信我的人，只有我最好的朋友優一個人。","","나를 믿어준 것은 절친한 친구 유우 뿐이었다","Nur mein bester Freund, Yu, glaubte noch an mich."
9,2020,"","Hackers took away my ability to belong.","因為駭客害我失去了容身之處。","","해커 때문에 나는 있을 곳을 잃어버리고 말았다","Die Hacker hatten mir meine Zugehörigkeit
genommen."
10,2020,"","...That's when I was contacted by a hacker going
by the name of ""K.""","……就在那時，
一個自稱「K」的駭客主動聯絡了我。","","……그 때였다.
""K""라고 자칭하는 해커로부터 연락을 받은 것은――","... Dann nahm ein Hacker namens „K“ Kontakt
zu mir auf."
11,3053,"","I know who seems to have raided your account.","我啊，知道是誰狩獵了你的帳號。","","나는 네 계정을 사냥한 것으로 추정되는 인물을 알고 있다","Ich weiß, wer allem Anschein nach dein
Konto gestohlen hat."
12,3053,"","His name is...""Youji Shiga."" If you want your
account back, you'll have to deal with him.","那個人的名字是……「志賀陽司」。
想要拿回你的帳號的話，就給他點顏色瞧瞧吧。","","그 남자의 이름은……「시가 요우지」.
계정을 되찾고 싶다면 녀석에게 부딪쳐보는게 좋을걸","Sein Name ist ... „Youji Shiga“. Wenn du deinen
Account wiederhaben willst, musst du ihn
finden."
13,3053,"","...Why am I telling you this? It's simple.","……你說為什麼要告訴你這些？
理由很簡單。","","……왜 이런 것을 너에게 알려주냐고?
그건 간단하지","... Warum ich dir das erzähle? Ganz einfach."
14,3053,"","I'm a guardian of EDEN. I won't forgive any acts
of barbarism that take place here.","我絕不允許這類惡行在EDEN裡發生，
我是EDEN裡的「守護者」。","","나는 EDEN에서 일어나는 만행을 용서할 수 없어.
나는 EDEN의 ""수호자""거든","Ich bin ein Hüter von EDEN. Ich kenne kein
Pardon bei barbarischen Taten, die hier
stattfinden."
15,3053,"","Think of this as an act of mercy. Whether you
believe me or not is entirely up to you...","我就只是本著助人為樂的精神，
至於信或不信得取決於你了……","","이것은 일종의 봉사활동이지.
믿든 믿지 않든 네 자유지만……","Sieh es als einen Akt der Gnade. Es bleibt dir
überlassen, ob du mir glaubst oder nicht."
16,2020,"","I had no one to turn to, so I decided to believe
this hacker's words. Not even Yu could stop me.","我在孤立無援的狀態下，選擇相信那個駭客，
我甚至不聽好友優的勸阻……","","아무도 믿을 수 없었던 나는 그 해커의 말을 믿기로 했다.
친구인 ""유우""가 말리는 것도 듣지 않고……","Ich hatte niemanden, der mir helfen konnte, also
glaubte ich den Worten des Hackers. Nicht mal
Yu konnte mich abhalten."
17,7088,"","...So you're really going through with this?","――你真的確定要這麼做嗎？","","――정말로 할거야?","... Du willst das also wirklich durchziehen?"
