ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3046,"","This is the connection area...
Where's the pass from Erika?","連接點應該就是這裡了…
艾莉卡給的密碼呢？","","접속부는 여기로군…
에리카가 보낸 패스는?","Dies ist der Verbindungsbereich ...
Wo bleibt der Pass von Erika?"
2,1392,"","I've got it. Sending now.","收到囉，我傳給你唷。","","도착했어. 보낼게","Hab ihn. Sende ihn gerade."
3,2020,"","...","…………","","…………","..."
4,3046,"","...Something you want to say?","……你好像有事想說的樣子。","","……뭔가 하고 싶은 말이 있나 보군","... Hast du was zu sagen?"
5,3046,"","Go ahead and say it then.","有想說的就說出來。","","할 말이 있으면 해봐","Los, raus damit."
6,3046,"","Silence equals consent.
That's the Hudie rule...","不說話就代表是默認了。
……這就是hudie的規則。","","침묵은 긍정과 같다.
…그게 후디에의 룰이야","Wer schweigt, stimmt zu.
Das ist die Hudie-Regel ..."
7,2020,"","...","…………","","…………","..."
8,3046,"","So I seem strange, do I?","你說我的樣子很奇怪？","","내 상태가 이상하다, 고","Ich bin also merkwürdig, hm?"
9,3046,"","Since you came, Erika has been a lot happier.
...I'm grateful to you for that.","自從你來了之後，艾莉卡變得比以前還要開朗了。
……我很感謝你。","","네가 온 이후로 에리카는 자주 웃게 됐지.
……감사하고 있어","Seit du da bist, ist Erika viel fröhlicher ...
Dafür bin ich dir dankbar."
10,2020,"","...?","……？","","……?","...?"
11,3046,"","...You don't need to stand in anyone's shadow.
A real man needs to lead.","……你不要總是屈居於他人之下，
是男人的話，就要保持“大將＂風範。","","……너는 남의 밑으로 들어가지 마라.
남자라면 언제든 ""대장""으로 있어","... Du musst nicht mehr im Schatten eines
anderen stehen. Ein echter Mann muss vorangehen."
12,2020,"","Huh...?","……？？？？","","……????","Was ...?"
13,1392,"","...Something's strange.","……總覺得，哪裡怪怪的。","","……어딘가 이상해","... Da stimmt was nicht."
14,2020,"","Yeah, really strange.
He must have eaten something weird.","確實很奇怪
一定是吃到了什麼奇怪的東西","","확실히 정말 이상해
뭔가 이상한 거라도 먹은게 틀림없어","Ja, und wie.
Der hat wohl was Falsches gegessen."
15,1392,"","No! Not Ryuji!
Something's coming in with the data!","不是啦！我不是在說龍司！
除了數據之外還有東西也一起跑出來了！！","","아냐! 류지를 말하는게 아니라!
데이터와 함께 뭔가가 와!!","Nein! Nicht Ryuji!
Mit den Daten wird noch was übertragen!"
16,2020,"","?!","！？","","!?","?!"
17,8000,"","Receiving data.
Receiving--
Recei--011110100101101010100101","數據接收中
接收中――
接收――0111110100101101010100101","","데이터를 수신하고 있습니다.
수신하고 있습니다――
수신하고――0111110100101101010100101","Daten werden empfangen –
empfangen –
empf... 011110100101101010100101"
18,8000,"","0101011010111101010101010100
1010101011010101000101010--","010101011010111101010101010100
1010101011010101000101010―――――","","010101011010111101010101010100
10101010110101010001010100―――――","0101011010111101010101010100
1010101011010101000101010 ..."
19,3046,"","...What's this?!","……怎麼了！？","","……뭐지!?","... Was ist das?!"
20,1392,"","It's a security program!
It was hidden in the data!","是防護程式！
數據被設下防護了！","","보안 프로그램이다!
데이터에 설치되어 있었어!","Das ist ein Sicherheitsprogramm!
Es war in den Daten versteckt!"
21,3046,"","I can't move from here!
[p], go!","我忙不過來！
[p]，你上！","","손을 뗄 수 없어!
[p], 가라!","Ich kann hier nicht weg!
[p], geh!"
