ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,4967,"","Hahaha, guess I'm in trouble now.","唉……這下慘了。","","하아아아아아… 큰일났네…","Hahaha, jetzt kriege ich wohl Probleme."
101,4967,"","Ah, you're the detective from the Kuremi
Detective Agency, right? Here's my card.","啊，你是暮海偵探事務所的偵探大人嗎？
我是做這一行的。","","아아, 쿠레미 탐정사무소의 탐정님인가?
나는 이런 사람이야","Ach, du bist der Detektiv vom Detektivbüro
Kuremi, nicht wahr? Hier ist meine Karte."
102,4038,"","I'm from the Japanese Boxing Association. I want
to discuss a strange phenomenon affecting our
official Web site.","我是日本拳擊發展協會的人。
關於協會官網異常的事，我想跟你商量一下。","","일본 복싱 발전 협회 사람이야
협회 공식 사이트에 생긴 이변에 대해 상담하고 싶어","Ich komme vom japanischen Boxverband. Ich möchte
ein seltsames Phänomen besprechen, das auf
unserer offiziellen Website auftritt."
103,4038,"","Recently, the hits the site's getting have soared,
and the videos on the site are really popular.
They're flocking to the site like kids to candy!","最近官網的流量突然急遽增加。
連網站上面的影片，播放次數也是節節高升呢！","","최근 들어 갑자기 공식 사이트의 방문자 수가 늘어났어
사이트 내에 있는 영상 재생수도 그야말로 승승장구라고!","In letzter Zeit wird die Seite oft aufgerufen
und unsere Videos sind sehr beliebt.
Alle kommen in Scharen, wie Kinder zu Bonbons!"
104,2001,"","That's amazing, great to hear!
Is that really true?
I want some candy.","那真是高興得讓人合不攏嘴呢。
你是說真的嗎？
好想吃竹筍。","","행복한 비명이라는 거군요
그 이야기, 정말인가요?
장구 치고 싶다","Das ist fantastisch. Freut mich, das zu hören!
Ist das wirklich wahr?
Ich möchte auch Bonbons."
105,4038,"","You think so? I thought tickets would be selling
like hot cakes and the shows would be sold out,
but...","你也這麼覺得吧？我們心想票應該也賣了不少，
公演也會變得很忙碌，可是……","","그렇게 생각하지? 티켓도 잔뜩 팔려서
흥행도 잘될 거라고 생각하고 있었는데…","Ja? Ich dachte, die Tickets gehen weg wie
warme Semmeln und die Shows wären
bald ausverkauft, aber ..."
106,4038,"","You doubt it?
Well, that's natural, me and the others in the
club were all surprised too.","你在懷疑我嗎？　這也難怪啦，
畢竟我和協會的其他人也很驚訝。","","의심하는 거야? 뭐, 무리도 아니지
나나 협회의 모두도 놀라고 있어","Du bezweifelst es?
Das ist normal. Ich und die anderen im Club
waren auch überrascht."
107,4038,"","...Huh!? Candy?
No, I said ""flocking like kids to candy,"" haha.","……什麼？　竹筍？
對喔……因為是「節節高升」嘛，哈哈。","","……뭐!? 장구?
아, 그건가…「승승장구」니까… 하하","Was?! Bonbons?
Nein, ich meinte, „Alle kommen in Scharen,
wie Kinder zu Bonbons“, haha."
108,4038,"","All right, enough clowning around. Remember, I'm
your client. Right?","喂，不要讓大人配合你說冷笑話啦！
而且我還是委託人耶！　真是的……","","…가 아니라, 어른이 신경 쓰게 만들지 마!
게다가 나, 의뢰인이라고? 정말이지…","So, genug Herumblödeln.
Ich bin dein Klient, schon vergessen?"
109,4038,"","But yeah, anyway... *sigh*","不過……唉……","","그런데 말야… 하아아아아아…","Aber ja ... *Seufz*"
110,4038,"","This really should have drummed up a lot more
interest, but the ticket sales haven't changed
much.","照理說應該有很多人對我們的公演有興趣，
但實際上售票情況跟之前並沒有太大的差別。","","그 정도로 많은 관심을 받고 있을 터인데
시합 티켓 매상이 지금까지와 별반 다르지 않아","Es hätte viel mehr Interesse geben sollen, aber
der Verkauf der Tickets ist nicht
wirklich angestiegen."
111,4038,"","Not only that, the site's server has been
crashing, too.","而且令人頭痛的是，
官網的伺服器一直處於連不上的狀態。","","게다가 곤란하게도
공식 사이트 서버가 툭하면 다운돼서…","Und nicht nur das, der Server für die Seite ist
auch abgestürzt."
112,4038,"","Even though it has attracted attention, no one can
access the site, so now the association has its
hands full dealing with complaints.","明明引起了話題，結果大家卻看不到網站。
協會目前光是處理客訴就應付不過來了。","","화제를 낳고 있는데도 사이트를 보지 못하니까
지금 협회는 클레임에 대응하는 것만으로 벅찬 상황이야","Die Leute wollen mehr erfahren, aber niemand
kommt auf die Seite. Jetzt hat der Verband
jede Menge Beschwerden am Hals."
113,4038,"","The site just got so popular so quickly! It's not
a pleasant thought, but maybe someone is messing
with us. So, we'd like you to investigate.","我很不想這麼認為，
但網站人氣突然飆高，可能是有誰在背後搞鬼。
所以我想請你調查一下原因。","","갑자기 사이트 인기가 높아진 것도
생각하고 싶지는 않지만 누군가가 수작을 부린 걸지도 몰라
그래서 네게 원인 조사를 부탁하고 싶어","Die Seite wurde einfach so schnell extrem beliebt!
Kein schöner Gedanke, aber was, wenn jemand uns
übel mitspielt? Geh der Sache bitte nach."
114,4038,"","The association Web site's URL is on that card.
You should start out by checking it out.","這張名片上有協會官網的URL，
總之請你先去看一下網站吧。","","그 명함에 협회 공식 사이트 URL도 적혀 있으니까
일단 한 번 사이트를 둘러봐줘","Die URL der Verbands-Website ist auf der Karte.
Die solltest du dir zuerst anschauen."
130,4038,"","First off, how about you check out the Web site?
Looks like that PC over there is free.","總之先看一下網站再說吧？
那台電腦好像可以自由使用。","","일단 협회 사이트를 봐두면 좋지 않을까?
거기 있는 PC라면 자유롭게 사용해도 될 것 같아","Wie wäre es, wenn du dir die Website anschaust?
Der PC da drüben scheint frei zu sein."
150,4038,"","Ah, it's you. How did the investigation go?","是你啊，調查得怎麼樣了？","","아아, 너구나. 조사는 어땠어?","Ach, du bist es. Wie laufen denn die Ermittlungen?"
151,4038,"","Huh? Digi-what? What the heck is that?","咦？“數碼”……什麼東西？
那到底是……","","뭐, ""디지""… 뭐라고?
그건 대체…","Hä? Digi-was? Was zum Teufel ist denn das?"
152,4038,"","...Oops, sorry, it's an e-mail. Lemme see...","……啊，不好意思，我有一封簡訊。我瞧瞧……","","……이런, 미안. 메일이 왔네. 어디 보자…","Huch, sorry, da ist eine E-Mail.
Einen Moment ..."
153,4038,"","Huh!?","什麼！？","","어!?","Was?!"
154,4038,"","Check it out, now the server seems to be running
just fine! Did you fix it with that...""Digi""
thingamajig somehow?","你聽我說，伺服器的連線速度好像在剛才突然變快了！
是因為你把那個……“數碼”……什麼的
處理掉的關係嗎？","","…들어봐. 방금 갑자기 서버가 가벼워졌다고 해!
네가 그…""디지""… 뭐시기를 어떻게 해 준 덕분인 거야?","Schau mal, der Server scheint jetzt ohne Problem
zu laufen! Hast du das mit dem ... „Digi“ ...
Dingsda irgendwie behoben?"
155,4038,"","Okay, great, thanks...
Well, I'm not celebrating just yet.","這樣啊，謝謝你……
但我總覺得無法由衷感到高興。","","그렇구나, 고마워…
아니, 아무래도 솔직히는 기뻐할 수 없겠네","Okay, toll, danke ...
Ich lasse den Sekt noch kalt gestellt."
156,4038,"","I thought the reason the server kept crashing was
because the site was getting so many views from
all the fans, but...well...","之前以為來看我們網站的人多到
伺服器都連不上線，
還想說增加了很多拳擊迷呢……唉……","","서버가 다운될 정도로 사이트를 봐주는 사람이
많다고 생각했으니까, 팬이 엄청나게 늘었다고
여기고 싶었는데… 하아아아아아……","Ich dachte, der Server wäre immer abgestürzt, weil
so viele Fans auf die Seite zugreifen wollten,
aber nun ja ..."
157,2001,"","Keep the spirits up.
At least I'm interested in boxing now, too.","打起精神來，
我也對拳擊產生興趣了。","","기운내
나도 복싱에 관심이 생겼어","Kopf hoch. Ich bin jetzt auch Box-Fan!
Lass dich nicht unterkriegen."
158,4038,"","Thank you, that's really great to hear!","偵探大人……謝謝你，
很高興聽到你這麼說。","","탐정님… 고마워
그렇게 말해줘서 기뻐","Danke. Schön, das zu hören!"
159,4038,"","From now on I'll just have to put on more matches
and bring in more fans! Okay, I'll do my best!","以後我們要增加公演，招攬到更多的拳擊迷才行！
嗯，我會努力的！","","앞으로 시합 수를 더 늘려서, 더욱 더 팬을
많이 만들어야겠지! 응, 힘낼게!","Ab jetzt muss ich nur mehr Kämpfe organisieren und
mehr Fans anlocken. Ich werde mein Bestes tun!"
160,2000,"","(...Don't need this card anymore.)","（名片已經用不到了吧。）","","(…명함은 이제 필요없네)","(... Diese Karte brauche ich nicht mehr.)"
