ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
10,3006,"","Tracking down lost objects is among the most basic
skills any good detective has, so make sure you
always stay on top of those cases.","『尋找失物』在偵探的工作中是基礎中的基礎。
今後也要請你好好地完成工作囉。","","""유실물 찾기""는 탐정의 일 중에서도 기본 중의 기본이다
앞으로도 확실히 해나가도록","Das Auffinden von verlorenen Items ist
ein wichtiges Talent für einen guten Detektiv.
Kümmere dich immer um diese Fälle."
20,3006,"","I see you've been working hard for Mirei. Nice
job. You two appear to be developing quite the
unique dynamic, if I do say so myself.","米蕾的委託完成了嗎？辛苦了……
和她之間的“緣分”，似乎給予你
別具一格的“羈絆”呢。","","미레이의 의뢰를 끝낸 건가. 수고했다…
그녀와의 ""인연""은 색다른 ""유대""를
네게 준 것 같군","Wie ich sehe, hast du dich für Mirei ins Zeug
gelegt. Ihr zwei entwickelt langsam eine
einzigartige Dynamik, wenn ich das so sagen darf."
30,3006,"","Great work. What do you say I pour you a cup of
coffee for your trouble?","辛苦你了。
要不要幫你泡杯咖啡？","","수고했다
커피라도 타 줄까?","Gute Arbeit. Wie wäre es, wenn ich dir zur
Belohnung etwas Kaffee mache?"
90,3006,"","So the last of the seven mysteries piqued
Wizardmon's curiosity, huh? I didn't peg him for
it, but he just might make for a decent detective.","七大不可思議最後的謎團，
是由巫師獸的求知欲所引發的結果嗎？
它說不定意外地很適合當偵探喔。","","7대 불가사의 마지막의 수수께끼는
위자몬의 지적 호기심이 부른 일이었지만
그는 의외로 탐정에 맞을지도 모르겠군","Das letzte der sieben Rätsel hat Wizardmon
neugierig gemacht, was? Wer hätte es gedacht?
Vielleicht wird er mal ein guter Detektiv."
140,3006,"","Thanks for your hard work, as always. Now we can
only hope that ""seedling"" you saved blossoms into
a big movie star down the line.","喔，辛苦你了。
期待你所拯救的小小“幼苗”，
總有一天能開花綻放，成為知名電影明星。","","아아, 수고했다
네가 구한 작은 ""새싹""이 언젠가
거물 영화배우의 꽃을 피우는 것을 기대하도록 하지","Ich danke dir wie immer für deine gute Arbeit.
Wir können nur hoffen, dass dein geretteter
„Setzling“ zu einem großen Filmstar heranwächst."
190,3006,"","Using Digimon as part of an idol promotion... Now
that's not something you hear every day. I've got
to tip my hat to the event planner for that one.","使用數碼寶貝來宣傳偶像啊……
企劃這個活動的人所想的點子還真有趣。","","디지몬을 아이돌의 프로모션으로 사용하다니
그 이벤트의 기획자는 꽤나 재미있는 생각을 하는군","Digimon zum Marketing für ein Idol zu benutzen ...
Das ist ungewöhnlich. Da muss man schon
den Hut vor dem Veranstalter ziehen."
200,3006,"","Ever get hit with a sudden wave of nostalgia when
you listen to a music box? Heehee, me too...
Don't mind me. I'm just thinking out loud...","聽到音樂盒的樂曲後，你不會突然產生一股鄉愁感嗎？
我也……呵呵，沒事。","","오르골 소리를 들으면 문득 향수를 느낄 때 없나?
나도… 후후, 아무것도 아니다","Überkommt dich jemals Nostalgie, wenn du einer
Spieluhr zuhörst? Haha, mich auch ...
Ach, hör nicht auf mich. Ich denke nur laut nach."
220,3006,"","Thanks for running those errands.
Heehee, that's what the client called 'em, not me.","勞煩你跑一趟了。
……呵呵，因為委託內容是這麼寫的啊。","","심부름, 수고했다
…후후, 의뢰내용에 그렇게 쓰여 있었으니까 말이지","Danke, dass du diese „Botengänge“ erledigt hast.
Haha, der Klient hat sie so genannt, nicht ich."
240,3006,"","Digipedia? Yeah, of course I know about it.
Actually, how'd you go this long without hearing
about it? I'm surprised, considering your age.","數碼百科？　喔，我當然知道啊。
倒不如說，身為助手的你竟然到現在才知道……？","","디지디지피디아? 아아, 물론 알고 있다
오히려 조수, 너는 지금까지 몰랐던 건가…?","Digipedia? Natürlich habe ich davon gehört.
Wie kommt es, dass du noch nicht davon gehört
hattest? Ungewöhnlich, in deinem Alter."
250,3006,"","Digipedia is a hugely popular site used around
the world. I know it doesn't feel like it, but you
just saved a global community of users.","數碼百科是全世界都在使用的網站。
也就是說，你透過這次的委託，拯救了全世界的使用者哦？
……不過，你應該沒什麼真實感吧。","","디지디지피디아는 전세계에서 이용하고 있는 사이트다
즉 너는 이 의뢰로 전세계의 유저를 구한 거라는 얘기지
…뭐, 잘 실감이 나지 않겠지만 말이다","Digipedia ist eine weltweit sehr beliebte Seite.
Ich weiß, das ist schwer zu glauben, aber
du hast eine globale Gemeinschaft gerettet."
