ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4200,"","Huuuuuh!? You telling me to stop hacking!? No way,
buddy! The high I get being bad's too good to
give up! Now stay out of my way!","什麼！？　要我別再當駭客？
我才不要！　我已經迷上惡作劇的刺激感了。
少來阻礙我！","","어엉!? 해커를 그만두라고?
거절하겠다! 나쁜 짓을 할 때의 스릴이 참을 수 없거든
방해하지 말라고!","Waaas?! Ich soll mit dem Hacken aufhören?! Auf
keinen Fall! Es ist so ein Kick für mich, böse zu
sein! Halt dich aus meinen Angelegenheiten raus!"
1,4200,"","Fine, fine! I get it! I'll stop hacking already!
I hate dealing with goody-goody asswipes like
you...","……唉！　知道了知道了！
我不當駭客就是了。
我已經受夠被你這種傢伙糾纏不休了……","","…아―! 알았어 알았어!
해커는 그만둘게
너 같은 녀석이랑 얽히는 건 이제 질색이야","Na schön! Ich werde das Hacken aufgeben!
Ich hasse es, mich mit superbraven
Speichelleckern wie dir abgeben zu müssen."
2,4200,"","Huh? You want me to stop misusing my Digimon and
give up hacking?","啊？不要再濫用數碼寶貝來非法入侵？","","아아? 디지몬을 악용해서 해킹하는 건 그만두라고?","Was?! Ich soll aufhören, mein Digimon zu
missbrauchen? Das Hacken aufgeben?"
3,4200,"","The hell you going on about? The Digimon program's
prime for hacking! I'm using it just as it was
always intended!","你在說什麼啊？
所謂的數碼寶貝程式，
就是為了非法入侵而存在的啊！？","","너, 뭐라는 거야?
디지몬 프로그램은
해킹을 위한 프로그램이잖아!?","Wovon redest du bloß? Das Digimon-Programm
ist ideal zum Hacken! Ich nutze es bloß, wie
es ursprünglich gedacht war!"
4,4200,"","What good is a tool if you don't use it, dumbass!?
Anyone in my position would use this for their
own benefit!","道具就是要使用才會產生“價值”！
為了持有人的利益而發揮效用是理所當然的吧！？","","도구는 사용되어야 ""가치""가 생긴다고!
소유자의 이익을 위해 일하는 게 당연하잖아!?","Was bringt ein Werkzeug, wenn man es nicht nutzt,
du Idiot?! Jeder an meiner Stelle würde es
zu seinem Vorteil nutzen!"
5,4200,"","...I see that look in your eyes. If you've got
anything more to say about what I do, you're just
gonna have to fight me!","…………你那是什麼眼神啊？
有意見的話……就來打一架啊！？","","…………………………뭐야, 그 눈은
불만이 있으면… 해볼 테냐 이 자식아!?","... Ich sehe, wie du guckst. Wenn du noch mehr
zu meinen Machenschaften zu sagen hast, musst
du mit mir kämpfen!"
6,4200,"","Okay, okay! I get what you're saying! Shut up
already... Will you leave me alone if I promise to
treat my Digimon better from now on?","我、我知道了我知道了！饒過我吧……！
我不會再任意驅使數碼寶貝了……！","","아, 알았어 알았다고! 이제 봐 줘…!
디지몬을 더 이상 혹사시키지 않을게…!","Okay, okay! Ich verstehe schon, was du willst!
Jetzt halt die Klappe ... Lässt du mich in Ruhe,
wenn ich verspreche, Digimon besser zu behandeln?"
7,4200,"","I hate having to deal with asswipes like you...","我已經受夠被你這種傢伙糾纏不休了……","","너 같은 거랑 얽히는 건 질색이야…","Ich hasse es, mich mit Speichelleckern wie dir
abgeben zu müssen ..."
10,4201,"","I never really wanted to be a Hacker in the first
place, I swear! But I, but I... Aaaaaaugh!","我、我其實也不想當什麼駭客啊！
可是，可是……哇啊啊啊啊啊！！","","나, 나도 사실은 해커 같은 거 하고 싶지 않아!
하지만, 하지만… 우와아아아앙!!","Eigentlich wollte ich überhaupt kein Hacker sein,
ich schwöre es! Aber ich, aber ich ... Arrrgh!"
11,4201,"","I was threatened into being a hacker or else...
But now I see the light! I'm going to go back and
stand up for myself now, thanks to you!","有人威脅我不當駭客就要欺負我……
但我現在已經有所覺悟了！　我會試著和那些傢伙對抗的。","","해커가 되지 않으면 괴롭힌다고 협박당했다고!
그래도 눈이 뜨였어! 나, 그 녀석들한테 맞서 볼래","Mir wurde gedroht, wenn ich kein Hacker werde,
dann ... Aber jetzt werde ich mich wehren.
Das verdanke ich dir!"
