ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
200,3013,"","If you're here, you must have taken up my case.","你接下委託了呢。","","의뢰, 받아 줬구나","Da du hier bist, hast du wohl meinen Fall
übernommen."
201,3013,"","I figured you'd naturally come, given your close
ties to Digimon.","如果是和數碼寶貝之間有相連羈絆的你，
我想一定就會過來。","","디지몬과의 인연으로 맺어진 너라면
당연히 와 줄 거라고 생각했어","Ich dachte mir schon, dass du kommst, da du
dich mit den Digimon so gut verstehst."
202,3013,"","Anyway, let's get straight to business, shall we?
You've already been to Kowloon in EDEN before,
yes?","我們現在就來談委託的內容。
你……已經見到Kowloon的駭客了嗎？","","…바로 의뢰에 대한 내용인데
너… 이미 쿠롱의 해커랑 만났어?","Wie dem auch sei, kommen wir gleich zum Punkt, ja?
Du warst in EDEN schon in Kowloon, oder?"
203,3013,"","Then that'll make this conversation much quicker.","是嗎？那我們可以長話短說了。","","그렇구나, 그럼 이야기가 빠르겠네","Das macht diese Unterhaltung sehr viel kürzer."
204,3013,"","EDEN is filled to the brim with hackers who view
Digimon as little more than mere tools to do their
bidding.","在這個世界……EDEN裡橫行霸道的駭客們，
只把數碼寶貝當作便利的道具來看待而已……","","이 세계… EDEN에 만연한 해커들은
디지몬을 그저 편리한 도구로밖에 보지 않아…","EDEN ist voll von Hackern, die Digimon nur als
Werkzeuge für ihre Absichten ansehen."
205,3013,"","Of course, said bidding is rather malicious and
illegal in nature, to put it simply.","不僅如此，還將它們用在犯罪行為上。","","그 뿐만이 아니라 그들을 범죄 행위에 이용하고 있어","Natürlich sind ihre Absichten ziemlich böse und
illegal, um es kurz zu machen."
206,3013,"","That's why I've sought out your help on this case.
I'd like you to go after one such hacker and let's
say ""discipline"" them for these terrible hijinks.","這次的委託，是希望你能以同樣是駭客的身分開戰，
藉以處罰那些駭客。","","이번 의뢰는 말이지, 그런 해커를 혼내줬으면 하는 거야
같은 해커로서, 배틀로 말이지","Darum möchte ich für diesen Fall deine Hilfe.
Ich möchte, dass du einem solchen Hacker nachsetzt
und ihn für seinen Unfug „disziplinierst“."
207,3013,"","Hopefully as one of their own, they'll learn from
your example to treat their Digimon much more
kindly from now on.","然後，我希望他們反省，承諾不再濫用數碼寶貝。","","그리고 더 이상 디지몬을 악용하지 않겠도록 반성시켜 줬으면 해","Hoffentlich kannst du ihm als Hacker ein
gutes Beispiel sein. So lernt der Hacker dann,
seine Digimon besser zu behandeln."
208,3013,"","Hmm? Not every hacker might be so bad, you say?","咦……？
駭客說不定……並不全是壞蛋？","","뭐…?
해커는 나쁜 녀석들만 있는 게 아닐지도… 모른다고?","Hm? Vielleicht sind nicht alle Hacker so schlimm,
meinst du?"
209,3013,"","From the way you talk, I take it you've met some
that make you so optimistic, then?","呵呵……你已經遇到
值得期待的駭客了嗎？","","후후… 기대를 갖고 있던 해커와
벌써 만난 걸까?","Was du sagst, lässt darauf schließen, dass du
welche getroffen hast, die dich optimistisch
stimmen?"
210,3013,"","Well, I'll take your word for it if you really do
believe that.","既然你這麼說，那我就姑且相信吧……","","네가 그렇다고 한다면 믿어 볼게…","Wenn du das wirklich denkst, dann glaube ich dir."
211,3013,"","But that doesn't change the fact that there are
indeed bad eggs out there, ones that abuse their
Digimon and make them suffer terribly...","不過，壞蛋駭客的存在也是事實。
數碼寶貝們現在仍遭到濫用而痛苦不堪……","","하지만 질 나쁜 해커가 있는 것도 사실이야
디지몬들은 지금도 악용당해 괴로워하고 있어","Das ändert aber nichts daran, dass es da draußen
doch faule Eier gibt, die ihre Digimon
missbrauchen und schrecklich leiden lassen ..."
212,3013,"","So I would still appreciate it if you turned up
the heat on such hackers, so to speak.","為了讓它們能夠輕鬆一點，
可以請你修理修理那些駭客嗎？","","그들이 조금이라도 편해지도록
해커들에게 따끔한 맛을 보여주지 않을래?","Deshalb würde ich es schätzen, wenn du solchen
Hackern sozusagen die Hölle heiß machst."
213,3013,"","Thank you. I knew I could trust you to join me
in such an important cause.","謝謝你。
我就知道你一定會答應。","","…고마워
너라면 받아줄 거라고 생각했어","Danke. Ich wusste, dass du mir bei einer so
wichtigen Angelegenheit helfen würdest."
214,3013,"","I've already found an especially malevolent hacker
lurking about inside EDEN.","我已經先把EDEN裡的壞蛋駭客
都挑出來了。","","EDEN에서도 특히 질 나쁜 해커를
미리 픽업해 뒀어","Ich habe bereits einen besonders böswilligen
Hacker in EDEN ausfindig gemacht."
215,3013,"","This hacker seems to be somewhere on Kowloon
Lv. 2.","這個駭客好像在「Kowloon Lv. 2」……","","그 해커는「쿠롱 Lv.2」에 있는 것 같아…","Dieser Hacker scheint irgendwo auf der zweiten 
Ebene in Kowloon zu sein."
216,3013,"","This one seems to be a particularly nasty hacker.
You'll know why.","是個感覺相當惡劣的傢伙，
只要搭過話馬上就能明白。","","정말 질이 나빠 보이는 녀석이니까
말을 걸어 보면 바로 알 거야","Dieser scheint besonders fies zu sein. Du wirst
schon verstehen, was ich meine."
217,3013,"","That's all I have for you right now. Thank you
again for taking up this case. Once you're done,
come back here and report back to me.","那就萬事拜託了。
結束後再麻煩你來回報。","","그럼 잘 부탁해
끝나면 보고하러 와 줘","Mehr habe ich für dich momentan nicht. Danke
noch mal, dass du bei dem Fall hilfst. Komm wieder
her, wenn du fertig bist, und erstatte Bericht."
300,3013,"","It appears everything went smoothly for you.
I'm so glad I called on you to help me clean up
EDEN.","似乎順利完成了呢。
拜託你真是太好了……不對，不應該這樣說。","","순조롭게 끝난 모양이네
네게 부탁하길 잘 했어―… 아니, 아니네","Wie es aussieht, hast du die Sache ohne Probleme
erledigt. Ich bin so froh, dass ich dich gebeten
habe, in EDEN für Ordnung zu sorgen."
301,3013,"","Although knowing how strong your bonds to your
Digimon are, perhaps this end result was the work
of fate... Heehee.","對於和數碼寶貝之間擁有強烈羈絆的你來說，
這個結果也是所謂的“命運”啊……呵呵。","","디지몬과의 강한 유대를 가지고 있는 네게 있어선
이 결과도 ""운명""이었던 거야… 후후","Wobei ... Wenn man bedenkt, wie gut du mit deinen
Digimon auskommst, war dieses Resultat
vielleicht ein Wink des Schicksals ... Hihi."
302,3013,"","Heehee, you should take that as a compliment.","呵呵……這算是在誇獎你喔？","","후후… 일단 칭찬하고 있는 건데?","Hihi, sieh es als ein Kompliment."
303,3013,"","Regardless, thank you for all your hard work
today. I expect great things from you going
forward, as well.","總之，辛苦你了。
“接下來”也拜託你囉。","","어쨌든 수고했어
""앞으로도"" 잘 부탁해","Wie dem auch sei, danke für all deine Mühe heute.
Auch in Zukunft erwarte ich gute Arbeit von dir."
304,2000,"","...?","……？","","…?","...?"
305,3013,"","Oh, you didn't think we were done with just this
one hacker you took care of, did you?","你怎麼一副事情已經解決的樣子？","","…뭘 이제 다 끝났다고 생각하고 있는 거야?","Ach, du dachtest doch wohl nicht, dass mit diesem
einen Hacker, den du erledigt hast, schon alles
abgehakt ist, oder?"
306,3013,"","Sad to say, there are still numerous hackers out
there who are mistreating their Digimon horribly.　 ","還有很多正在折磨數碼寶貝的
惡質駭客喔。","","디지몬들을 괴롭히는 악질적인 해커는
아직 많이 있어","Leider gibt es da draußen noch zahlreiche Hacker,
die ihre Digimon furchtbar missbrauchen. 　"
307,3013,"","While you were out taking down that first hacker,
I drafted up what you might call a ""hacker
blacklist.""","在你去打倒第一個人的期間，
我做了一張壞蛋駭客的「黑名單」。","","네가 첫 번째를 쓰러뜨리는 사이에
질 나쁜 해커들의「블랙리스트」를 만들어 봤어","Während du damit beschäftigt warst, den ersten
Hacker zu erledigen, habe ich etwas angelegt,
was man „Schwarze Liste für Hacker“ nennen könnte."
308,3013,"","Right now, there are 30 such outlaw hackers on the
list, with this one you just defeated bumping the
total number down to 29.","目前……我列出了30個“無法之徒”。
你剛才打倒了一個，所以剩下29個。","","지금으로선… 30명의 ""무법자""를 리스트업해놨지
아까 한 명을 쓰러뜨렸으니까 29명 남았네","Momentan sind auf der Liste 30 gesetzlose Hacker.
Mit dem, den du gerade besiegt hast, sind
insgesamt noch 29 übrig."
309,2000,"","...!","……！！","","…!!","...!"
