ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1406,"","Aaargh!","唔、唔喔喔喔喔喔！？","","끄, 끄어어어어어!?","Aaargh!"
2,1097,"","You beat him?!","打、打倒了……？","","쓰, 쓰러트렸어……?","Du hast ihn besiegt?!"
3,1406,"","Hahahaha!","別開玩笑了──！！","","웃기지 마라아아아아!!","Hahahaha!"
4,2020,"","!!!","！！！","","!!!","!!!"
5,1406,"","Did you think it would be that easy?! Now I'm
going to make you pay!","別以為這樣就贏了！
絕饒不了你！　我一定要把你打飛！","","이딴 걸로 이겼다고 생각 마라!
이제 용서 안 해! 반드시 날려버린다!","Dachtest du, dass es so leicht sein würde?! Jetzt
wirst du dafür zahlen!"
6,1406,"","Get ready to meet your maker!","做好覺悟吧，你這個雜魚！！","","각오해라 이 망할 피래미자식드으을!!","Dein letztes Stündlein hat geschlagen!"
7,1097,"","What now?!","咿！
該、該怎麼辦！？","","힉!
어, 어떻게 해!?","Was denn jetzt schon wieder?!"
8,1097,"","That just made him mad!","他完全沒事耶！？","","저 녀석 완전 팔팔한데!?","Jetzt ist er wütend!"
9,2020,"","Confront him.
Run away with DemiDevimon.","向前迎戰。
和小惡魔獸一起逃走。","","맞선다
피코데블몬과 도망간다","Ihn konfrontieren.
Mit DemiDevimon weglaufen."
10,1097,"","Are you sure?","沒、沒問題嗎？","","괘, 괜찮아?","Bist du sicher?"
11,1406,"","Excellent! I'll burn you to a crisp!","正合我意！
我就把你打成灰燼！！ ","","그래 좋다!
숯덩어리로 만들어주마아아!!","Ausgezeichnet! Ich werde dich verbrennen!"
12,1035,"","Stop! That's my prey!","……且慢。
他是我的獵物。","","……기다려라.
그 녀석은 내 먹잇감이다","Halt! Das ist meine Beute!"
13,2020,"","!!!","！！！","","!!!","!!!"
14,1097,"","Let's get out of here!","那、那就快逃吧！","","그, 그럼 얼른 도망가자!","Nichts wie weg hier!"
15,1406,"","You think I'll let you get away?! Pathetic!","以為我會讓你們逃走嗎？
怎麼可能！！","","놓칠 것 같냐?
그럴 리 없잖냐아아아!!","Du denkst, dass ich dich entwischen lasse?!
Das hättest du wohl gerne!"
16,1035,"","I see that first beating did not discourage you.","喂喂，你明明就輸了一次，
看起來還挺有精神的嘛。","","어이어이, 한 번 졌으면서
제법 기운이 좋군","Wie ich sehe, hat dich die erste Tracht Prügel
nicht abgeschreckt."
17,1035,"","But don't they say that an animal is at its most
dangerous when wounded.","果然喪家犬就是很會吠啊？","","역시 패배자는 위세가 좋군그래?","Aber es heißt ja, dass ein Tier am gefährlichsten
ist, wenn es verwundet ist."
18,2020,"","!!!","！！！","","!!!","!!!"
19,1406,"","One of the Seven Deadly Digimon! How did you get
here?!","你、你是七大魔王的……！
為、為什麼會在這裡……！","","너, 너는 7대 마왕인……!
어, 어떻게 여기에……!","Einer der Sieben Dämonenkönige! Wie bist du
hergekommen?!"
20,1035,"","Think about it, you fool. I arrived just after
this human.","看到這個人類出現在這時就該發現了，蠢蛋。","","이 인간이 여기 있는 시점에서 깨달아라, 얼간이","Denk mal nach, du Idiot. Ich bin direkt nach
diesem Menschen gekommen."
21,1406,"","So...the human deactivated my barrier?!","你……說什麼……？
也就是說，是這個人類把牆給……！","","뭐……라고……?
그럼, 벽은 이 인간이……!","Der Mensch hat ... meine Barriere deaktiviert?!"
22,1035,"","He's been a great help.","好了，駭客。
這次受你照顧了。","","그럼, 해커.
이번에는 신세를 졌군","Er war mir eine große Hilfe."
23,1035,"","I never thought he would bring you to heel,
SkullMeramon.","沒想到你真的幫我把死神火焰獸逼到這個地步。","","설마 정말로 데드메라몬을
몰아붙일 줄은 몰랐다","Ich hätte nie gedacht, dass er dich gefügig
machen würde."
24,1035,"","Call if you ever require my assistance. That will
make things even between us.","需要我的幫忙時隨時告訴我。
這樣就一債還一債了。","","내 힘을 빌리고 싶을 때는 불러라.
그걸로 빚은 없는 거다","Ruf mich, falls du jemals meine Hilfe benötigst.
Dann sind wir quitt."
25,1035,"","I have been waiting for this moment.","讓你久等了。","","기다리게 했군","Auf diesen Augenblick habe ich gewartet."
26,1035,"","Now you will get what you deserve, coward.","做好覺悟了嗎？
混帳東西。","","각오는 됐나?
쓰레기 자식","Jetzt bekommst du, was du verdient hast, du
Feigling."
27,1406,"","Wa-wait! Please, forgive me! I wasn't thinking!","等、等一等！　請、請原諒我！
我只是一時衝動！","","기, 기다려줘! 요, 용서해 줘!
그냥 충동적인 거였어!","Wa-Warte! Bitte vergib mir! Ich hatte das nicht
durchdacht!"
28,1406,"","I-I-I just got carried away. It happens to
everyone, right?!","誰都有稍微得意忘形，不小心做過頭的時候吧！？","","조금 우쭐해서 지나친 행동을 하는 건
누구나 하잖아!?","I-I-I-Ich habe es einfach etwas übertrieben. Das
macht doch jeder mal, nicht wahr?!"
29,1406,"","I won't do it ever again! Please!","我不會再犯了！
所以請救救我！","","더는 이런 짓 안 할게!
그러니까 살려줘!","Ich verspreche, es nie wieder zu tun! Bitte!"
30,1035,"","I have pride. I would never attack the weak.","我啊，不會做出攻擊弱小的這種事。
也不會在非戰鬥時一方面地蹂躪對方。","","나는 말이다, 약자를 공격하는 짓은 하지 않는다.
전투도 아닌 일방적인 도륙 따위도 하지 않는다","Ich habe meinen Stolz. Ich würde Schwache niemals
angreifen."
31,1406,"","So you'll let me go?!","那、那麼……！","","그, 그럼……!","Dann lässt du mich gehen?!"
32,1035,"","But I will make an exception for the likes of you.","但是……像你這樣的廢物就另當別論了。","","하지만……네놈 같은 쓰레기는 별개다","Aber für jemanden wie dich mache ich eine
Ausnahme."
33,1406,"","No! AAARGH!!!","等……！
啊、呀啊啊啊啊！！！","","잠!
아, 끄아아아아악!!!","Nein! AAARGH!!!"
