ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,7344,"","Huh? A Digimon is sick? What are the symptoms?","數碼寶貝生病了啊。
順便問一下，是什麼樣的症狀？","","헤에, 디지몬이 병에 걸렸다고?
참고로, 어떤 증상인데?","Was? Ein Digimon ist krank? Was sind die Symptome?"
2,7344,"","I see. What a terrible disease.","……原來如此。
那恐怕是惡性的傳染病。","","…아하.
그거 아무래도 질이 나쁜 전염병이네","Ich verstehe. Was für eine schreckliche Krankheit."
3,7344,"","It was a while back, but there was an outbreak at
the DigiMarket once.","雖然是很久之前的事了，
但數碼市場也曾經流行過傳染病。","","꽤 전 일인데, 디지마켓에서도
대유행한 적이 있었거든","Es ist schon etwas her, aber auf dem DigiMarkt gab
es einmal einen Krankheitsausbruch."
4,7344,"","It was awful. So many Digimon would have died if
it wasn't for Dr. Datamon.","哎呀，那時候真是不得了。
若沒有分子獸博士的話，
一定會死很多數碼寶貝。","","이야, 그때는 큰일이었어.
데이터몬 박사가 없었다면
많은 디지몬이 죽었을 거야","Es war furchtbar. Wenn Dr. Datamon nicht gewesen
wäre, wären viele Digimon gestorben."
5,7344,"","Dr. Datamon is an amazing doctor who specializes
in making medicines for Digimon.","分子獸博士是位為了數碼寶貝
而製作藥物的偉大博士。","","데이터몬 박사는
디지몬을 위한 약을 만드는 대단한 선생이야","Dr. Datamon ist ein fantastischer Arzt, der auf
die Herstellung von Medizin für Digimon
spezialisiert ist."
6,7344,"","Thanks to Dr. Datamon's new medicine, the disease
at the DigiMarket was contained fairly quickly.","在數碼市場流行傳染病時，
也多虧有分子獸博士的新藥，
所以情況一下子就控制住了。","","디지마켓에서 대유행한 병도
데이터몬 박사의 신약 덕분에
순식간에 치료되었어","Dank der neuen Medizin von Dr. Datamon konnte die
Krankheit auf dem DigiMarkt relativ schnell
eingedämmt werden."
7,7344,"","You want Dr. Datamon to make a new medicine?","你說你想要分子獸博士的新藥？","","데이터몬 박사의 신약을 구하고 싶다고?","Du möchtest, dass Dr. Datamon eine neue Medizin
herstellt?"
8,7344,"","Then you need to go and see it. It should be at
this URL, collecting medicinal ingredients.","那你去見一見博士吧。
博士現在為了收集藥的材料，
應該在這個URL裡。","","그럼 박사를 만나러 가 봐.
박사는 지금 약재료를 모으기 위해서
이 URL에 있을 거야","Dann musst du mit ihm reden. Er sollte sich unter
dieser URL aufhalten und Zutaten für Medizin
sammeln."
9,7344,"","Please give my regards to Dr. Datamon.","見到分子獸博士的話代我問聲好。
那麼再見了。","","데이터몬 박사를 만나면 안부 전해줘.
그럼 이만","Bitte grüße Dr. Datamon von mir."
10,2020,"","(Maybe Dr. Datamon can make a medicine to cure
Togemon! I'll go and see it!)","（如果是分子獸博士的話，說不定能做出
　可以治好仙人掌獸的藥……！　去見見他吧！）","","(데이터몬 박사라면 니드몬을 치료할 약을
 만들 수 있을지도 몰라…! 만나러 가보자!)","(Vielleicht kann Dr. Datamon eine Medizin
herstellen, damit Togemon geheilt wird! Ich werde
mit ihm reden!)"
