ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3012,"","Is that it? How disappointing.","剛才這樣就結束了啊…
還真是無聊呢。","","지금 그게 끝인가……
정말 맥아리 없군예","Das war’s? Wie enttäuschend."
2,3012,"","By the way, I watched your performance.","話說你呀，
我見識到你的實力了喔。","","근데 당신,
실력 잘 봤습니더","Übrigens habe ich dich im Kampf beobachtet."
3,3012,"","With such a mediocre level of skill, aren't you
embarrassed as a member of Hudie and an associate
of Zaxon?","……你啊，只有那種程度，還身為Zaxon的屬下，
身為hudie的一員，難道不會不好意思嗎？","","……당신, 그런 솜씨로 잭슨의 산하로서,
후디에의 일원으로써 창피하지도 않습니꺼?","Bei deinen mittelmäßigen Fähigkeiten –
schämst du dich gar nicht als Mitglied von Hudie
und Partner von Zaxon?"
4,3012,"","Far from being a help to Hudie, you're more likely
to be a hindrance.","就是說，就憑你現在的力量，
一旦發生了什麼事，別說是救hudie了，
根本只是大家的累贅啊。","","요점은, 지금의 당신 힘으론
유사시에 후디에에 도움이 되기는커녕
걸리적대기만 할 수도 있단 말입니더","Du bist Hudie bei Weitem keine Hilfe, sondern eher
ein Hindernis."
5,2020,"","What can I do?
I need to up my game.
I need to train more and get stronger.","要怎麼做才好？
不能一直都這樣……
必須更加鍛鍊，變得更強才行","","어떻게 해야 좋을까?
이대로는 안 돼……
더 단련해서 강해져야 해","Was kann ich tun?
Ich muss besser werden.
Ich muss trainieren und stärker werden."
6,3012,"","You're gravely mistaken if you think anyone can
give an immediate answer to that question.","如果你覺得問別人就能馬上得到答案，
那可就大錯特錯了啊。","","남한테 물어보면 금방 대답해줄 거라고 생각한다면
큰 착각이지요","Du irrst dich gewaltig, wenn du glaubst, dass dir
jemand eine direkte Antwort auf diese Frage geben
kann."
7,3012,"","Good. The look on your face tells me you know that
you know how much work you need to put in.","……你那表情真不錯呢。
是覺得不能再這樣下去了，很不甘心的臉呢。","","……그 얼굴, 좋군예.
분해서 이대론 안 되겠다고 생각하는 얼굴이구만요","Gut. Dein Gesichtsausdruck verrät mir, dass du
weißt, wie viel Arbeit du investieren musst."
8,3012,"","That's a grown-up attitude, as I would expect from
a member of Hudie.","嗯……只看態度，
倒是很有hudie一員的樣子呢。","","흐음……마음만큼은 훌륭한
후디에의 일원이로군예","Das ist eine reife Haltung, wie ich sie von einem
Mitglied von Hudie erwarten würde."
9,3012,"","You could have a surprisingly bright future ahead.
It will be interesting to see how you develop.","你呀，意外得很值得期待呢。
說不定能稍微讓我開心一下……","","당신, 의외로 장래성은 있을 것 같은데.
이거 조금은 즐길 수 있을지도 모르겠습니더……","Vor dir liegt vielleicht eine überraschend helle
Zukunft. Es wird interessant zu sehen, was aus dir
wird."
10,3012,"","Do you mean you need to train your Digimon more?
If so, you are still missing the point.","你是指「會好好鍛鍊數碼寶貝」嗎？
如果是那樣，看來你還沒有找到正確的答案喔。","","그건 「디지몬을 단련시킨다」라는 의미입니꺼?
그렇다면 아직 정답엔 도달하지 않은 것 같군예","Meinst du damit, dass du deine Digimon öfter
trainieren musst? Wenn dem so ist, verstehst du
immer noch nicht, worum es geht."
11,3012,"","You should have the drive to make yourself
stronger as well. Otherwise, you will never reach
your potential.","要是你沒有想讓自己變得更強的氣魄，
不管多久，你都永遠無法翻身的。","","당신 자신도 강해지겠다는 기개를 가지시지예.
안 그러면 아무리 지나도 위로는 오를 수 없습니더","Du solltest den Antrieb haben, auch selbst
stärker zu werden. Sonst wirst du niemals dein
Potenzial ausschöpfen."
12,3012,"","There's nothing else for it. I've decided I'll do
something to help Hudie out.","……真是拿你沒辦法。
就當作看在hudie的份上，我就助你一臂之力吧。","","……어쩔 수 없군예.
후디에를 위해 발 벗고 나서드리겠슴더","Es hilft alles nichts. Ich habe beschlossen, etwas
zu tun, um Hudie zu helfen."
13,3012,"","I will be your instructor.","我就特別來當你的師傅吧。","","특별히 내가 당신 사부가 되어드리죠","Ich werde dich anleiten."
14,3012,"","If you don't like the thought of being a
hindrance, then stick with my intense training.","如果被說成累贅，感到不甘心的話，
就來撐過我的嚴苛訓練吧。","","걸리적거린다는 소릴 듣고 분하다고 생각했다면
내 훈련을 마지막까지 참아보도록 하시지예","Wenn dir der Gedanke nicht gefällt, ein Hindernis
zu sein, dann musst du mein hartes Training
absolvieren."
15,3012,"","Here, take this.","拿去吧，給你這個。","","자. 당신에게 이걸 주겠습니더","Hier, nimm das."
16,3012,"","It's up to you to decide whether or not to accept
my offer. But if you want to turn things around,
call me.","反正要不要接受也是看你啦。
如果想要改變丟人的自己，就來找我吧。","","뭐, 받든 안 받든 당신 나름입니더.
한심한 자신을 바꾸고 싶다면 내를 부르도록","Es liegt an dir, ob du mein Angebot annimmst oder
nicht. Aber wenn du die Kurve kriegen willst, dann
ruf mich."
17,3012,"","You should seriously consider it if you want to
carry on being a hacker. Bye for now.","今後，還想要作為一名駭客活下去的話……
就好好考慮一下吧。","","앞으로도 해커로서 살아가겠다면……잘 생각해보소.
그럼 이만","Du solltest es ernsthaft in Erwägung ziehen, wenn
du als Hacker weitermachen willst. Bis später."
