ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4517,"","Have you heard about any weird phenomena around
here? My friend says she's seen reality act like
cyberspace and buildings get devoured and stuff.","你有聽到出現怪現象的那個傳聞嗎？
朋友好像遇到了，說什麼「現實好像變成了
電腦空間」還是什麼「建築物晃來晃去」之類的……","","괴현상이 일어나고 있다는 소문, 들은 적 있어?
친구가 맞닥뜨린 모양인데,「현실이 전뇌세계 같아」
라든가「건물이 울렁울렁거려」라든가…","Hast du von komischen Phänomenen hier gehört?
Meine Freundin meinte, die Realität wird wie der
Cyberspace. Gebäude werden verschlungen und so."
1,4517,"","I have no idea what she's talking about.
I wonder if she's okay...","他跟我說明了好幾次但我還是聽不懂……
那孩子沒問題嗎？","","몇 번이나 설명을 들었는데도 전혀 의미를 모르겠어…
걔, 괜찮은 걸까?","Ich habe keine Ahnung, wovon sie redet.
Hoffentlich ist alles in Ordnung ..."
2,4518,"","Hey, cool threads! Are they for a team or
something?","你的衣服很帥呢！
是哪一隊的衣服啊？","","네 옷, 멋지네!
무슨 팀 복장 같은 거야?","He, coole Klamotten! Sind die für ein Team oder
so etwas?"
3,4519,"","You shouldn't fritter away all your time in EDEN.
If you don't use your real-life body, your muscles
will all shrivel up!","沉溺在EDEN是不好的喔。
不好好動動現實中的身體，身體會變得虛弱的。","","EDEN에 틀어박히는 것은 좋지 않아
현실에서 몸을 움직여주지 않으면 몸이 약해져버리니까","Du solltest nicht nur in EDEN herumhängen. Wenn
man seinen echten Körper nicht benutzt, verkümmern
alle Muskeln!"
4,4700,"","EDEN accounts use your personal info, so you can
deal with the government through them. The better
standing you're in, the more access you get.","EDEN的帳號可以識別個人身分，
也可以完成行政交易。
社會地位越高，帳號的權限也就跟著提高……","","EDEN의 계정은 개인식별이 가능해서
행정 관련 거래도 할 수 있어
사회적 지위가 높을수록 접속 권한도 높아지고…","EDEN-Konten nutzen deine Personendaten, wie ein
Ausweis. Je höher deine Position, desto mehr
Zugang gewährt dir die Regierung."
5,4700,"","Not that it matters to someone like me at the low
end of the totem pole.","……呃，雖然是和像我這在社會底層的人無緣的話題。","","…뭐, 나 같은 밑바닥 인간하고는
상관 없는 이야기지만","... Nicht, dass das für mich bei meinem niedrigen
Status eine Rolle spielt."
6,4700,"","But that's why this ""account raiding"" is on the
rise. Take care of your info!","……但因為這樣，鎖定帳號目標的犯罪才會增加。
「帳號狩獵」……正在流行，還是小心一點比較好。","","…그래서 계정을 노리는 범죄가 늘어나는 거야.
「계정 사냥」…유행하고 있으니까, 조심하는 편이 좋아","Aber deshalb greifen diese Kontendiebstähle immer
mehr um sich. Pass auf deine Daten auf!"
7,4522,"","I can pretty much do whatever I need to in EDEN,
so besides school, I barely go outside anymore.
I hope they just make school in EDEN, too.","幾乎所有事都能在EDEN解決，
所以除了上學幾乎不出門。
真希望乾脆連上學也能在EDEN解決。","","EDEN에서 뭐든 할 수 있으니까 학교에 갈 때 빼고는
거의 밖에 나가질 않아.
차라리, 학교 수업도 EDEN 안에서 해줬으면 좋겠어","Ich kann alles in EDEN tun, was ich will. Deshalb
gehe ich außer zur Schule kaum mehr raus.
Hoffentlich gibt’s die Schule auch bald in EDEN."
8,4523,"","In EDEN, my real-life bad leg doesn't matter.
I have to adjust my avatar a bit, of course, but
the sensory feedback is really something.","即使我的腳不好，但在EDEN時卻可以好好行走。
雖然還是有調整化身的必要，
但EDEN的虛擬實境功能真的做得很好。","","나는 다리가 안 좋지만 EDEN에선 그런 거 관계없이
걷는 것이 가능해. 물론, 아바타의 조정은 필요하지만
EDEN의 유사감각 기능은 정말 잘 만들어져있지","Mein lahmes Bein im echten Leben ist in EDEN egal.
Ich muss meinen Avatar etwas anpassen,
aber die sensorische Rückmeldung ist toll."
9,4520,"","The top area is for the EDEN offices of government
agencies and big corporations. It's so glitzy!","在最上層的區域擠滿了政府的公共機關
和有名大企業的EDEN分公司……
真的非常的華麗喔！","","최상층 에어리어에는 정부의 공공기관이나
이름 높은 대기업의 EDEN 지사가 몰려있어…
정말로 휘황찬란한 에어리어야!","Der Bereich ganz oben ist für die EDEN-Büros von
Behörden und Großunternehmen. Er ist so glamourös!"
