ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Critical Hit","會心一擊","","회심의 일격","Kritischer Treffer"
2,"","Cannot learn this skill.","未習得技能","","스킬을 배우지 않았습니다.","Fertigk. nicht lernbar."
3,"","There are no sub-members.","沒有候補成員。","","서브 멤버가 존재하지 않습니다.","Keine Untermitglieder."
4,"","Waiting for opponent.","連線待機中…","","통신 대기 중…","Warte auf Gegner ..."
5,"","","","","",""
6,"","","","","",""
7,"","","","","",""
8,"","","","","",""
9,"","","","","",""
10,"","","","","",""
11,"","","","","",""
12,"","","","","",""
13,"","","","","",""
14,"","","","","",""
15,"","","","","",""
