ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Cyber Sleuth Male Protagonist Avatar
""Cyber Sleuth, on the scene!"" /Avatar","網路偵探男主角的化身
「電腦偵探，在此登場！」／化身","","사이버 슬루스의 남주인공 아바타
「전뇌탐정, 여기 등장!」/아바타","Avatar: Cyber-Detektiv, männ. Hauptfigur
„Cyber-Detektiv ist zur Stelle!“ /Avatar"
2,"","Cyber Sleuth Female Protagonist Avatar
""Investigation Start!"" /Avatar","網路偵探女主角的化身
「電腦偵探，開始調查！」／化身","","사이버 슬루스의 여주인공 아바타
「전뇌탐정, 조사 개시!」/아바타","Avatar: Cyber-Detektiv, weib. Hauptfigur
„Die Ermittlung geht los!“ /Avatar"
3,"","Cyber Sleuth Male Protagonist Avatar
""Cyber Sleuth, on the scene!"" /Avatar","網路偵探男主角的化身
「電腦偵探，在此登場！」／化身","","사이버 슬루스의 남주인공 아바타
「전뇌탐정, 여기 등장!」/아바타","Avatar: Cyber-Detektiv, männ. Hauptfigur
„Cyber-Detektiv ist zur Stelle!“ /Avatar"
4,"","Cyber Sleuth Female Protagonist Avatar
""Investigation Start!"" /Avatar","網路偵探女主角的化身
「電腦偵探，開始調查！」／化身","","사이버 슬루스의 여주인공 아바타
「전뇌탐정, 조사 개시!」/아바타","Avatar: Cyber-Detektiv, weib. Hauptfigur
„Die Ermittlung geht los!“ /Avatar"
5,"","Cyber Sleuth Male Protagonist Avatar
""Cyber Sleuth, on the scene!"" /Avatar","網路偵探男主角的化身
「電腦偵探，在此登場！」／化身","","사이버 슬루스의 남주인공 아바타
「전뇌탐정, 여기 등장!」/아바타","Avatar: Cyber-Detektiv, männ. Hauptfigur
„Cyber-Detektiv ist zur Stelle!“ /Avatar"
6,"","Cyber Sleuth Female Protagonist Avatar
""Investigation Start!"" /Avatar","網路偵探女主角的化身
「電腦偵探，開始調查！」／化身","","사이버 슬루스의 여주인공 아바타
「전뇌탐정, 조사 개시!」/아바타","Avatar: Cyber-Detektiv, weib. Hauptfigur
„Die Ermittlung geht los!“ /Avatar"
7,"","Hacker's Memory Main Character Avatar
""Start the hack!"" /Avatar","駭客追憶主角的化身
「入侵……開始！」／化身","","해커스 메모리의 주인공 아바타
「해킹… 개시다!」/아바타","Avatar: Hauptfigur (Hacker's Memory)
„Das Hacken beginnt!“ /Avatar"
8,"","Hacker's Memory Main Character Avatar
""Start the hack!"" /Avatar","駭客追憶主角的化身
「入侵……開始！」／化身","","해커스 메모리의 주인공 아바타
「해킹… 개시다!」/아바타","Avatar: Hauptfigur (Hacker's Memory)
„Das Hacken beginnt!“ /Avatar"
9,"","Hacker's Memory Main Character Avatar
""Start the hack!"" /Avatar","駭客追憶主角的化身
「入侵……開始！」／化身","","해커스 메모리의 주인공 아바타
「해킹…개시다!」/아바타","Avatar: Hauptfigur (Hacker's Memory)
„Das Hacken beginnt!“ /Avatar"
10,"","Yuugo Avatar
""What kind of hacker will you be?"" /Avatar","YUGO的化身
「你想成為哪種駭客呢？」／化身","","유고의 아바타
「넌, 어떤 해커가 되고 싶어?」/아바타","Avatar: Yuugo
„Wie wirst du als Hacker sein?“ /Avatar"
11,"","Nokia Shiramine Avatar
""Rebels, to me!"" /Avatar","白峰諾奇雅的化身
「反叛者，集合啦～！」／化身","","시라미네 노키아의 아바타
「리벨리온즈, 집합이니라~!!」/아바타","Avatar: Nokia Shiramine
„Rebels, zu mir!“ /Avatar"
12,"","Yuuko Kamishiro Avatar
""...You like that one?"" /Avatar","神代悠子的化身
「……你喜歡那個嗎？」／化身","","카미시로 유코의 아바타
「……좋아하시나요, 그거」/아바타","Avatar: Yuuko Kamishiro
„... Magst du die?“ /Avatar"
13,"","Arata Sanada (Hood Up) Avatar
""Nice to meet you and all that."" /Avatar","真田新(戴帽)的化身
「……總之，隨便指教」／化身","","사나다 아라타(후드 씀)의 아바타
「…적당히 잘 부탁해」/아바타","Avatar: Arata Sanada (Kapuze auf)
„Ist mir ein Vergnügen und so.“ /Avatar"
14,"","Arata Sanada (Hood Down) Avatar
""Nice to meet you and all that."" /Avatar","真田新(脫帽)的化身
「……總之，隨便指教」／化身","","사나다 아라타(후드 벗음)의 아바타
「…적당히 잘 부탁해」/아바타","Avatar: Arata Sanada (Kapuze runter)
„Ist mir ein Vergnügen und so.“ /Avatar"
15,"","Kyoko Kuremi Avatar
""A simple deduction."" /Avatar","暮海杏子的化身
「這是初步的推理喔」／化身","","쿠레미 쿄코의 아바타
「초보적인 추리지」/아바타","Avatar: Kyoko Kuremi
„Eine einfache Schlussfolgerung.“ /Avatar"
16,"","Detective Matayoshi Avatar
""...Don't you be forgetting it."" /Avatar","又吉刑警的化身
「我是新宿獵師刑警……記好了啊」／化身","","마타요시 형사의 아바타
「신주쿠 마타기 형사다… 기억해둬라」/아바타","Avatar: Kommissar Matayoshi
„Vergessen Sie das bloß nicht.“ /Avatar"
17,"","Rie Kishibe Avatar
""Good work!"" /Avatar","岸部里繪的化身
「嗨～～辛苦你囉～☆」／化身","","키시베 리에의 아바타
「네네네~~~, 수고하셨습니다~♥」/아바타","Avatar: Rie Kishibe
„Gute Arbeit!“ /Avatar"
18,"","Akemi Suedou Avatar
""...What a marvelous approach!"" /Avatar","末堂明實的化身
「……太棒了！！」／化身","","스에도 아케미의 아바타
「……굉장합니다!!」/아바타","Avatar: Akemi Suedou
„Was für eine Herangehensweise!“ /Avatar"
19,"","Jimmy KEN Avatar
""Can you feel it?"" /Avatar","Jimmy Ken的化身
「有感覺到嗎？這股Feeling」／化身","","지미KEN의 아바타
「전해져? 이 필링」/아바타","Avatar: Jimmy KEN
„Spürst du das?“ /Avatar"
20,"","Fei Avatar
""I'll mess y'all up!"" /Avatar","菲的化身
「讓我開心一下吧」／化身","","페이의 아바타
「즐겁게 해 주시지요」/아바타","Avatar: Fei
„Euch mache ich zur Schnecke!“ /Avatar"
21,"","Mirei Avatar
""Welcome to the DigiLab."" /Avatar","米蕾的化身
「你是被誰所引導到這來的呢？」／化身","","미레이의 아바타
「누구의 인도를 받아 여기에 온 거야?」/아바타","Avatar: Mirei
„Willkommen im DigiLab.“ /Avatar"
22,"","Rina Shinomiya Avatar
""Here goes, Veevee!"" /Avatar","四之宮莉娜的化身
「要上了喔，VV！」／化身","","시노미야 리나의 아바타
「가자~ 브이브이!」/아바타","Avatar: Rina Shinomiya
„Los geht’s, Veevee!“ /Avatar"
23,"","Makiko Date Avatar
""Anyway, you're under arrest!"" /Avatar","伊達真紀子的化身
「總之，你被逮捕了」／化身","","다테 마키코의 아바타
「일단 넌 체포다」/아바타","Avatar: Makiko Date
„Du bist jedenfalls verhaftet!“ /Avatar"
26,"","Sayo Avatar
""...Help me bring Dianamon home."" /Avatar","小夜的化身
「……請多指教」／化身","","사요의 아바타
「…잘 부탁해」/아바타","Avatar: Sayo
„Hilf, Dianamon heimzuholen.“ /Avatar"
27,"","Reiko Tawa Avatar
""No music, no life!"" /Avatar","田和玲子的化身
「音樂是人生的一部分！」／化身","","타와 레이코의 아바타
「음악은 인생의 일부니까요!」/아바타","Avatar: Reiko Tawa
„Kein Leben ohne Musik!“ /Avatar"
28,"","Yuugo Kamishiro Avatar
""........."" /Avatar","神代勇吾的化身
「……」／化身","","카미시로 유고의 아바타
「……….」/아바타","Avatar: Yuugo Kamishiro
„... ... ...“ /Avatar"
29,"","Erika Mishima Avatar
""...There's something about him."" /Avatar","御島艾莉卡的化身
「……好像，會很有趣」／化身","","미시마 에리카의 아바타
「……어쩐지 재미있을지도」/아바타","Avatar: Erika Mishima
„Er hat etwas an sich.“ /Avatar"
