ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","C. Sleuth Male","網路偵探男主角","","사이버 슬루스 남주인공","Cyber-Detektiv (M)"
2,"","C. Sleuth Female","網路偵探女主角","","사이버 슬루스 여주인공","Cyber-Detektiv (W)"
3,"","Cyber Sleuth M (Uniform)","網路偵探男主角（制服）","","사이버 슬루스 남주인공(교복)","Herrenuniform (CS)"
4,"","Cyber Sleuth F (Uniform)","網路偵探女主角（制服）","","사이버 슬루스 여주인공(교복)","Damenuniform (CS)"
5,"","C. Sleuth M T-shirt","網路偵探男主角T Shirt","","사이버 슬루스 남주인공 티셔츠","Herren-T-Shirt (CS)"
6,"","C. Sleuth F T-shirt","網路偵探女主角T Shirt","","사이버 슬루스 여주인공 티셔츠","Damen-T-Shirt (CS)"
7,"","H. Memory Protag","駭客追憶主角","","해커스 메모리 주인공","Hauptfigur (HM)"
8,"","H. Memory (Uniform)","駭客追憶主角（制服）","","해커스 메모리 주인공(교복)","Uniform (HM)"
9,"","H. Memory P. T-shirt","駭客追憶主角T Shirt","","해커스 메모리 주인공 티셔츠","Hauptf.-T-Shirt (HM)"
10,"","Yuugo","YUGO","","유고","Yuugo"
11,"","Nokia","諾奇雅","","노키아","Nokia"
12,"","Yuuko","悠子","","유코","Yuuko"
13,"","Arata (Hood Up)","真田新(戴帽)","","아라타(후드 씀)","Arata (Kapuze auf)"
14,"","Arata (Hood Down)","真田新(脫帽)","","아라타(후드 벗음)","Arata (Kapuze runt.)"
15,"","Kyoko","杏子","","쿄코","Kyoko"
16,"","Matayoshi","又吉","","마타요시","Matayoshi"
17,"","Kishibe","岸部","","키시베","Kishibe"
18,"","Suedou","末堂","","스에도","Suedou"
19,"","Jimiken","Jimmy Ken","","지미켄","Jimiken"
20,"","Fei","菲","","페이","Fei"
21,"","Mirei","米蕾","","미레이","Mirei"
22,"","Rina","莉娜","","리나","Rina"
23,"","Date","伊達","","다테","Date"
24,"","Ryota","良太","","료타","Ryota"
25,"","Sakura","櫻","","사쿠라","Sakura"
26,"","Sayo","小夜","","사요","Sayo"
27,"","Reiko Tawa","田和玲子","","타와 레이코","Reiko Tawa"
28,"","Yuugo","勇吾","","유고","Yuugo"
29,"","Erika","艾莉卡","","에리카","Erika"
30,"","Ryuji","龍司","","류지","Ryuji"
31,"","Chitose","千歲","","치토세","Chitose"
32,"","Yu","圭介","","유우","Yu"
33,"","Erika (Hospital)","艾莉卡(病人服)","","에리카(환자복)","Erika (Krankenhaus)"
34,"","K","K","","K","K"
35,"","Ryota","良太","","료타","Ryota"
36,"","Sakura","櫻","","사쿠라","Sakura"
37,"","Victory Uchida","V內田","","V우치다","Viktor Uchida"
38,"","Mephisto","梅菲斯特先生","","메피스토씨","Mephisto"
39,"","Makoto Yamashina","山科誠","","야마시나 마코토","Makoto Yamashina"
40,"","Chika Yamashina","山科千夏","","야마시나 치카","Chika Yamashina"
