ID,Japanese,English,Chinese,EnglishCensored,Korean,German
3,"","YES","YES","","YES","JA"
4,"","NO","NO","","NO","NEIN"
1000,"","NO DATA","NO DATA","","NO DATA","KEINE DATEN"
1001,"","Play Time　","遊戲時間","","플레이 시간","Spielzeit:　"
1002,""," hours ","小時","","시간"," Std. "
1003,""," mins","分","","분"," Min."
1200,"","Party","隊伍","","파티","Gruppe"
1201,"","Farm Island 1","農場島１","","팜 섬 1","Farminsel 1"
1202,"","Farm Island 2","農場島２","","팜 섬 2","Farminsel 2"
1203,"","Farm Island 3","農場島３","","팜 섬 3","Farminsel 3"
1204,"","Farm Island 4","農場島４","","팜 섬 4","Farminsel 4"
1205,"","Farm Island 5","農場島５","","팜 섬 5","Farminsel 5"
1206,"","DigiBank","數碼銀行","","디지털 뱅크","Digibank"
1207,"","You cannot go here.","無法移動到這裡","","여기로는 이동할 수 없습니다.","Nicht zugänglich."
1208,"","Move to [d0]","移動到[d0]","","[d0]에 이동","Nach: [d0]"
1209,"","Moved to [d0]","已移動到[d0]","","[d0]에 이동했습니다.","Jetzt: [d0]"
1210,"","Scan Rate","掃描率","","스캔율","Scanwert"
1211,"","%","%","","%"," %"
1212,"","There is no Digimon.","沒有數碼寶貝","","디지몬이 없습니다.","Kein Digimon vorhanden."
1213,"","Empty","Empty","","Empty","Leer"
1214,"","???","？？？","","???","???"
1215,"","Requirements","必要條件","","필요조건","Anforderungen"
1216,"","Level ","等級","","레벨","Level "
1217,""," or higher","以上","","이상"," oder höher"
1218,"","MAX HP is ","最大HP","","최대 HP가 ","Max. TP ="
1219,"","MAX SP is ","最大SP","","최대 SP가 ","Max. SP ="
1220,"","ATK is ","ATK","","공격력이 ","ANG = "
1221,"","DEF is ","DEF","","방어력이 ","VER = "
1222,"","INT is ","INT","","지력이 ","INT = "
1223,"","SPD is ","SPD","","민첩이 ","GES = "
1224,"","ABI is ","才能","","재능이 ","FÄH = "
1225,""," required","必要",""," 필요"," erforderlich"
1226,"","CAM is ","友情","","우정이 ","KAM = "
1227,"","% required","%必要","","% 필요"," % erforderlich"
1228,""," held","擁有","","을(를) 가지고 있다."," in Besitz"
1229,"","CAM 100% ","友情100%的","","우정 100%의 ","KAM 100 % "
1230,""," is your friend.","在同伴中","","가(이) 동료에 있다"," ist Freund."
1231,"","You have discovered this Digimon before.","曾見過這種數碼寶貝","","이 디지몬을 발견한 적이 있다.","Du hast dieses Digimon bereits entdeckt."
1232,"","DNA Digivolution Possible!","合體進化完成！","","조그레스 진화 OK!","DNA-Digitation möglich!"
1233,"","DNA Digivolution Not Possible...","合體進化失敗．．．","","조그레스 진화 NG…","DNA-Digitation unmöglich!"
1234,"","Can perform a Mode Change unconditionally.","可無條件地變更模式","","모드체인지는 무조건 할 수 있습니다.","Moduswechsel uneingeschränkt möglich."
1235,"","Stats won't change during a Mode Change:","即使變更模式，以下狀態也不會產生變化","","모드체인지를 해도 이하의 스테이터스는 변화하지 않습니다.","Keine Wertänderung bei Moduswechsel:"
1236,"","- Level","・等級","","* 레벨","- Level"
1237,"","- Max Level","・最高等級","","* 최대 레벨","- Max. Level"
1238,"","- EXP","・EXP","","* EXP","- EP"
1239,"","- Abilities","・才能","","* 재능","- Fähigkeiten"
1240,"","- Camaraderie","・友情","","* 우정","- Kameradschaft"
1241,"","- Personality","・個性","","* 개성","- Persönlichkeit"
1300,"","Difficulty","難易度","","난이도","SchwGr."
1301,"","★","★","","★","★"
1302,""," cleared!","已過關","","을(를) 클리어 했습니다."," abgeschlossen!"
1303,"","Reward Money","報酬金","","보수금","Verdienst"
1304,"","Yen","YEN","","YEN"," Yen"
1305,"","CSP Obtained","獲得CSP","","획득 CSP","CDP"
1306,"","CSP","CSP","","CSP","CDP"
1307,"","x","×","","x","x"
1308,"","-","‐","","-","–"
1500,"","Male","男性","","남성","Männlich"
1501,"","Female","女性","","여성","Weiblich"
1600,"","---","---","","---","–"
1601,"","A to B","從a到b","","ㄱ∼ㄴ","A bis B"
1602,"","C to F","從c到d","","ㄷ∼ㄸ","C bis F"
1603,"","G to G","從e到g","","ㄹ∼ㄹ","G"
1604,"","H to K","從h到h","","ㅁ∼ㅁ","H bis K"
1605,"","L to L","從j到j","","ㅂ∼ㅃ","L"
1606,"","M to M","從k到l","","ㅅ∼ㅆ","M"
1607,"","N to P","從m到r","","ㅇ∼ㅇ","N bis P"
1608,"","R to S","從s到t","","ㅈ∼ㅌ","R bis S"
1609,"","T to U","從v到x","","ㅍ∼ㅍ","T bis U"
1610,"","V to Z","從y到z","","ㅎ∼ㅎ","V bis Z"
1611,"","Cannot Digivolve further.","無法繼續進化","","이 이상 진화할 수 없습니다.","Nicht weiter digitierbar."
1612,"","Cannot De-Digivolve further.","無法繼續退化","","이 이상 퇴화할 수 없습니다.","Nicht weiter de-digitierbar."
