ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Default","預設","","디폴트","Standard"
2,"","Butterfly","Butter-Fly","","Butter-Fly","Schmetterling"
3,"","Brave Heart","brave heart","","brave heart","Mutiges Herz"
4,"","Target: Red Strike","ターゲット ～赤い衝撃～","","ターゲット ～赤い衝撃～","Ziel: roter Angriff"
5,"","Break Up","Break Up","","Break Up","Trennung"
6,"","The Biggest Dreamer","The Biggest Dreamer","","The Biggest Dreamer","Der größte Träumer"
7,"","Slash!","SLASH!!","","SLASH!!","Schlitz!"
8,"","Fire!","FIRE!!","","FIRE!!","Feuer!"
9,"","With the Will","With The Will","","With The Will","Willensstark"
10,"","Being Strong! Going! My Soul!","強ing! Going! My soul!!","","強ing! Going! My soul!!","Sei stark, meine Seele!"
11,"","Believer","Believer","","Believer","Gläubig"
12,"","Never Give Up!","ネバギバ！","","ネバギバ！","Gib nie auf!"
13,"","We Are Cross Heart!","WE ARE クロスハート！","","WE ARE クロスハート！","Wir sind Kreuzherz!"
