ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","CAM UP","友情UP","","우정 업","KAM+"
2,"","MAJOR CAM UP","低機率友情大幅UP","","가끔 우정 업 대","STARKES KAM+"
3,"","BIG CAM UP","友情大幅UP","","우정 업 대","GROSSES KAM+"
4,"","HP UP","HP UP","","HP 업","TP+"
5,"","SP UP","SP UP","","SP 업","SP+"
6,"","ATK UP","ATK UP","","공격력 업","ANG+"
7,"","DEF UP","DEF UP","","방어력 업","VER+"
8,"","INT UP","INT UP","","지력 업","INT+"
9,"","SPD UP","SPD UP","","민첩 업 대","GES+"
10,"","BIG CAM & ABI UP","友情與才能大幅UP","","우정과 재능 업 대","GROSSES KAM+ & FÄH+"
