ID,Japanese,English,Chinese,EnglishCensored,Korean,German
0,"","Logout","登出","","로그아웃","Ausloggen"
1,"","EDEN","EDEN","","EDEN","EDEN"
2,"","Kamishiro","神代","","카미시로","Kamishiro"
3,"","Kowloon","Kowloon","","쿠롱","Kowloon"
4,"","Zaxon","Zaxon","","잭슨","Zaxon"
5,"","Demons","惡魔亂舞","","데몬즈","Demons"
6,"","Server","伺服器","","서버","Server"
7,"","Debug","除錯用","","디버깅용","Debug"
8,"","d03","d03","","d03","d03"
9,"","d30","d30","","d30","d30"
10,"","d31","d31","","d31","d31"
11,"","d32","d32","","d32","d32"
12,"","d33","d33","","d33","d33"
13,"","d35","d35","","d35","d35"
14,"","d36","d36","","d36","d36"
15,"","d37","d37","","d37","d37"
16,"","Financial Institution Server","金融企業伺服器","","금융기업 서버","Server des Finanzinstituts"
17,"","Cyber Crimes Backup Server","警視廳　備用伺服器","","경시청 예비 서버","Cybersicherheitsserver"
18,"","Power Plant Server","發電廠伺服器","","발전소 서버","Server des Kraftwerks"
19,"","Under Kowloon","Under Kowloon","","언더 쿠롱","Unter Kowloon"
20,"","Hacker Forum","駭客討論區","","해커 포럼","Hackerforum"
