ID,Japanese,English,Chinese,EnglishCensored,Korean,German
301,"","HP Attach E","HP附件E","","HP어태치 E","TP-Zusatz E"
302,"","HP Attach D","HP附件D","","HP어태치 D","TP-Zusatz D"
303,"","HP Attach C","HP附件C","","HP어태치 C","TP-Zusatz C"
304,"","HP Attach B","HP附件B","","HP어태치 B","TP-Zusatz B"
305,"","HP Attach A","HP附件A","","HP어태치 A","TP-Zusatz A"
306,"","SP Attach E","SP附件E","","SP어태치 E","SP-Zusatz E"
307,"","SP Attach D","SP附件D","","SP어태치 D","SP-Zusatz D"
308,"","SP Attach C","SP附件C","","SP어태치 C","SP-Zusatz C"
309,"","SP Attach B","SP附件B","","SP어태치 B","SP-Zusatz B"
310,"","SP Attach A","SP附件A","","SP어태치 A","SP-Zusatz A"
311,"","ATK Attach E","ATK附件E","","ATK어태치 E","ANG-Zusatz E"
312,"","ATK Attach D","ATK附件D","","ATK어태치 D","ANG-Zusatz D"
313,"","ATK Attach C","ATK附件C","","ATK어태치 C","ANG-Zusatz C"
314,"","ATK Attach B","ATK附件B","","ATK어태치 B","ANG-Zusatz B"
315,"","ATK Attach A","ATK附件A","","ATK어태치 A","ANG-Zusatz A"
316,"","DEF Attach E","DEF附件E","","DEF어태치 E","VER-Zusatz E"
317,"","DEF Attach D","DEF附件D","","DEF어태치 D","VER-Zusatz D"
318,"","DEF Attach C","DEF附件C","","DEF어태치 C","VER-Zusatz C"
319,"","DEF Attach B","DEF附件B","","DEF어태치 B","VER-Zusatz B"
320,"","DEF Attach A","DEF附件A","","DEF어태치 A","VER-Zusatz A"
321,"","INT Attach E","INT附件E","","INT어태치 E","INT-Zusatz E"
322,"","INT Attach D","INT附件D","","INT어태치 D","INT-Zusatz D"
323,"","INT Attach C","INT附件C","","INT어태치 C","INT-Zusatz C"
324,"","INT Attach B","INT附件B","","INT어태치 B","INT-Zusatz B"
325,"","INT Attach A","INT附件A","","INT어태치 A","INT-Zusatz A"
326,"","SPD Attach E","SPD附件E","","SPD어태치 E","GES-Zusatz E"
327,"","SPD Attach D","SPD附件D","","SPD어태치 D","GES-Zusatz D"
328,"","SPD Attach C","SPD附件C","","SPD어태치 C","GES-Zusatz C"
329,"","SPD Attach B","SPD附件B","","SPD어태치 B","GES-Zusatz B"
330,"","SPD Attach A","SPD附件A","","SPD어태치 A","GES-Zusatz A"
331,"","HIT Attach C","HIT附件C","","HIT어태치 C","TRE-Zusatz C"
332,"","HIT Attach B","HIT附件B","","HIT어태치 B","TRE-Zusatz B"
333,"","HIT Attach A","HIT附件A","","HIT어태치 A","TRE-Zusatz A"
334,"","AGL Attach C","AGL附件C","","AGL어태치 C","GEW-Zusatz C"
335,"","AGL Attach B","AGL附件B","","AGL어태치 B","GEW-Zusatz B"
336,"","AGL Attach A","AGL附件A","","AGL어태치 A","GEW-Zusatz A"
337,"","CRT Attach C","CRT附件C","","CRT어태치 C","KRT-Zusatz C"
338,"","CRT Attach B","CRT附件B","","CRT어태치 B","KRT-Zusatz B"
339,"","CRT Attach A","CRT附件A","","CRT어태치 A","KRT-Zusatz A"
340,"","Energy Disk","活力光碟","","에너지 디스크","Energiedisc"
341,"","Cheerful Disk","愉悅光碟","","치어풀 디스크","Lachdisc"
342,"","Tough Disk","堅毅光碟","","터프 디스크","Zähe Disc"
343,"","Soul Disk","靈魂光碟","","소울 디스크","Seelendisc"
344,"","Charge Disk","突擊光碟","","차지 디스크","Sturmdisc"
345,"","Oracle Disk","神諭光碟","","오라클 디스크","Orakeldisc"
346,"","Mind Disk","意志光碟","","마인드 디스크","Bewusstseinsdisc"
347,"","Mage Disk","法師光碟","","메이지 디스크","Magierdisc"
348,"","Thief Disk","盜賊光碟","","시프 디스크","Diebesdisc"
