ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","AAAAAAAAAAAAAACCCCCCAAAAAAAAAAAAADDAAAAAAEEEFFFFGGGGG","あいうえおかきくけこ亜欝ＡＡＡＡＡＡＡＣＡＡＡＡＡＡＡＡＡＤＡＡＡＡＡＡＡＡＡＥＦ","","아야어여오요우쿠케코아AAAAAAACAAAAAAAAAAADAAAAAAEF","AAAAAAAAAAAAAACCCCCCAAAAAAAAAAAAADDAAAAAAEEEFFFFGGGGG"
1000,"","Select a save location.","請選擇您要保存的位置。","","저장을 할 장소를 골라주세요.","Wähle einen Speicherort."
1001,"","Select data to load.","請選擇您要讀取的檔案。","","불러올 데이터를 선택하십시오.","Wähle die zu ladenden Daten."
1200,"","Move your Digimon to the Party, DigiBank or Farm Island.","可以將持有數碼寶貝移動到隊伍、數碼銀行、農場島中。","","소유한 디지몬을 파티, 디지털 뱅크, 팜 섬으로 이동할 수 있습니다.","Verschiebe Digimon in die Gruppe, Digibank oder Farminsel."
1201,"","Digivolve or De-Digivolve your Digimon.","可以使持有數碼寶貝進化、退化。","","소유한 디지몬의 진화, 퇴화가 가능합니다.","Lass deine Digimon digitieren oder de-digitieren."
1202,"","Consume up to five Digimon to enhance one of your Digimon.","最多可以消耗5隻持有數碼寶貝來強化1隻數碼寶貝。","","소유한 디지몬을 최대 5마리 소비하여 1마리의 디지몬을 강화합니다.","Absorbiere bis zu fünf Digimon, um ein Digimon zu stärken."
1203,"","Materialize Digimon with Scan Rates over 100%.","掃描率超過100%的數碼寶貝將會實體化。","","스캔율이 100%를 넘어선 디지몬을 실체화합니다.","Materialisiere Digimon mit einem Scanwert über 100 %."
1204,"","Return your Digimon to scan data.","將持有數碼寶貝回復為掃描數據。","","소유한 디지몬을 스캔 데이터로 되돌립니다.","Wandle deine Digimon in Scandaten um."
1205,"","Select Digimon to move.","請選擇要移動的數碼寶貝。","","이동할 디지몬을 선택해주세요.","Wähle die Digimon zum Verschieben aus."
1206,"","Select Digimon to move.","請選擇要移動的數碼寶貝。","","이동할 디지몬을 선택해주세요.","Wähle die Digimon zum Verschieben aus."
1207,"","Check the Stats, Equipment and Skills of your Digimon.","可以確認數碼寶貝的狀態、裝備、技能。","","디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.","Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1208,"","Select a destination.","請選擇移動地點。","","이동할 장소를 선택해주세요.","Wähle ein Ziel."
1209,"","Check the Stats, Equipment and Skills of your Digimon.","可以確認數碼寶貝的狀態、裝備、技能。","","디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.","Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
