ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","You got a 
""Free Pass"".","獲得【通行車票】","","【프리패스】
를 입수했습니다.","Du hast eine „Freikarte“
erhalten."
2,"","Field Tutorial 1","新手教學1","","필드 튜토리얼 1","Praxisanleitung 1"
3,"","This is a digital world created by a
computer program.","這裡是由電腦程式所創造出來的電腦世界。","","이곳은 컴퓨터 프로그램에 의해서
창조된 전뇌세계입니다.","Dies ist eine digitale Welt, die von einem
Computerprogramm erschaffen wird."
4,"","You can pass through a gate from an
access point set in the real world.","可以透過現實世界中所設置的登入地點
穿越出入口來到電腦世界。","","현실세계에 설치된 액세스 포인트로부터
게이트를 통해 올 수 있습니다.","Zugangspunkte in der echten Welt fungieren als
Tor."
5,"","If you choose to logout,
you will return to the real world.","只要選擇登出
就可以回到現實世界","","로그아웃을 선택하면
원래의 현실세계로 돌아갈 수 있습니다.","Wenn du dich ausloggst, kehrst du in die echte
Welt zurück."
6,"","Field Tutorial 2","新手教學2","","필드 튜토리얼 2","Praxisanleitung 2"
7,"","There are DigiFarms in the digital world
where you can change your party.","電腦世界裡有可以整編隊伍的數碼農場","","전뇌세계에는 파티 편성을 변경할 수 있는
디지팜이 있습니다.","In der Digitalen Welt gibt es Digifarmen, auf denen du
deine Gruppe verändern kannst."
8,"","Once you have collected scanned Digimon data, go
to a DigiFarm and try out changing your party!","掃描完的數碼寶貝數據累積到一定程度後
就回到數碼農場裡試著重新整編隊伍吧","","스캔한 디지몬 데이터가 쌓이면
디지팜에 가서
파티 편성을 변경해 봅시다.","Wenn du Digimon-Scandaten gesammelt hast, versuche
auf einer Digifarm deine Gruppe zu verändern."
9,"","Field Tutorial 3","新手教學3","","필드 튜토리얼 3","Praxisanleitung 3"
10,"","It looks like you've collected some
Digimon scan data.","數碼寶貝的掃描數據已經累積完成了","","디지몬의 스캔 데이터가
모여있는 것 같습니다.","Anscheinend hast du Digimon-Scandaten gesammelt."
11,"","Go to a DigiFarm and try adding the scanned
Digimon to your party!","回到數碼農場
將掃描完的數碼寶貝加到隊伍裡吧！","","디지팜에 가서
스캔한 디지몬을
파티에 넣어봅시다!","Besuche eine Digifarm und füge das gescannte
Digimon zu deiner Gruppe hinzu."
12,""," was added to the farm!","已經加入農場島了！","","이 팜에 추가되었습니다!"," wurde zur Farm hinzugefügt!"
13,"","You got a 
""Digivice"".","獲得【Digivice】","","【디지바이스】
를 입수했습니다.","Du hast ein „Digivice“ erhalten."
14,"","The ticket gate is closed.","剪票口閘門關閉中","","개찰구는 닫혀 있다.","Die Ticketschranke ist geschlossen."
15,"","You used your Free Pass to
open the ticket gate.","使用通行車票
開啟剪票口閘門","","프리패스를 사용해
개찰구를 열었다.","Du hast deine Freikarte benutzt, um die
Ticketschranke zu öffnen."
16,"","There's a red light!
You can't cross now!","紅燈
還不能過馬路","","적신호다.
아직 건널 수 없어.","Die Ampel ist rot! Du kannst jetzt nicht rüber!"
