ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,"","The Kowloon URL...
I wonder if someone
knows it?","Kowloon的URL嗎……
有沒有知道的人呢","","쿠롱의 URL인가…
알고 있는 사람은 없을까?","Die Kowloon-URL ...
Ob sie jemand kennt?"
1001,"","You got the Kowloon
URL!","獲得Kowloon的URL！","","쿠롱의 URL을
입수했다!","Du hast die Kowloon-
URL erhalten!"
1200,"","To find out about
dangerous people you
should ask people in
dangerous places!","有關危險份子的事
問危險場所裡的人
應該是最快的……！","","위험한 놈들에 대한 건
위험한 장소에 있는 놈들에게
묻는 것이 최고…겠지!","Um etwas über
gefährliche Leute zu
erfahren, solltest
du Leute an
gefährlichen Orten
befragen!"
1201,"","Got the Zaxon Forum
URL!","獲得Zaxon廣場的URL！","","잭슨 포럼의 URL을 입수했다!","Zaxon-Forum-URL
erhalten!"
1210,"","Account raiding...?
Someone in EDEN must
know something!","帳號狩獵嗎……
EDEN裡的人
或許會知道些什麼！","","계정 사냥인가…
EDEN에 있는 사람이라면
뭔가 알고 있을지도!","Kontendiebstahl ...?
Jemand in EDEN muss
etwas wissen!"
1211,"","The account raids
are the work of
Saxon?
Collect info in
Kowloon.","帳號狩獵是
Zaxon搞的鬼嗎？
在Kowloon蒐集情報吧","","계정 사냥은
잭슨의 짓일까?
쿠롱에서 정보를 모아보자.","Die Kontendiebstähle
sind das Werk von
Zaxon?
Sammle Informationen
in Kowloon."
1212,"","Things might become
clear if you go to
[m3020]...","雖然去了[m3020]
似乎就能瞭解一些事……","","[m3020]에 가면
무엇인지 알 수 있다는데…","Die Sache wird
vielleicht klarer,
wenn du nach
[m3020] gehst ..."
1300,"","Ask the people at
[m3030] what
they think.","向[m3030]裡的人
聽取意見吧","","[m3030]에 있는
사람에게 의견을 물어보자.","Frag die Leute in
[m3030], was
sie denken."
1301,"","You found a way to
get a girlfriend!","得知
「結交女朋友的方法」！","","「여자친구를 만드는 방법」을
전해들었다!","Du weißt jetzt, wie
man eine Freundin
bekommt!"
1310,"","Tell him the way to
get a girlfriend!","將已得知的
「結交女朋友的方法」
告訴他吧！","","전해들은
「여자친구를 만드는 방법」을
그에게 알려주자!","Sag ihm, wie man
eine Freundin
bekommt!"
1311,"","It looks like this
wasn't the answer
he was hoping for...","似乎不是他所期望的
答案……","","그가 원하는 답이
아닌 것 같다…","Das war anscheinend
nicht die Antwort,
die er sich erhofft
hat ..."
1320,"","Tell him the way to
get a girlfriend!","將已得知的
「結交女朋友的方法」
告訴他吧！","","전해들은
「여자친구를 만드는 방법」을
그에게 알려주자!","Sag ihm, wie man
eine Freundin
bekommt!"
1321,"","It looks like this
wasn't the answer
he was hoping for...","似乎不是他所期望的
答案……","","그가 원하는 답이
아닌 것 같다…","Das war anscheinend
nicht die Antwort,
die er sich erhofft
hat ..."
1330,"","Tell him the way to
get a girlfriend!","將已得知的
「結交女朋友的方法」
告訴他吧！","","전해들은
「여자친구를 만드는 방법」을
그에게 알려주자!","Sag ihm, wie man
eine Freundin
bekommt!"
1331,"","It looks like this
wasn't the answer
he was hoping for...","似乎不是他所期望的
答案……","","그가 원하는 답이
아닌 것 같다…","Das war anscheinend
nicht die Antwort,
die er sich erhofft
hat ..."
1340,"","Tell him the way to
get a girlfriend!","將已得知的
「結交女朋友的方法」
告訴他吧！","","전해들은
「여자친구를 만드는 방법」을
그에게 알려주자!","Sag ihm, wie man
eine Freundin
bekommt!"
1341,"","Getting a Digimon
is a shortcut to
getting a girlfriend
apparently...","取得數碼寶貝似乎是
結交女朋友的捷徑……","","여자친구를 만들려면
디지몬을 입수하는 것이
지름길… 이라는 모양이다.","Mit einem Digimon
bekommt man
anscheinend
schneller eine
Freundin ..."
1500,"","Look for places in
EDEN where a
businessman might
be!","找出EDEN裡可能會
有業務員的地方吧！","","EDEN 안에 있는
비지니스맨이 있을 법한
장소를 찾아보자!","Suche in EDEN nach
Orten, wo ein
Geschäftsmann sein
könnte!"
