ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1001,"","Armageddemon","滅世魔獸","","아마게몬","Armageddemon"
1002,"","Icemon","冰石獸","","아이스몬","Icemon"
1003,"","Aquilamon","亞古拉獸","","아큐라몬","Aquilamon"
1004,"","Agunimon","火神獸","","아그니몬","Agunimon"
1005,"","Agumon","亞古獸","","아구몬","Agumon"
1006,"","Agumon (Blk)","亞古獸(黑)","","아구몬(흑)","Agumon (Schwarz)"
1007,"","Agumon Expert","亞古獸博士","","아구몬 박사","Agumon-Experte"
1008,"","Asuramon","阿修羅獸","","아수라몬","Asuramon"
1009,"","Astamon","阿斯塔獸","","아스타몬","Astamon"
1010,"","MegaKabuterimon","超比多獸","","아트라캅테리몬","MegaKabuterimon"
1011,"","Anubismon","阿努比斯獸","","아누비스몬","Anubimon"
1012,"","Scorpiomon","亞路加獸","","스콜피오몬","Scorpiomon"
1013,"","Apocalymon","啟示錄獸","","아포카리몬","Apocalymon"
1014,"","Apollomon","阿波羅獸","","아폴로몬","Apollomon"
1015,"","Arcadiamon","阿卡迪獸","","알카디몬","Arkadimon"
1016,"","Arukenimon","亞基利獸","","아라크네몬","Arukenimon"
1017,"","Gargomon (Mega)","亞爾哥獸(究極體)","","아르고몬(궁극체)","MegaGargomon"
1018,"","Aldamon","火龍獸","","아르다몬","Aldamon"
1019,"","Alphamon","阿爾法獸","","알파몬","Alphamon"
1020,"","UlforceVeedramon","究極V龍獸","","알포스브이드라몬","UlforceVeedramon"
1021,"","UlforceVeedramonXAnti-bd","究極V龍獸X抗體","","알포스브이드라몬X항체","Antikörper-UlforceVeedramonX"
1022,"","Arbormon","聖樹獸","","알볼몬","Arbormon"
1023,"","Armadillomon","穿山獸","","아르마몬","Armadillomon"
1024,"","Ankylomon","戰甲獸","","황금아르마몬","Ankylomon"
1025,"","Antylamon","玉兔獸","","안티라몬","Antylamon"
1026,"","Andromon","安杜路獸","","안드로몬","Andromon"
1027,"","Ebemon","外星獸","","이바몬","Ebemon"
1028,"","Ninjamon","伊賀獸","","닌자몬","Ninjamon"
1029,"","King Drasil_7D6","世界樹_7D6","","위그드라실7D6","König Drasil_7D6"
1030,"","Ikkakumon","海獅獸","","원뿔몬","Ikkakumon"
1031,"","Vilemon","邪魔獸","","이블몬","Vilemon"
1032,"","Meteormon","隕石獸","","운석몬","Meteormon"
1033,"","Indramon","戰馬獸","","인다라몬","Indramon"
1034,"","Infermon","地獄使者獸","","인펠몬","Infermon"
1035,"","Impmon","小妖獸","","임프몬","Impmon"
1036,"","Imperialdramon DM","帝皇龍甲獸DM","","황제드라몬DM","Imperialdramon DM"
1037,"","Imperialdramon PM","帝皇龍甲獸PM","","황제드라몬PM","Imperialdramon PM"
1038,"","Imperialdramon FM","帝皇龍甲獸FM","","황제드라몬FM","Imperialdramon KM"
1039,"","Vikemon","維京毛人獸","","바이킹몬","Vikemon"
1040,"","Vajramon","蠻牛獸","","바지라몬","Vajramon"
1041,"","Valkyrimon","女戰神獸","","발키리몬","Valkyrimon"
1042,"","Myotismon","吸血魔獸","","묘티스몬","Myotismon"
1043,"","Vikaralamon","野豬獸","","비가라몬","Vikaralamon"
1044,"","Wizardmon","巫師獸","","위자몬","Wizardmon"
1045,"","Witchmon","女巫獸","","위치몬","Witchmon"
1046,"","Venusmon","維納斯獸","","베누스몬","Venusmon"
1047,"","VenomMyotismon","究極吸血魔獸","","베놈묘티스몬","VenomMyotismon"
1048,"","Wendigomon","雲迪獸","","웬디몬","Endigomon"
1049,"","WarGreymon","戰鬥暴龍獸","","워그레이몬","WarGreymon"
1050,"","WarGreymon X Anti-body","戰鬥暴龍獸X抗體","","워그레이몬X항체","Antikörper-WarGreymon X"
1051,"","Lobomon","野狼獸","","볼프몬","Lobomon"
1052,"","Woodmon","朽木獸","","우드몬","Woodmon"
1053,"","Upamon","奧柏獸","","우파몬","Upamon"
1054,"","BurningGreymon","炎龍獸","","브리드라몬","BurningGreymon"
1055,"","Vulcanusmon","伏爾坎獸","","불카누스몬","Vulcanusmon"
1056,"","Airdramon","飛龍獸","","에어드라몬","Airdramon"
1057,"","AeroVeedramon","飛行V龍獸","","에어로브이드라몬","AeroVeedramon"
1058,"","Examon","艾克薩獸","","엑자몬","Examon"
1059,"","ExTyrannomon","巨龍獸EX","","엑스티라노몬","ExTyrannomon"
1060,"","ExVeemon","V仔獸EX","","엑스브이몬","ExVeemon"
1061,"","Etemon","悟空獸","","에테몬","Etemon"
