ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Case closed: report to the BBS.","向BBS報告委託完成吧","","BBS로 의뢰 완료를 보고하자.","Abschließender Fallbericht an der ATL."
2,"","Contact friends.","聯絡夥伴","","동료들에게 연락하자.","Rede mit Freunden."
3,"","Take out hacker boss","打倒敵人駭客隊伍的首領","","적 해커 팀 보스를 쓰러뜨리자.","Besiege Hackerboss."
4,"","Hacker Defeat quest!","接下討伐駭客任務","","해커 토벌 퀘스트를 받자.","Besiege Hackerquest!"
5,"","Take out the hacker.","打倒討伐目標的駭客","","토벌 대상 해커를 쓰러뜨리자.","Den Hacker erledigen."
6,"","(I found a blacklisted hacker! Time to beat them
back.)","（好像找到了黑名單上的駭客……
　前去討伐駭客吧）","","(블랙리스트 해커를 발견한 모양이다…
 해커 토벌에 나서자)","(Ich habe einen Hacker von der schwarzen Liste
gefunden! Zeit, ihn zurückzuschlagen.)"
7,"","(There seems to be a Digimon in trouble. I'll go
and hear what it has to say.)","（好像有困擾的數碼寶貝在……
　先過去問問情況吧）","","(난처해하는 디지몬이 있는 모양이다…
 우선 이야기를 들으러 가자)","(Ein Digimon scheint in Schwierigkeiten zu
stecken. Ich hör mir mal an, was es zu sagen hat.)"
20,"","That’ll work in Ikebukuro!","可以在池袋辦到的事！","","이케부쿠로에서 할 수 있는걸!","Das geht in Ikebukuro!"
21,"","Chitose","千歲","","치토세","Chitose"
22,"","There’s a Tokyo Handy in Ikebukuro.
I need some stuff from there.
I’ll send a list when you take a case.","池袋不是有東京手創館嗎？
在店裡有些東西希望你能去買。
要是你接下委託，我就發給你購物清單。","","이케부쿠로에 도쿄 핸디가 있잖아?
거기서 몇 가지 사와줬으면 하는 것이 있어.
의뢰를 받아주면 사야 할 목록을 보낼게.","Es gibt einen Laden namens
„Tokyo Handy“ in Ikebukuro.
Ich schicke eine Einkaufsliste."
23,"","Ryuji","龍司","","류지","Ryuji"
24,"","No shirking!","可別偷懶，完成工作啊","","농땡이 부리지 말고 해","Kneifen gilt nicht!"
30,"","Checked the shopping list.","已確認購物清單","","구매할 목록을 확인했다.","Einkaufsliste überprüft."
31,"","Head to Tokyo Handy in Ikebukuro.","前往池袋的東京手創館","","이케부쿠로에 있는 도쿄 핸디로 향하자.","Geh zu „Tokyo Handy“ in Ikebukuro."
32,"","Take care of Tokyo Handy task.","在東京手創館完成委託","","도쿄 핸디에 가서 심부름을 마치자.","Besorgung bei „Tokyo Handy“."
40,"","That’ll work in Nakano!","可以在中野辦到的事！","","나카노에서 할 수 있는걸!","Das geht in Nakano!"
41,"","Chitose","千歲","","치토세","Chitose"
42,"","There’s a PC junk shop in Nakano where
hackers hang. I’ll send a shopping list.","在中野有駭客認證的PC商店，
我會把要買的購物清單發給你，麻煩你跑腿啦。","","나카노 해커 상인들의 PC 정크상이 있어.
사 왔으면 하는 목록 보낼 테니까, 심부름 부탁할게.","In Nakano gibt’s einen Ersatzteilladen.
Ich schicke eine Einkaufsliste."
43,"","Erika","艾莉卡","","에리카","Erika"
44,"","More task than case.","與其說這是委託，不如說只是“跑腿”吧。","","의뢰라기보단 이건 그냥 ""심부름""","Eher Bitte als Fall."
45,"","Chitose","千歲","","치토세","Chitose"
46,"","Start with this!","一開始做這些就好了啦！","","처음엔 이 정도면 충분하다니까!","Fang hiermit an!"
50,"","Checked the shopping list.","已確認購物清單","","구입할 목록을 확인했다.","Einkaufsliste überprüft."
51,"","I'm off to Nakano!","前往中野","","나카노로 향하자.","Auf nach Nakano!"
52,"","Take care of the junk shop task.","在廢品店完成委託","","정크상에 가서 심부름을 마치자.","Erledige das im Ersatzteilladen."
