ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","","","","",""
2,"","","","","",""
3,"","","","","",""
4,"","","","","",""
5,"","","","","",""
6,"","","","","",""
7,"","","","","",""
8,"","","","","",""
9,"","","","","",""
10,"","","","","",""
20,"","","","","",""
21,"","","","","",""
1001,"","Physical attack, 70 Fire damage to one foe.","對敵方單體發動威力70的火屬性物理攻擊。","","적 1체에 불속성 위력 70의 물리공격.","Physischer Angriff, 70 Feuerschaden gegen
einen Gegner."
1002,"","Physical attack, 35 Fire damage to all foes.
10% chance of increasing ATK by 10%.","對敵方全體發動威力35的火屬性物理攻擊，
並有10%機率使自己的ATK提升10%。","","적 전체에 불속성 위력 35의 물리공격.
10%의 확률로 자신의 공격력을 10% 올린다.","Physischer Angriff, 35 Feuerschaden gegen
alle Gegner. 10 % Chance auf ANG +10 %."
1003,"","Physical attack, 60 Earth damage to one foe.
10% chance of increasing DEF by 10%.","對敵方單體發動威力60的土屬性物理攻擊，
並有10%機率使自己的DEF提升10%。","","적 1체에 땅속성 위력 60의 물리공격.
10%의 확률로 자신의 방어력을 10% 올린다.","Physischer Angriff, 60 Erdschaden gegen
einen Gegner. 10 % Chance auf VER +10 %."
1004,"","Fixed damage of 100 to one foe.
Increases INT by 10%.","給予敵方單體100的固定傷害，
並提昇自己的INT10%。","","적 1체에 100의 고정 대미지.
자신의 지력을 10% 올린다.","100 Schaden gegen einen Gegner.
Erhöht INT um 10 %."
1005,"","2 magic attacks, 30 Electric damage to one
foe.","對敵方單體發動2次威力30的雷屬性魔法攻擊。","","적 1체에 전기속성 위력 30의 마법공격을 2회 한다.","2 magische Angriffe, 30 Elektroschaden gegen
einen Gegner."
1006,"","Magic attack, 55 Water damage to one foe.
10% chance of putting target to sleep.","對敵方單體發動威力55的水屬性魔法攻擊，
並有10%的機率使對方睡眠。","","적 1체에 물속성 위력 55의 마법공격.
대상을 10%의 확률로 잠재운다.","Magischer Angriff, 55 Wasserschaden gegen
einen Gegner. 10 % Chance auf Schlaf."
1007,"","2 physical attacks, 20 Neutral damage to all
foes.","對敵方全體發動2次威力20的無屬性物理攻擊。","","적 전체에 무속성 위력 20의 물리공격을 2회 한다.","2 physische Angriffe, 20 Neutralschaden gegen
alle Gegner."
1008,"","Physical attack, 65 Electric damage to one
foe. 15% chance of paralyzing target.","對敵方單體發動威力65的雷屬性物理攻擊，
並有15%的機率使對方麻痺。","","적 1체에 전기속성 위력 65의 물리공격.
대상을 15%의 확률로 마비시킨다.","Physischer Angriff, 65 Elektroschaden gegen
einen Gegner. 15 % Chance auf Lähmen."
1009,"","Physical attack, 65 Fire damage to one foe.
10% chance of reducing target's DEF by 10%.","對敵方單體發動威力65的火屬性物理攻擊，
並有10%的機率使對方的DEF降低10%","","적 1체에 불속성 위력 65의 물리공격.
10%의 확률로 대상의 방어력을 10% 내린다.","Physischer Angriff, 65 Feuerschaden gegen
einen Gegner. 10 % Chance auf Ziel-VER –10 %."
1010,"","Physical attack, 70 Earth damage to one foe.","對敵方單體發動威力70的土屬性物理攻擊。","","적 1체에 땅속성 위력 70의 물리공격.","Physischer Angriff, 70 Erdschaden gegen
einen Gegner."
1011,"","Magic attack, 65 Light damage to one foe.","對敵方單體發動威力65的光屬性魔法攻擊。","","적 1체에 빛속성 위력 65의 마법공격.","Magischer Angriff, 65 Lichtschaden gegen
einen Gegner."
