ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Prologue: EDEN","Prologue 　E‧D‧E‧N","","Prologue","Prolog: EDEN"
2,"","Chapter 1: The Kuremi Detective Agency","Chapter01　「歡迎光臨暮海偵探事務所」","","Chapter 1","Kapitel 1: „Willkommen im Detektivbüro Kuremi“"
3,"","Chapter 2: Search for the Father (Yuuko)","Chapter02　尋找父親　～山科悠子的委託","","Chapter 2","Kapitel 2: Suche nach dem Vater: Yuuko Yamashina"
4,"","Chapter 3: Digital Monsters","Chapter03　數碼寶貝","","Chapter 3","Kapitel 3: Digitales Monster"
5,"","Chapter 4: Shinjuku Underground Labyrinth","Chapter04　新宿地下迷宮“迷途之村”事件","","Chapter 4","Kapitel 4: Der Vorfall im Shinjuku-Labyrinth"
6,"","Chapter 5: The Search Continues (Yuuko)","Chapter05　尋找父親．續　～神代悠子的委託","","Chapter 5","Kapitel 5: Die Suche geht weiter: Yuuko Kamishiro"
7,"","Chapter 6: Disappearances in Akihabara","Chapter06　秋葉原連續“神秘失蹤”事件","","Chapter 6","Kapitel 6: Die Vermissten von Akihabara"
8,"","Chapter 7: Demon Pilgrimage Capriccio","Chapter07　惡魔巡禮狂想曲","","Chapter 7","Kapitel 7: Lockruf der Demons"
9,"","Chapter 8: No Stopping the Gale Girls","Chapter08　永不止息的風暴女孩","","Chapter 8","Kapitel 8: Die Gale-Mädchen sind nicht aufzuhalten"
10,"","Chapter 9: Our Master Plan!","Chapter09　我們的大作戰！","","Chapter 9","Kapitel 9: Unser Masterplan!"
11,"","Chapter 10: To the Promised Land","Chapter10　前往約定之地","","Chapter 10","Kapitel 10: Zum gelobten Land"
12,"","Chapter 11: Paradise Lost","Chapter11　失樂園","","Chapter 11","Kapitel 11: Verlorenes Paradies"
13,"","Chapter 12: Wandering","Chapter12　徬徨","","Chapter 12","Kapitel 12: Auf Wanderschaft"
14,"","Chapter 13: Tokyo Digification","Chapter13　東京數碼事變","","Chapter 13","Kapitel 13: Tokyos Digifizierung"
15,"","Chapter 14: What is a Youth?","Chapter14　What is a Youth?","","Chapter 14","Kapitel 14: Was ist Jugend?"
16,"","Chapter 15: Parallel World","Chapter15　平行世界","","Chapter 15","Kapitel 15: Parallelwelt"
17,"","Chapter 16: Diver City - Isle of Dragons","Chapter16　DiverCity：Dragons　～棲息著龍的島嶼","","Chapter 16","Kapitel 16: Diver-City: Insel der Drachen"
18,"","Chapter 17: Recollection","Chapter17　追憶","","Chapter 17","Kapitel 17: Rückbesinnung"
19,"","Chapter 18: Lost, Lost Memories","Chapter18　遺失，失落的記憶","","Chapter 18","Kapitel 18: Verlorene Erinnerungen"
