ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Omni New Year Contest","新年快樂！奧米加獸大會","","신년! 복 많이 받으시오메가몬 대회","Omni-Neujahr"
2,"","Champion Rivals Contest","限成熟期以下！禁止重複成員大會","","성숙기 이하 중복 금지 대회","Rivalisierende Champions"
3,"","Strike the Earth Contest","土屬性＆物理特攻大會","","땅속성&물리 특공 대회","Schlag auf die Erde"
4,"","Vaccine Drive Contest","疫苗種特攻大會","","백신종 특공 대회","Serumsammlung"
5,"","Champion's Camp Contest","限成熟期以下大會","","성숙기 이하 온리 대회","Champion-Lager"
6,"","Blowback Wind Contest","行動順序逆轉！風屬性特攻大會","","행동 순서 역전 바람속성 특공 대회","Gegenwind"
7,"","Ultimate Variety Contest","限完全體以下！禁止重複成員大會","","중복금지 완전체 이하 대회","Ultra-Vielfalt"
8,"","Physical Data Contest","資料種＆物理特攻大會","","데이터종&물리 특공 대회","Physische Dateien"
9,"","Rookie Rumble Contest","成長期特攻大會","","성장기 특공 대회","Rookie-Rauferei"
10,"","Untouched Nature Contest","相性無效！木屬性特攻大會","","풀속성 특공 상성 무효 대회","Unberührte Natur"
11,"","Viral Rivalry Contest","病毒種特攻大會","","바이러스종 특공 대회","Virusrivalen"
12,"","Aquatic Quarrel Contest","水屬性特攻大會","","물속성 특공 대회","Meeresquerelen"
13,"","Free-For-All Contest","自由種特攻大會","","프리종 특공 대회","Freies Turnier"
14,"","Electric Boogaloo Contest","雷屬性特攻大會","","전기속성 특공 대회","Elektro-Boogaloo"
15,"","Smoke and Mirror Contest","嚴禁魔法！火屬性特攻大會","","마법 엄금! 불속성 특공 대회","Schall und Rauch"
16,"","Darkness Dive Contest","嚴禁物理！闇屬性特攻大會","","물리 엄금! 어둠속성 특공 대회","Sprung in die Dunkelheit"
17,"","Eternal Champion Contest","限成熟期以下！禁止交換成員大會","","교대 금지 성숙기 이하 대회","Ewiger Champion"
18,"","Reverse Order Contest","行動順序逆轉大會","","행동 순서 역전 대회","Rückwärts"
19,"","True Neutrality Contest","禁止重複成員！無屬性特攻大會","","중복금지 무속성 특공 대회","Wahre Neutralität"
20,"","Viral Rivalry Contest","病毒種特攻大會","","바이러스종 특공 대회","Virusrivalen"
21,"","Enchanted Data Contest","資料種＆魔法特攻大會","","데이터종&마법 특공 대회","Verzauberte Dateien"
22,"","Fresh Freedom Contest","限低等級！自由種特攻大會","","프리종 특공 저레벨 대회","Frische Freiheit"
23,"","Fire With Fire Contest","火屬性攻擊特攻大會","","불속성 공격 특공 대회","Feuer gegen Feuer"
24,"","Light of Justice Contest","疫苗種＆光屬性特攻大會","","백신종&빛속성 특공 대회","Licht der Gerechtigkeit"
