ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,3002,,"No...
Questo... non doveva succedere...","我受夠了……
不該來這種地方的……",,"이제 싫어…
이런 곳에… 오는 게 아니었어…","Nein ...
Das ... ist so nicht gedacht ..."
150,4008,,"Cerchi il tuo amico? Se non è qui,
hai provato a cercare nell'area comune?","你正在找你的朋友？
如果沒有在這裡的話，會不會是在「公共區域」那裡啊？",,"친구를 찾고 있다고?
여기에 없다면「커뮤니티 에어리어」에 있지 않을까?","Suchst du jemanden?
Hast du im Gemeinschaftsbereich schon geschaut?"
151,4008,,"È un'area aperta proprio come l'entrata,
quindi puoi arrivarci da qualsiasi terminale.","那裡跟入口處一樣是開放區域，
所以隨時都可以從移動點過去哦。",,"엔트런스와 마찬가지로 오픈 에어리어니까
발착 포인트에서, 언제든지 갈 수 있어","Das ist ein freier Bereich, wie der Eingang.
Du kommst also von jedem Terminal aus dorthin."
1100,5004,,File 001: Sindrome di EDEN,File:001 【關於EDEN症候群】,,File:001 【EDEN 증후군에 관해】,Akte 001: EDEN-Syndrom
1101,5004,,"Una misteriosa malattia per cui le persone cadono improvvisamente
in coma mentre sono connesse alla rete EDEN.","EDEN症候群是指人們在使用EDEN網路系統時，會陷入
意識不明的狀態，並且逐漸變得衰弱的怪病。",,"EDEN 네트워크의 이용중에 의식불명에 빠져
쇠약해져 가는 기이한 병","Eine rätselhafte Krankheit, die Nutzer des
EDEN-Netzwerks plötzlich ins Koma fallen lässt."
1102,5004,,"Originariamente, il termine veniva dato al vomito incessante
e ad altri sintomi comuni a coloro non abituati a trascorrere del
tempo nel Mondo Digitale.","醫界原本是用來稱呼不習慣使用電腦空間
所引起的嘔吐不斷等諸多症狀。",,"원래는, 익숙지 않은 전뇌공간을 이용하는 것으로 나타나는
구역질이나 현기증 등의 여러 증상을 총칭하여
EDEN 증후군이라 부르고 있었다","Ursprünglich waren mit dem Begriff die andauernde
Übelkeit und andere Symptome gemeint, die vor der
Gewöhnung an die digitale Welt häufig auftreten."
1103,5004,,"Ma ora, la Sindrome di EDEN è usata per descrivere la
malattia più seria della perdita inspiegabile di
coscienza mentre si è connessi alla Rete EDEN.","但從某個時期開始，在使用EDEN網路系統時陷入意識不明、
昏倒狀態的病況日漸嚴重，於是該名詞便被用來稱呼此種症狀。",,"어느 시점부터 중병화하여, EDEN 네트워크의 이용중에
의식불명에 빠져 혼절해 버리는 증상에 쓰이게 되었다","Jetzt beschreibt EDEN-Syndrom die deutlich
ernstere, unerklärliche Ohnmacht, die während des
Aufenthalts im EDEN-Netzwerk auftritt."
1104,5004,,"Dopo un periodo prolungato in coma, il corpo si indebolisce,
diventando più suscettibile a complicazioni.
Nei casi peggiori, questo ha portato alla morte.","其中甚至還有因長期昏迷而引起衰弱或
併發症而死亡的案例。",,"장기적인 혼수 상태로 인해, 쇠약이나 합병증을 일으켜
사망하는 예도 있다","Ein länger andauerndes Koma schwächt den Körper.
Dadurch werden Komplikationen wahrscheinlicher.
In den schlimmsten Fällen endet dies tödlich."
1105,5004,,File 002: Trattamenti per la Sindrome EDEN,File:002【EDEN症候群的應對與治療方法】,,File:002【EDEN 증후군의 대처와 치료법】,"Akte 002: Behandlungsmöglichkeiten für das
EDEN-Syndrom"
1106,5004,,"Non è stato trovato alcun trattamento efficace per la Sindrome EDEN. 
La ricerca continua sui trattamenti e sulle cause di questa malattia inspiegabile.","目前尚未發現治療的方法。
醫界希望政府將其歸為未分類疾病，
派人盡全力研究其應對方式及發病原因。",,"현재, 치료법은 발견되지 않았다
미분류 환자로서, 정부의 인가를 받아
대응과 원인을 규명해 가도록 한다","Für das EDEN-Syndrom ist bislang keine wirksame
Behandlungsmethode bekannt. Es wird weiter daran
geforscht, wie auch an den Ursachen der Krankheit."
1107,5004,,File 003: Associazione con le Imprese Kamishiro,File:003【與神代企業的合作方針】,,File:003【카미시로 엔터프라이즈와의 협력방침】,Akte 003: Verbindung zu Kamishiro Enterprises
1108,5004,,"EDEN è uno spazio digitale su larga scala
gestito dalla Kamishiro Enterprises.","EDEN是由神代企業所經營的
大規模電腦空間。",,"EDEN은 카미시로 엔터프라이즈가 운영하고 있는
대규모 전뇌 스페이스이다","EDEN ist ein umfassender digitaler Raum, der von
Kamishiro Enterprises betrieben wird."
1109,5004,,"Profondamente affiliata con agenzie governative,
le aree di business di EDEN si stanno espandendo rapidamente.","該電腦空間與行政機關的合作非常緊密，
將EDEN作為營業區域的企業也不斷增加。",,"행정기관과의 제휴도 탄탄하여
EDEN을 영업 에어리어로 사용하고 있는 기업도 증가하고 있다","Aufgrund der engen Verbindungen mit den Behörden
weiten sich EDENs Geschäftsbereiche rapide aus."
1110,5004,,"Devono essere forniti miglioramenti immediati e formazione degli utenti
per avvertire gli utenti contro lunghi tempi di accesso.","為了盡快改善缺失、降低用戶的登入時間，
營運單位應該要徹底對每位用戶進行宣導。",,"한시라도 빠른 개선과, 장시간의 로그인에 대해 주의 권고하도록
운영측에 의한 이용자의 지도가 철저하게 이루어져야 한다","Sofortige Verbesserungen sowie Nutzertraining
sind vonnöten, um Nutzer vor langen Sitzungen
zu warnen."
1111,5004,,"Inoltre, l'interfaccia EDEN usa la tecnologia proprietaria di Kamishiro
Enterprises, rendendo
problematica la futura condivisione della ricerca.","此外，由於EDEN所使用的介面是採用
神代企業所開發出來的獨特技術，
因此與研究人員間的資訊共享也將成為今後的課題之一。",,"또한, EDEN을 이용할 때 사용되는 인터페이스는
카미시로사의 독자적인 기술이 사용되고 있기 때문에
연구원과의 정보 공유도 앞으로의 과제이다","Weiterhin verwendet EDEN firmeneigene Technologie
der Kamishiro Enterprises, was zukünftige
Publikationen erschwert."
2150,3002,,"Lalalalaaaa! Il saaad colibrii!
Hm? Quello è l'ultimo singolo di successo di Jimiken!
Dovresti prenderlo!","哼哼哼～♪　苦～戀～的～蜂～鳥～♪
啊，這是我現在超迷的「Jimmy Ken」的歌！
你也聽聽看嘛！",,"훙훙후~웅♪　애~달프~은~ 허~밍 버~~드~♪
아, 이거 지금 엄청 빠져 있는「지미KEN」의 곡이야!
너도 한번 들어 봐!","Lalalalaaa! Der kurzlebige Kolibriii!
Hm? Das ist der neueste Hit von Jimiken!
Du solltest ihn dir holen!"
