ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4711,,"Non posso credere a quanti furti di account
ci sono stati ultimamente. Dobbiamo mettere
ordine in EDEN.","最近帳號狩獵好常發生啊，真是受夠了……
EDEN的秩序必須由我們來守護。",,"최근 계정 사냥이 너무 많아서 두손 두발 들 정도야…
EDEN의 질서는 우리가 지켜야만 해","Ich kann nicht glauben, wie viel Kontendiebstahl
es in letzter Zeit gab. Wir müssen in EDEN für
Ordnung sorgen."
1,4710,,"Jude era una leggendaria squadra di hacker,
ma è tutto finito ormai. Ora è tempo che
Zaxon prenda il comando!","「Jude」是傳說級最強的駭客隊伍，
那也只不過是以前的事情了吧？　
能夠刷新傳說的是我們「Zaxon」啦。",,"「쥬드」가 전설적인 최강 해커팀이었다는 건
결국 과거의 이야기잖아? 그 전설을 덧칠한 것이
우리「잭슨」이지","Gamma war ein legendäres Hackerteam, aber das ist
nun vorbei. Jetzt wird es Zeit, dass Zaxon
die Führung übernimmt!"
100,4711,,"Tutti coloro che soffrono della sindrome di
EDEN torneranno sicuramente. Perciò dobbiamo
proteggere questo luogo.","患上EDEN症候群的同伴，一定某天會回來的。
所以，我們得保護好這個地方才行呀。",,"EDEN 증후군에 걸린 동료는 분명히 언젠가 돌아올 거야.
그러니까 이 장소를 우리가 지켜야겠지","Alle, die am EDEN-Syndrom leiden, werden mit
Sicherheit zurückkehren. Darum müssen wir diesen
Ort schützen."
101,4710,,"Non importa chi affrontiamo, Zaxon non sarà
mai sconfitto. Questa è una battaglia a cui
dobbiamo partecipare tutti.","不論其他隊伍的人怎麼找碴，
我絕對不會讓Zaxon被擊垮。
因為這是留下來的我們，屬於我們的戰役。",,"다른 팀이 얼마나 싸움을 걸더라도, 잭슨은
절대로 깨지지 않아. 그것이 남은 우리들의 싸움이다","Egal, mit wem wir es aufnehmen, Zaxon wird nie
besiegt werden. Dies ist ein Kampf, an dem wir
uns alle beteiligen müssen."
200,4711,,"Da quando ho preso il comando qui, non ci
sono stati problemi. Purtroppo, non vale per
molti dei miei amici che sono finiti a Under Zero.","我負責在這裡把風，所以沒問題喔。
但是，去了Under Zero的同伴大部分都……",,"나는 여기의 수비를 맡고 있었으니까 문제없어.
하지만, 언더 제로로 간 동료들 대부분은…","Seit ich hier das Kommando übernommen habe, gab es
keine Probleme. Leider gilt das nicht für viele
meiner Freunde, die zu Unter Null gegangen sind."
201,4710,,"Ho sentito dire che è stata colpa di Kamishiro
se i miei amici si sono ammalati di
sindrome di EDEN a Under Zero.","我聽說了啊。在Under Zero裡，
害同伴們變成EDEN症候群的人，
就是神代企業的那群人吧？",,"들었어. 언더 제로에서 동료들을
EDEN 증후군으로 만든 건, 카미시로의 녀석들이지?","Ich habe gehört, dass es die Schuld von Kamishiro
war, dass meine Freunde bei Unter Null am
EDEN-Syndrom erkrankt sind."
202,4710,,"Secondo le notizie, si sta diffondendo perché EDEN
è stato hackerato. Devono sempre essere gli
hacker i colpevoli!","報導上卻只說，是因為駭客入侵了EDEN……
可惡，竟然把駭客當成白癡耍……！",,"방송에선 해커가 EDEN을 해킹했기 때문이라고
나오고 있어… 제길, 해커를 바보 취급하다니…!","Den Berichten zufolge breitet es sich aus, weil
EDEN gehackt wurde. Immer sollen die Hacker
schuld sein!"
300,2000,,"(Gli hacker sul forum sembrano essere stati
trascinati dal discorso di Yuugo.)","（討論區裡的駭客們，聽著YUGO的演說，
　氣氛很熱烈的樣子……）",,"(유고의 연설을 들은 포럼 안의 해커들은
 흥분한 듯하다…)","(Die Hacker auf dem Forum scheinen von Yuugos
Rede mitgerissen zu sein.)"
301,2000,,(Cosa dovrei fare?),（……我該怎麼做才好？）,,(…나는 어떻게 하면 좋을까?),(Was soll ich tun?)
302,2000,,...,………………,,………………,...
