ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,5004,,"Non li ho ancora trovati...
Proverò a parlare con alcuni degli avatar EDEN qui!","還沒有找到那兩人……
去問問在樓層裡的「EDEN化身」吧！",,"아직 두 사람을 찾지 못했어…
플로어에 있는「EDEN 아바타」에게
말을 걸어 보자…！","Hm, noch nicht gefunden ...
Ich spreche mal mit ein paar EDEN-Avataren hier!"
1,5004,,"C'è un tipo che sembra un ""hacker"" che
gironzola nei dintorni dell'entrata... Forse sa
come arrivare a Kowloon Galacta Park?","似乎有個像是「駭客」的男人正待在入口處那裡……
他會不會知道怎麼去「Kowloon的破銅爛鐵公園」呢？",,"「해커」같은 남자가 엔트런스에 있는 모양이야…
「쿠롱의 잡동사니 공원」으로 가는 방법을 알고 있을까…?","Am Eingang hängt ein Typ herum, der wie ein
„Hacker“ aussieht ... Vielleicht weiß er, wie man
zum Galacta-Park in Kowloon kommt?"
2,5004,,"Ora ho l'URL di Kowloon... Quindi dovrei essere in
grado di arrivare a Kowloon dalla zona di logout.","拿到了通往Kowloon的「URL」……
這樣應該就能從登出區前往Kowloon了。",,"쿠롱의「URL」을 손에 넣었어…
이제 로그아웃 존을 통해서 쿠롱에 갈 수 있을 거야","Jetzt habe ich die URL von Kowloon ... also sollte
ich vom Ausloggbereich dorthin gelangen."
3,5004,,"Meglio che mi sbrighi ad
incontrarli.",快點去找他們兩個吧。,,빨리 두 사람을 만나러 가자,"Ich sollte mich lieber beeilen und zum Treffen
gehen."
100,3002,,"Lalalalaaaa! Il triiiiste colibrì!
Hm? Quello è l'ultimo singolo di successo di
Jimiken! Dovresti prenderlo!","哼哼哼～♪　苦～戀～的～蜂～鳥～♪
啊，這是我現在超迷的「Jimmy Ken」的歌！
你也聽聽看嘛！",,"훙훙후~웅♪　애~달프~은~ 허~밍 버~~드~♪
아, 이거 지금 엄청 빠져 있는「지미KEN」의 곡이야!
너도 한번 들어 봐!","Lalalalaaa! Der kurzlebige Kolibriii!
Hm? Das ist der neueste Hit von Jimiken!
Du solltest ihn dir holen!"
110,3006,,"Non sarai mica impaziente. Che ne dici di conoscere i
vicini e di imparare come funzionano i casi, già che
ci sei? Vai a controllare la lavagna.","你是急性子嗎？
就請你在到處打招呼的同時，順便記住承接委託的方法吧。
你先確認一下白板上的內容。",,"넌 성급한 건가?
인사를 하고 다니는 김에 의뢰의 구조도 배워 줘야겠다
화이트보드를 체크하도록","Sei doch nicht so ungeduldig. Lern die Nachbarn
kennen und erfahre dabei, wie Fälle ablaufen.
Sieh dir das Schwarze Brett an."
120,2000,,"È ora di andare a incontrare Persone
nell'edificio.",現在就在館內到處跟人打招呼吧。,,지금은 관내에서 인사를 하고 다니자,"Es wird Zeit, sich mit den Leuten im Gebäude zu
unterhalten."
130,2000,,"Oh-oh, non voglio farmi beccare.
Immagino che non posso semplicemente passare di qui...",要避開守衛的監視才能自由通過呢……,,"보초에게 들키지 않도록 주의하지 않으면
자유롭게 빠져나갈 수 없겠어…","Hoppla, ich will nicht erwischt werden.
Einfach durchspazieren geht wohl nicht ..."
150,2000,,"Un firewall eretto da un
hacker... Non so come distruggerlo.
Ma devo inseguire Arata...","由駭客寫出來的防火牆，
我無法破解……
現在就先去追新吧。",,"해커가 만든 방화벽…
뚫는 방법을 모르겠어…
지금은, 아라타를 쫓아가자…","Eine Firewall von einem Hacker ...
Ich weiß nicht, wie ich die durchbreche.
Aber ich muss Arata folgen ..."
160,4247,,Non stavi inseguendo quei Digimon?,你不是要去追那群數碼寶貝嗎？,,저 디지몬들을 쫓아가는 거 아니었어?,Warst du nicht hinter diesen Digimon her?
180,2000,,"Quindi se riesco ad arrivare dove si trova Arata,
potrò uscire da qui? Meglio portare Nokia con me, allora.","只要到新那裡，就能脫離了……？
既然如此，要連諾奇雅也一起帶過來才行！",,"아라타에게 가면, 탈출할 수 있어…?
그렇다면, 노키아도 데려가야 해…!","Wenn ich da hinkomme, wo Arata ist, komme ich
hier raus? Dann sollte ich Nokia lieber mitnehmen."
185,2000,,"Non posso tornare
indietro... Devo solo continuare.","回不去……
現在就試著前進吧……",,"돌아갈 수 없어…
지금은, 앞으로 나아가 보자…","Ich kann nicht zurück ...
Ich muss einfach weitergehen."
188,2000,,"Non posso disconnettermi in questa
forma... Devo recuperare le parti del mio avatar.","如果一直維持現在的模樣會無法登出……
得去收集化身用的零件才行！",,"이 모습인 채로는, 로그아웃을 할 수 없어…
아바타 파츠를 모아야 해…!","So kann ich mich nicht ausloggen ...
Ich muss die Teile meines Avatars einsammeln."
189,2000,,"Non posso andarmene finché non avrò ottenuto
quei dati sulla Sindrome EDEN.","在拿到EDEN症候群的資料之前，
我不能回去……",,"EDEN 증후군의 데이터를 손에 넣을 때까지
돌아갈 수는 없어…","Ich kann nicht gehen, bevor ich die Daten
zum EDEN-Syndrom habe."
190,2000,,"Non posso tornare indietro ora, Kishibe e
gli altri potrebbero essere ancora lì dentro.
Meglio raggiungere la hall e incontrare Kyoko.","岸部那群人搞不好還在那裡，現在不能回去。
先回大廳去跟杏子姊會合吧……",,"아직 키시베 일행이 있을지도 몰라… 지금은 돌아갈 수 없어
로비로 돌아가서, 쿄코 씨와 합류하자…","Dorthin kann ich jetzt nicht zurück. Kishibe und
die anderen sind vielleicht noch drin. Ich gehe
lieber in die Lobby und treffe mich mit Kyoko."
191,2000,,"Se me ne vado ora, sarò catturato
dalla sicurezza! Devo prendere i dati dalla
sala controllo...","現在出去會被警衛發現！
必須到控制室去拿資料才行！",,"지금 나갔다간 경비원에게 들켜…!
제어실에서 데이터를 손에 넣어야 해…!","Wenn ich jetzt gehe, erwischen mich die
Sicherheitsleute! Ich brauche die Daten aus dem
Kontrollraum ..."
199,2000,,"...Ho la sensazione che ci sia qualcuno che non ho ancora
incontrato. Meglio fare un altro giro a Broadway.","……好像還有人沒打到招呼。
再稍微在BW館內跟人打招呼吧。",,"…아직 인사를 하지 않은 사람이 있는 것 같아…
조금 더 BW 관내에서 인사를 하고 다니자","... Ich glaube, mir fehlt noch jemand. Ich sollte
mich noch ein wenig im Broadway umsehen."
200,3017,,È piuttosto figo avere un detective come amico!,有個當偵探的朋友會讓人很興奮呢！,,"탐정 친구가 있다니, 왠지 두근거리는걸!","Ziemlich cool, einen Detektiv zu kennen!"
210,2000,,"Quindi non ci sono voci su di me?
Farò meglio a chiedere un po' in giro.",再稍微打聽一會兒，看有沒有人在流傳自己的事。,,내 소문이 돌고 있는지… 조금 더 물어보고 다니자,"Es gibt also keine Gerüchte über mich?
Ich sollte noch mehr Leute fragen."
300,2000,,"Probabilmente quella donna mi sta
seguendo... Meglio continuare.","那個女人搞不好已經追過來了……
先前進吧。",,"그 여성 분이 뒤쫓아 왔을지도 몰라…
앞으로 나아가자","Die Frau folgt mir vermutlich ...
Ich gehe lieber weiter."
500,3014,,"Aspetta, aspetta! Dove stai andando!? Dobbiamo
ancora fargliela vedere a quel Barbacosacomecavolosichiama!","喂喂～！！你為什麼想轉身離開啊！？
你應該要好好修理巴爾巴爾吧！？",,"잠깐잠깐~!! 왜 돌아가려고 그래!?
발발이를 너덜너덜하게 해 주기로 했잖아―!?","He, he, warte! Wo willst du hin?! Wir müssen
erst diesem Barbatypen eins auf die Rübe geben!"
600,3005,,"Ehi, hai davvero intenzione di andartene così? Dai, andiamo a
vedere cosa c'è più avanti, potremmo capire qualcosa.","喂喂，你是打算就這樣放著不管喔？
先試著調查深處吧。搞不好會知道些什麼。",,"야야, 이대로 방치해 두고 가려는 거냐
안쪽을 조사해 보자. 뭔가 알아낼 수 있을지도 모르니까","He, du gehst einfach? Schauen wir doch weiter
rein, vielleicht fällt uns was ein."
800,3005,,"Ehi, non dirmi che ti stai tirando indietro. Forza,
non possiamo semplicemente lasciare Che la cosa cada
nel dimenticatoio.","喂喂，你是現在才覺得害怕嗎？
先試著前進吧，總不能放著這件事不管吧？",,"야야, 이제 와서 겁먹은 거야?
나아가 보자고, 내버려 둘 수도 없잖아","He, dich verlässt doch nicht etwa der Mut.
Komm schon, wir können das nicht einfach
ruhen lassen."
810,2000,,"Non ho mai visto una rete così
massiccia prima d'ora... Entriamo.","我還是第一次來到這麼大的網路裡……
就試著前進吧。",,"이렇게 커다란 네트워크는 처음이야…
앞으로 나아가 보자","So ein riesiges Netzwerk habe ich noch nie
gesehen ... Gehen wir rein."
850,3005,,"Ehi, abbiamo ancora del lavoro da fare. Non hai Intenzione di
tornare indietro ora che siamo arrivati fin qui, vero?","喂喂，工作可還沒有完成哦。
事到如今，你應該不會說你想回去吧？",,"야야, 아직 일은 끝나지 않았다고
여기까지 와서, 돌아가겠다고는 하지 않겠지?","He, wir haben immer noch zu tun. Du willst doch
nicht jetzt noch umdrehen, oder?"
900,3003,,".........Io...Io sono proprio qui...
Avevi intenzione di entrare senza di me?","………………我明明就在這裡，
你打算無視我往前走嗎……",,"………………제가 여기에 있는데
무시하고 앞으로 가실 생각인가요…","... Ich stehe direkt vor dir ...
Wolltest du ohne mich reingehen?"
1000,2100,,"Benvenuto...
Ma non siamo ancora aperti, mi dispiace.","歡迎光臨。
不好意思，我們還沒有開始營業。",,"어서 오세요
죄송해요, 아직 준비중이에요","Willkommen ...
Aber wir haben noch nicht geöffnet, tut mir leid."
1010,2100,,"Oh cielo, ci stiamo ancora preparando
ad aprire. Aspetta solo un attimo.","唉呀，我們還在準備開店。
請你再稍微等一會兒。",,"어머, 지금 가게 준비중이에요
조금 더 기다려 주…","Wir bereiten den Laden immer noch vor.
Bitte gedulde dich ein wenig."
1011,2100,,"...Hm? Tu sei il nuovo arrivato 
all'Agenzia Investigativa Kuremi?","……咦？
你是暮海偵探事務所的新員工？",,"…에?
쿠레미 탐정사무소네의 신인?","... Hm?
Du bist neu im Detektivbüro Kuremi?"
1012,2100,,"In tal caso, sei anche tu un Nakanoite!
Benvenuto a Broadway! È un po' strano,
ma è molto interessante, non credi?","唉呀，這麼說，你也是這個中野的居民囉！
歡迎來到百老匯！
這裡有點怪，不過也很有趣哦。",,"어머어머, 그럼 너도 이 나카노의 주민이구나!
브로드웨이에 잘 왔어, 환영할게!
좀 특이한 장소지만… 재밌는 곳이란다?","Dann gehörst du auch zu Nakano! Willkommen im
Broadway! Ein wenig seltsam, aber sehr
interessant hier, findest du nicht?"
1013,2100,,"Sei più che benvenuto come cliente!
Vieni quando vuoi, negli orari di apertura.","我們也非常歡迎你作為客人來光顧！
等我們開始營業後，歡迎你隨時過來！",,"손님으로 와도, 대환영이야!
개점하면, 언제든 들러 주렴!","Du bist hier jederzeit gern gesehen!
Komm vorbei, wenn wir offen haben."
1500,2000,,...Non ho alcun motivo per andare oltre qui.,沒什麼特別的事要到前面去。,,…이 앞에서는 볼일이 없어,"... Ich habe keinen Grund, noch weiter zu gehen."
1600,2000,,...Non ho bisogno di tornare indietro.,不需要回去。,,…돌아갈 필요는 없어,... Ich muss nicht zurück.
1700,2000,,"Immagino che ascolterò cosa ha da dire
Dynasmon...",去問杜納斯獸看看吧。,,듀나스몬에게 말을 걸어 보자…,"Ich sollte mir anhören, was Dynasmon zu sagen
hat ..."
