ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1250,1003,,"Oh, ciao hacker... Sono un po'
nei guai.","駭客先生……
我好煩惱，該怎麼辦好呢……",,"해커 씨…
곤란해요, 전 어떻게 해야 할지…","Oh, hallo, Hacker ... Ich stecke ein bisschen in
der Klemme."
1251,1003,,"Ho perso qualcosa di molto importante per
me e ora non so cosa fare.","其實，我掉了「重要物品」，
實在是束手無策了……",,"실은「소중한 것」을 잃어버려서
망연자실해 있던 참이랍니다…","Ich habe etwas verloren, was mir sehr wichtig ist,
und nun weiß ich nicht weiter."
1252,1003,,"Credo che sia su Under
Kowloon Lv. 1.",我想應該在Under Kowloon Lv.1。,,장소는 언더 쿠롱 Lv.1이었던 것 같아요,"Ich glaube, es befindet sich auf Ebene 1 in
Unter Kowloon."
1253,1003,,"C'è una ricompensa per te,
ovviamente, se lo restituisci. Per favore, ho
bisogno del tuo aiuto!","要是你願意幫我找，我會給你報酬的。
拜託了，請你幫助我吧……！",,"찾아주신다면 보수를 드릴게요.
부탁이에요, 부디 저를 도와주세요…!","Es ist natürlich eine Belohnung für dich drin,
falls du mir zurückbringst, was ich suche. Bitte,
ich brauche deine Hilfe!"
1254,1003,,"Il mio prezioso bene! Me l'hai riportato
indietro! Che sollievo.","你幫我找到「重要物品」啊！
太好了……我安心了。",,"제「소중한 것」…찾아주셨군요!
다행이야…안심했습니다","Mein Schatz! Du hast ihn mir zurückgebracht! Ich
bin ja so erleichtert."
1255,1003,,"Ti invierò la ricompensa a breve, con la mia
profonda gratitudine.","之後我會送報酬給你的。
這代表我的感謝。",,"보수는 추후에 보내드리겠습니다.
저의 감사의 표시입니다","Ich lasse dir bald die Belohnung zukommen.
Verbundensten Dank!"
1260,1004,,"Oh, hacker! Mi chiedevo quando
saresti arrivato.","駭客先生！
我一直在等你來……",,"해커 씨!
당신이 오기를 기다렸습니다…","Oh, Hacker! Ich hatte mich schon gefragt, wann du
aufkreuzen würdest."
1261,1004,,"Ho perso qualcosa di molto importante e non
riesco a trovarlo.","我掉了「重要物品」……
實在是坐立不安。",,"저,「소중한 것」을 잃어버려서…
도저히 진정할 수가 없어요","Ich habe etwas sehr Wichtiges verloren und kann es
nicht finden."
1262,1004,,Dovrebbe essere su Under Kowloon Lv. 3.,我想應該是在Under Kowloon Lv.3。,,장소는 언더 쿠롱 Lv.3이었던 것 같아요,Es sollte auf Ebene 3 in Unter Kowloon sein.
1263,1004,,"Per favore, hacker, fai qualcosa!","拜託你了，駭客先生。
請你一定要幫我找到！",,"해커 씨, 부탁드려요.
어떻게든 찾아와주세요!","Bitte, Hacker, unternimm etwas!"
1264,1004,,"Hai trovato il mio prezioso oggetto! Come
posso ringraziarti?","你幫我找到「重要物品」啊！
真是太感謝你了。",,"제「소중한 것」, 찾아와주셨군요!
감사합니다!","Du hast meinen kostbaren Besitz gefunden! Wie kann
ich dir danken?"
1265,1004,,"Ti manderò presto la ricompensa!
Che sollievo.","之後我會送回禮給你的。
找到真是太好了……",,"답례는 추후에 보내드리겠습니다.
아아, 찾아서 다행이야…","Ich schicke dir bald deine Belohnung! So eine
Erleichterung."
1270,1005,,"Rilevata presenza umana. Sei tu quello
che ha preso il mio caso?","確認，人物。
你看到，委託了嗎？",,"인물, 확인
의뢰, 봐준 것인가","Menschliches Wesen erkannt. Bist du derjenige, der
meinen Fall angenommen hat?"
1271,1005,,"Ho smarrito un oggetto di vitale
importanza. Potresti per favore ritrovarlo per me?","我，掉了「重要物品」
你能，幫我找嗎？",,"나,「소중한 것」, 잃어버렸다
찾으러 가, 주지 않겠나?","Ich habe ein entscheidendes Objekt verlegt.
Würdest du es bitte für mich ausfindig machen?"
1272,1005,,Credo che sia a Kowloon Lv. 2.,應該是在Kowloon Lv.2。,,"잃어버린 곳, 아마, 쿠롱 Lv.2","Ich glaube, es ist auf Ebene 2 von Kowloon."
1273,1005,,"La ricompensa arriverà. Aiutatemi, per favore.","謝謝你，
拜託你了。",,"답례, 하겠다
잘 부탁, 한다",Belohnung folgt. Bitte helfen.
1274,1005,,"Ottimo lavoro, hacker. Hai trovato il bersaglio.","駭客，好厲害
「重要物品」，找到了！",,"해커, 대단해
「소중한 것」, 찾아주었다!","Ausgezeichnet, Hacker. Du hast das Ziel geortet."
1275,1005,,Presto ti manderò una ricompensa. Grazie.,"之後，送回禮。
駭客，謝謝你。",,"답례, 나중에, 보낸다
해커, 고마워",Bald werde ich dir eine Belohnung senden. Danke.
1280,1016,,"Ehi, sei quell'hacker? Quello di cui
parlano?",傳聞的駭客就是你吧！,,"너구나?
소문으로 듣던 해커인가 하는 게!","Hey, bist du dieser Hacker? Der, von dem alle
reden?"
1281,1016,,"Ugh. Senti, ho perso qualcosa e ho davvero
bisogno che torni.","其實我……不小心弄丟了「重要物品」。
真是很困擾啊……",,"실은…깜빡「소중한 것」을
떨어트린 것 같거든…진짜 곤란하다니까","Hmpf. Hör mal, ich habe etwas verloren und brauche
es dringend wieder."
1282,1016,,"Ho la sensazione di averlo
lasciato su Under Kowloon Lv. 2.",我想大概是掉在Under Kowloon Lv.2。,,"떨어트린 곳은 아마
언더 쿠롱 Lv.2일 거야","Ich habe das Gefühl, dass ich es auf Ebene 2
in Unter Kowloon verloren habe."
