ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,2020,,"(Dovrei riuscire a prendere tutto quello che c'è
sulla lista a Ikebukuro. Andrò al Tokyo Handy.)","（購物清單上的東西，池袋應該都有。
　先去東京手創館看看吧）",,"(구매목록에 있던 것은 전부 이케부쿠로에서 살 수 있을 거야.
 일단은 도쿄 핸디에서 심부름을 끝마치자)","(In Ikebukuro sollte ich alles auf der Liste
bekommen. Ich gehe zu „Tokyo Handy“.)"
110,4058,,Vi invitiamo a visitare il Cyberspazio EDEN.,請務必光臨電腦空間「EDEN」。,,저희가 운영하는 전뇌공간「EDEN」에 꼭 방문해주세요,Bitte komm zum EDEN-Cyberspace.
410,7238,,Fatelo per i Digimon!,就算是為了數碼寶貝們，還請多指教喔！,,디지몬들을 위해서라도 잘 부탁드릴게요!,Tu es für die Digimon!
500,2020,,"(Non dovrebbe seguirmi nel
bar. Mi rifugierò da Hudie!)","（應該不至於會跟來店裡，
　趕快躲進hudie吧！）",,"(어쨌든 가게 안까지는 따라 들어오지 않을 거야.
 후디에로 도망가자!)","(Es sollte mir nicht ins Café folgen.
Ich verstecke mich bei Hudie!)"
510,9108,,"Oh, è il signor Navit, che si occupa di affari
anche nella realtà. Questo sì che è darsi da fare.
Potresti imparare un paio di cose!","喔，這不是NAVIT嗎。連在現實世界
都在宣傳啊，還真是厲害的業務魂！
你也給我學習一下啊！",,"오오, 내빗군이잖아.
현실세계에서도 PR하다니, 역시~ 대단한 영업정신이야!
너도 잘 보고 배우라고!","Ach, das ist Herr Navit, der auch in der echten
Welt PR macht. Was für ein Geschäftssinn!
Du könntest etwas von ihm lernen!"
511,9109,,"È il signor Navit? Non credo.
Anzi, sono abbastanza sicuro di no!","那、那個是NAVIT嗎！？
怎麼感覺不太一樣！？
一定不太一樣吧！？",,"아, 아니 내빗군이라구요!?
뭔가 다르지 않슴까!?
완전 아닌 것 같지 않슴까!?","Ist das Herr Navit? Ich glaube nicht. Ich bin mir
sogar ziemlich sicher, dass er es nicht ist!"
512,9101,,"Che schifo! Cos'è quella cosa brutta dietro di te?!","呀！
後面那個噁心的東西是什麼！？",,"꺄악!
뒤쪽에 있는 징그러운 건 뭐야!?","Igitt! Was ist denn das hässliche Ding hinter
dir?!"
513,9105,,"Vuoi sapere del signor Navit? Vorrei potertelo dire,
ma non ne ho la minima idea. Di cosa si tratta?","你想要知道後面的NAVIT的事情？
……雖然我也想告訴你，但我也不曉得喔。
那是什麼東西！？！？",,"뒤쪽의 내빗군에 관해서 알고 싶은 거야?
…알려주고 싶지만 나도 잘 모르겠어
뭐야 저건!?!?","Du willst etwas über Herr Navit wissen? Ich
wünschte, ich könnte dir helfen, aber ich
habe keine Ahnung. Hm?"
514,9103,,"Abbiamo un gioco nuovo di zecca...
Ehi! Dietro di te!","這裡有新的街……咿！
後、後、後、後面……！！！",,"신작 아케이드 게임도 취급하고 있…히익!
뒤, 뒤, 뒤, 뒤에…!!","Wir haben ein ganz neues Spiel ...
Hey! Hinter dir!"
515,9104,,"È... il signor Navit?! C'è qualcosa in lui che sembra
diverso.","喔，不是……NAVIT！？
好像跟我知道的NAVIT不太一樣！？",,"오오, 내빗군……이 아니잖아!?
내가 아는 내빗군이 아닌 것 같은데!?","Ist das ... Herr Navit?! Irgendwie sieht er anders
aus."
516,9106,,"Guarda un po'. I bambini stanno giocando a rincorrersi con il
signor Navit. Che dolcezza.","哎呀哎呀，小朋友正在跟NAVIT玩鬼抓人。
看了好療癒啊。",,"오 이런, 아이가 내빗군과 
술래잡기를 하고 있네.
흐뭇하구먼","Schau dir das mal an. Die Kinder spielen mit Herr
Navit. Wie süß."
517,9107,,"Non sono proprio... Spero che i miei nipoti siano
giocosi come loro.","對呀，我們的孫子，如果也能跟那孩子一樣
那麼有精神就好了呢。",,"그러네, 우리 손자도 저 정도로 건강하게 
자라주면 좋겠네","Nicht wahr? Ich hoffe, meine Enkel werden auch so
aufgeweckt sein."
518,4121,,"Il signor Navit sta rapidamente diventando l'ultima leggenda
metropolitana di Ikebukuro!","NAVIT，是目前池袋的最新都市傳說，
正被大家密切關注！",,"내빗씨는 이케부쿠로에 나타난 최신 도시전설로
주목 받고 있어요!","Navit-san wird in Ikebukuro zur neuesten
Großstadtlegende!"
519,4121,,"Eh? Chi è così ansioso di vederlo? Noi, ovviamente!","咦？　你說有誰會期待看到？
那當然是我們啊！",,"엥? 누가 기대하냐고요?
그건 당연히 저희들이죠!",Was? Wer ihn überhaupt sehen will? Wir natürlich!
520,4121,,"Devo dargli un'occhiata! Chissà dove sarà!
Sembra che stia succedendo qualcosa di strano
alla sala giochi?","一定要找到！　到底在哪裡～！
遊戲中心的附近怪怪的！？",,"꼭 발견해야 해! 어디 있으려나~!
게임 센터 근처가 좀 수상한가!?","Ich muss ihn unbedingt sehen! Ich frage mich, wo
er ist! Anscheinend geht in der Spielhalle
etwas vor sich?"
521,4120,,"Smettila. Non provo questi sentimenti
per Kenji. Ti prendi sempre gioco
di me, Lily.","真是的……
我又不是只對健二這樣子而已……
莉莉真是的，每次都故意鬧我……",,"정말…
켄지에 대해서는 별로 그런 거 아니니까…
릴리는 항상 그렇게 놀린다니까…","Hör auf. Es stimmt nicht, dass ich mich für Kenji
interessiere. Immer machst du dich über mich
lustig, Lily."
522,4120,,"Lo sto cercando! Ho sentito che è stato
avvistato al negozio di scarpe!","我、我有好好在找啦！
也有聽說在鞋店附近有看到過！",,"제, 제대로 찾고 있어!
신발가게 근처에서 봤다는 이야기도 들었고!","Ich suche ihn! Ich habe gehört, dass er im
Schuhladen gesehen wurde!"
523,4122,,"Eri così gelosa di Mei poco fa,
vero? Dai, ammettilo, Manaka!","我說啊，剛才的真中絕對是在吃社長的醋吧～？　
是不是啊～？　對不對？",,"있잖아, 마나카 아까 분명히 부장한테 질투했지~? 
그치? 그치?","Du warst gerade echt eifersüchtig auf Mei,
nicht wahr? Na los, gib es zu, Manaka!"
524,4122,,"Oh, signor Navit? Credo sia vicino al negozio
di cellulari.","啊～NAVIT嗎？
好像在手機店的附近喔～♪",,"아~, 내빗씨?
핸드폰 가게 근처에 있나봐요~♪","Ach, Navit-san? Ich glaube, er ist in der Nähe des
Handyladens."
525,9120,,"*sbuffo* Cosa posso fare per te?
Eh? Vuoi sapere se ho visto qualcuno
con il costume del signor Navit?","哈啊、哈啊……有、有什麼事嗎？
咦？　你問我有沒有看到NAVIT的布偶？",,"헉, 헉…무, 무슨 일이시죠?
예? 내빗군 인형옷을 보지 못했냐고요?","*Schnauf* Was kann ich für dich tun? Was? Du
willst wissen, ob ich jemanden gesehen habe,
der sich als Herr Navit verkleidet hat?"
526,9120,,"Penso che avrei notato qualcosa del genere, no?","如果有那種人在，我應該會注意到吧～
應該會吧？你有聽懂嗎？
這個……咳咳、咳咳、咳咳、哈啊。",,"그런 사람이 있으면 오히려 금방 알아챘을 거라고 
생각하는데요~ 오히려.
전해집니까? 이 필…음 커험, 케헴, 에헴, 헴","Ich glaube, das wäre mir aufgefallen, oder?"
527,9120,,Oggi fa proprio caldo! Mi sto arrostendo.,啊～今天怎麼這麼熱啊！　好熱啊～,,음~ 오늘은 뭔가 덥네! 더워라~,Heute ist es wirklich heiß! Ich schmelze.
528,9120,,"Cosa posso fare per te? Eh? Vuoi
sapere se ho visto qualcuno con
un costume da Mr. Navit?","有什麼事嗎？　咦？
你問我有沒有看到NAVIT的布偶？",,"무슨 일이시죠? 네?
내빗군 인형옷을 보지 못했냐고요?","Was kann ich für dich tun? Was? Du willst wissen,
ob ich jemanden gesehen habe, der sich
als Herr Navit verkleidet hat?"
529,9120,,Non so...,我不知道……,,"으음, 모르겠네요……",Ich weiß es nicht ...
530,9120,,Fa così caldo! Mi sento come in un forno!,"唉，好熱、好熱啊～
這已經是惡魔等級的熱度了！　沒錯～！",,"이야, 덥다, 더워~
이건 뭐 악마적으로 덥네! 으으~!",Es ist so heiß! Wie in einem Ofen!
