ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
280000,4126,,,,,,
280010,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
280020,4126,,"Pete...?
No... non è... giusto... Non è
giusto!","皮特……？
不……對……不對！",,"피트…?
아니…야…아니야…!","Pete ...?
Nein ... Das ... stimmt nicht ... Das stimmt
nicht!"
280030,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
280040,4126,,,,,,
280100,4126,,,,,,
280110,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
280120,4126,,"Yoshito...Mizushima... Ah,
aaaaaaah! No! Non è corretto!","水嶋……嘉人……啊啊……啊啊啊！
不對，我是……！",,"미즈시마…요시토…아아…아아아!
아니야, 나는…!","Yoshito ... Mizushima ... ah, ahhh!
Nein! Das stimmt nicht!"
280130,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
280140,4126,,,,,,
280200,4126,,,,,,
280210,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
280220,4126,,"Miko...?
Io sono... Miko... Ah, aaaaaugh!","咪子……？
我是……咪子……啊，啊啊啊啊！",,"미코…?
나는…미코……아아, 아아아아!","Miko ...?
Ich bin ... Miko ... ah, arrrgh!"
280230,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
280240,4126,,,,,,
100,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
101,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
102,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
103,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
104,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
105,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
106,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
107,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
108,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
109,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
110,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
111,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
112,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
113,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
114,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
115,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
116,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
117,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
118,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
119,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
120,4126,,Per favore... Chi...sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
121,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
122,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
123,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
124,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
125,4126,,Per favore... Chi... sono io...?,我是……誰……告訴我……,,나는……누구……가르쳐줘……,Bitte ... wer ... bin ich ...?
