ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,5004,,"Se questo testo appare nel gioco, è un bug.
Si prega di segnalarlo.","遊戲中若跑出這段文字就表示有BUG。
到時候請記得回報。",,,"Wenn dieser Text im Spiel erscheint, ist das ein
Fehler. Bitte melden."
1000,3006,,"...Sei libero? Di cosa stai parlando?
I detective non hanno tempo libero. Bene, ecco un compito per te.
Scopri cosa dovresti fare.","嗯？　什麼？　……你說你很閒？　你是在說些什麼啊？
偵探可沒有時間摸魚哦。
你必須自行判斷自己該做的事。",,"응? 뭐? …한가하다고? 넌 대체 무슨 소리를 하는 건가…
탐정에게 한가한 시간 같은 건 존재하지 않아
스스로 판단해서, 자신이 해야 할 일을 하도록","Du hast nichts zu tun? Wovon redest du? Detektive
haben immer was zu tun. Hier hast du eine Aufgabe.
Überleg dir, was du tun solltest."
2000,3006,,"Per prima cosa, dai un'occhiata alla lavagna bianca a
destra della mia scrivania.","這樣好了，你先面向我的辦公桌，
然後確認放在右邊的白板上面的內容。",,"그렇군, 우선 내 데스크를 향했을 때 오른쪽에 있는
화이트보드를 체크해 보도록","Schau zuerst auf das Schwarze Brett rechts von
meinem Schreibtisch."
2005,3006,,Sembra che tu sia stato in grado di accettare un caso.,看來你順利接下委託了呢。,,아무래도 무사히 의뢰를 수주한 모양이군,Du scheinst einen Fall akzeptiert zu haben.
2006,3006,,"È piuttosto semplice. Quando vuoi accettare
un nuovo caso, prendine uno dalla lavagna,
proprio così.","在接受委託時，
基本上就是像剛才那樣確認寫在白板上面的內容。",,"의뢰를 수주할 때는
방금처럼 화이트보드를 확인하는 게 기본이다","Alles ganz einfach. Wenn du einen neuen Fall
annehmen möchtest, hol dir einen vom Schwarzen
Brett."
2007,3006,,"Aggiungerò nuovi casi di tanto in tanto,
quindi assicurati di controllarlo ogni tanto.","你可以偶爾確認一下白板。
有時會追加新的委託。",,"때때로 화이트보드를 체크해 보도록
새로운 의뢰가 추가되어 있는 경우도 있으니까 말이지","Ich werde öfter neue Fälle hinzufügen.
Schau also hin und wieder vorbei."
2008,3006,,"Comunque, vai avanti e inizia a parlare
con le persone. Conto su di te anche per il mio caso.","那麼，你先到處打聲招呼吧。
我的委託也麻煩你囉。",,"그럼, 인사를 끝내고 오도록
내 의뢰 쪽도, 잘 부탁한다","So, geh los und rede mit Leuten.
Auch für meinen Fall zähle ich auf dich."
2010,3006,,"Accetta qualche caso mentre fai il tuo giro.
Consideralo un test. Sarò il tuo cliente, ma non
pensare che questo significhi che puoi rilassarti.","在四處打招呼時，也順便完成剛才承接的委託吧。
這次只是先測試而已。
雖然委託人是我，但可不能輕忽大意哦。",,"인사를 하고 다니면서, 수주한 의뢰도 달성하도록
이번에는 어디까지나 테스트다
의뢰인은 비록 나다만, 긴장을 풀지 말고 임해 주도록","Nimm ein paar Fälle an, während du deine Runden
drehst. Das ist wie ein Test. Ich bin dein Klient,
aber das heißt nicht, dass du trödeln kannst."
2020,3006,,"Oh, sembra che tu abbia risolto il caso.
Ma non dovresti disturbarmi per questo.
Quando completi un caso, annotalo sulla lavagna.","嗯，看來你已經完成委託了。
不過，要報告完結果後，才算是真正達成委託。
不是直接跟我說，而是在白板上寫下完成委託的報告。",,"흐음, 의뢰를 달성하고 온 것 같군
단, 완료 보고를 해야 비로소 의뢰는 달성된다
나에게 직접 보고하지 말고, 화이트보드에 완료 보고를 적도록","Wie es aussieht hast du den Fall gelöst. Aber
ich habe dafür keine Zeit. Notiere es auf dem
Schwarzen Brett, wenn du einen Fall abschließt."
2030,3006,,"Dirigiti a Shinjuku. Potremmo non sapere tutto, ma
uscire e agire è fondamentale. Non pensarci troppo,
continua semplicemente ad andare avanti.","目標地點是新宿。
雖然你應該還有很多不懂的地方，不過所謂熟能生巧。
先不用想太多，總之往前進就對了。",,"목적지는 신주쿠다
아직 모르는 게 많겠지만, 배우는 것보다 익숙해져라, 다
어렵게 생각하지 말고, 우선 앞으로 나아가 보도록","Geh nach Shinjuku. Wir wissen nicht alles, aber es
ist wichtig, einen Anfang zu machen. Überleg nicht
zu lange, mach einfach weiter."
