ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,2000,,?!,！？！？,,!?!?,?!
2,4247,,"Il Digimon che avevo preparato per te
è scappato via!",我特地準備的數碼寶貝，居然逃走了。,,"…기껏 준비한 디지몬이, 도망쳐 버렸군","Das Digimon, das ich für dich vorbereitet habe,
ist davongelaufen!"
3,4247,,"Ci sono un sacco di altri Digimon. 
Ne troveremo un altro... 
Aspetta un momento.","算了，數碼寶貝要多少有多少，
我馬上可以找到代替的……你等我一下。",,"뭐, 디지몬은 얼마든지 있어
바로 다른 디지몬을 찾겠어… 잠깐 기다려 줘","Es gibt jede Menge andere Digimon.
Wir finden schon eins ...
Warte einfach einen Moment."
4,4247,,"Mi ha sorpreso, però, che un Digimon
così forte comparisse in quest'area.","只不過真叫人吃驚。
這個區域居然會出現這麼強大的數碼寶貝。",,"그건 그렇고, 놀랐어
이 에어리어에, 저런 강력한 디지몬이 출현할 줄이야","Es hat mich allerdings überrascht, dass ein so
starkes Digimon in diesem Gebiet auftaucht."
5,4247,,"O un hacker inesperto voleva fare un
brutto scherzo, oppure qualcuno mi sta
attaccando.","是程度低的駭客故意放出來的嗎？
還是我的敵人幹的好事？",,"품격이 낮은 해커가 지나친 장난으로 풀어 놓았던가…
혹은, 나에게 적대하는 자의 소행일지도 몰라","Entweder ein unerfahrener Hacker wollte sich einen
schlechten Witz erlauben, oder es war ein Angriff
auf mich."
6,4247,,"Come? Vuoi inseguirlo?
Vuoi un Digimon potente come quello?","什麼……？你要去追？
你想要那隻強大的數碼寶貝嗎？",,"…응? 뒤쫓겠다고?
그 강력한 디지몬을 원하는 건가?","Wie? Du willst ihm nachjagen?
Du willst so ein starkes Digimon?"
7,4247,,No. Non saresti in grado di gestirlo. Dimenticatelo.,憑現在的你還沒辦法制服那隻數碼寶貝……放棄吧。,,"아니, 그 디지몬은 아직 너에겐 버거워… 포기해",Nein. Das schaffst du nicht. Vergiss es.
8,2000,,!!!,！！！,,!!!,!!!
9,4247,,"Come? ...Sei preoccupato per i Digimon
che stanno venendo inseguiti?","你說什麼……？
你很在意那隻被追的數碼寶貝？",,"…뭐?
넌… 쫓기고 있는 디지몬을 걱정하는 건가?","Wie meinen? Du ... machst dir Sorgen
um das gejagte Digimon?"
10,4247,,"Sei un tipo curioso. Però dovremmo
lasciare le cose così come stanno.",真是好事者……正因為如此，你更不該插手。,,"유별나군… 하지만, 그렇다면 더욱 내버려 둬야 해","Du bist wirklich seltsam. Dennoch, das ist
erst recht ein Grund, nicht zu gehen."
11,4247,,"Saresti ridicolo se ti facessi
male interferendo in uno scontro tra
due semplici programmi.","不過是程式之間的小小爭執，
萬一你因而“受傷”，也是活該。",,"한낱 프로그램끼리의 분쟁에 관여했다가
""상처""라도 입으면, 네가 바보가 될 뿐이니까","Du würdest dich lächerlich machen, wenn du in
einen Kampf zwischen zwei Programmen eingreifst
und dabei noch Schaden nimmst."
12,2000,,...,………,,………,...
13,2000,,"Devo assolutamente aiutare!
Sono curioso di sapere come andrà.","我得去救它才行！
我想知道會怎麼發展……。",,"구하러 가야 해!
어떻게 될지 궁금해…","Ich muss ihm helfen gehen!
Ich würde gerne wissen, was passiert."
14,4247,,"Se è quello che vuoi, allora
fallo. Inseguili, se ci tieni così tanto.","既然你這麼決定，那就隨便你吧……
看你要追上去還是怎樣，都是你的自由。",,"…네가 그렇게 결정했다면, 좋을 대로 해
뒤를 쫓든 안 쫓든, 말이지","Dann solltest du das auch tun.
Lauf ihm nach, wenn du das möchtest."
15,4247,,...,………,,………,...
