ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3006,,"Beh, che si fa? In momenti come questi, tendo a
cominciare con un attacco frontale.","接下來該怎麼辦呢……？
這種時候我每次都先試“正面攻擊法”。",,"그럼 이제 어떻게 할지…
이런 때, 난 항상, 우선 ""정공법""을 시험해 보지","Was tun? In solchen Momenten gehe ich meistens
direkt in die Offensive."
2,3006,,"Proviamo a negoziare direttamente
per farci entrare nel Reparto Speciale
dell'ospedale.","先去直接“交涉”看看吧！
看能不能准許我們進特殊病房吧！",,"특별 병동으로의 출입 허가를 받을 수 있도록
직접 ""교섭""을 해 보겠어","Versuchen wir mal, direkt zu bitten,
auf die Sonderstation des Krankenhauses
zu dürfen."
3,2000,,"Un attacco frontale? Mi sembra un po' rischioso. 
Cos'altro posso fare?","“正面攻擊法”……也太可疑……
我該做什麼？",,"""정공법""… 무척 수상한데요…
전 뭘 하면 되죠?","Ein direkter Angriff? Na, ich weiß nicht.
Was kann ich denn noch tun?"
4,3006,,"Heehee, sei piuttosto sveglio!",喔喔……你還挺敏銳的。,,"호오, 넌 꽤나 예리한걸","Hihi, du bist ein helles Köpfchen!"
5,3006,,"Ma le nozioni preconcette a volte
possono portare a conseguenze indesiderate. Non
chiedermi i dettagli.","但是，有時候先入為主的觀念會產生意想不到的弊病，
所以還是不要問得太詳細比較好。",,"그러나, 선입관은 때로 생각지 못한 폐해를 낳지
자세한 것은 듣지 않는 게 좋아","Aber vorschnelle Urteile können
unerwünschte Folgen nach sich ziehen.
Frag nicht."
6,3006,,"Ti darò istruzioni più tardi. Fino ad
allora, raccogli informazioni all'interno dell'ospedale.","我之後會再下指令給你，
在那之前，你先在醫院裡面蒐集情報。",,"너에겐 추후 지시를 내리지
그때까지, 병원 내부에서 정보를 모으도록","Ich gebe dir später Anweisungen.
Sammle bis dahin Informationen im Krankenhaus."
7,2000,,?,？？？,,???,?
8,3006,,Porre domande è fondamentale per un detective!,去現場打聽消息可是偵探行為中，最基本的基本喔！,,"…탐문 조사는, 탐정 행동의 기본 중의 기본이지",Fragen sind das Fundament der Detektivarbeit!
9,3006,,"Non scherzavo quando ho detto che
potresti diventare un esperto nel
settore, mio caro aspirante assistente.","我剛剛說你有資質成為「專家」，
可不是在嘲笑你！“助手候補”。",,"너에게,「전문가가 될 수 있다」라고 표현한 건
조롱한 게 아니야, ""조수 후보"" 군","Das war kein Witz, als ich gesagt habe, du
könntest dich auf dieses Gebiet spezialisieren.
Mein liebes zukünftiges Helferlein."
10,3006,,"Diventare un GP e registrare le mie
attività in un grafico, o diventare un
ragazzo con le guance rosse e lucenti...","你會成為開業醫生，將我的豐功偉業寫在傳記裡，
還是會成為面色紅潤的少年呢……？",,"개업의가 되어서, 내 활약을 전기에 적을지
혹은, 뺨을 붉게 물들인 소년이 될지…","Studiere Allgemeinmedizin und schreibe meine
Aktivitäten in eine Akte oder werde ein
Junge mit schönen Apfelbäckchen ..."
11,3006,,È davvero molto divertente. Hi hi!,真叫人期待，呵呵。,,"실로 기대되는군, 후후",Es macht wirklich Spaß. Hihi!
201,3006,,"Dicono che l'ignoranza sia una
benedizione, dopotutto.",所謂的「眼不見為淨」啊！,,「모르는 게 약」이라는 말도 있고 말이야,"„Was ich nicht weiß, macht mich nicht heiß“,
sagt man schließlich."
