"ID","Speaker","Japanese","English","Chinese","EnglishCensored","Korean","German"
"1","1726","","Goo... Ghighi... Ghi.","科科……嘰嘰……","","구… 기기… 기","Wa ... Wawa ... Wi."
"2","1726","","Non...guardare...","不……要……","","보지… 말아 줘―","Nicht ... hinschauen ..."
"3","3004","","Cosa?!","啊！？","","아앙!?","Was?!"
"4","1726","","Non guardare...","不要看——","","보지 말아 줘―","Nicht hinschauen ..."
"5","1726","","Nonguardarenonguardarenonguardarenonguardarenonguardarenonguardare
nonguardarenonguardarenonguardarenonguardarenonguardarenonguardare nonguardarenonguardarenonguardarenonguardarenonguardarenonguardare","不要看不要看不要看不要看不要看不要看不要看不要看不要看不要
看不要看不要看不要看不要看不要看不要看不要看不要看不要看不
要看不要看不要……","","보지말아줘보지말아줘보지말아줘보지말아줘보지말아줘보지
말아줘보지말아줘보지말아줘보지말아줘보지말아줘보지말아
줘보지말아줘보지말아줘보지말아줘보지말아줘보지말아줘보","Nicht hinschauen! Nicht hinschauen, nicht
hinschauen, nicht hinschauen! Nicht hinschauen!"
"6","2000","","...?!","……！？","","…!?","...?!"
"7","3004","","Ehi, non lasciartelo scappare!","嘖，休想逃……！","","칫, 놓칠까보냐…!","He, lass ihn nicht entkommen!"
"8","3004","","Uff, ce l'ho fatta!
C'è mancato poco.","喔……抓到了……！
好險！差點被它逃走……！","","…좋아, 잡았다…!
위험해라, 아슬아슬했어…!","Puh, hab ihn!
Das war aber verflixt knapp!"
"9","2000","","?!","！？！","","!?!","?!"
"10","3004","","Hehehe. Te l'avevo detto di lasciare
fare a me! L'ho seguito come un falco!","嘿嘿……我不是說了交給我嗎？
我已經追蹤到了！","","헤헤… 맡겨 두라고 했잖아?
확실히 추적해 줬다고","Hehehe. Habe doch gesagt, überlass das mir!
Ich bin wie ein Spürhund drangeblieben!"
"11","3004","","Sembra che stesse correndo verso...
Akihabara!","它逃往的地點是……「秋葉原」……！","","도망친 곳은…「아키하바라」다…!","Sieht aus, als wäre er losgerannt Richtung ...
Akihabara!"
