ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,3013,,"Oh cielo, ti sei allontanato e ti sei perso?
Sembra proprio così...","唉呀，難不成你是迷失了方向嗎？
說的也是呢……",,"어머 너, 혹시 길을 잃은 거니?
그러네…","Huch, bist du umhergelaufen und hast dich verirrt?
So wirkt es jedenfalls ..."
1001,3013,,"Hee hee... Se ti perdi di nuovo, torna pure.",呵呵呵，如果你不知道接下來該怎麼辦的話，就再來找我吧。,,"우후후, 만약 길을 잃으면 언제든 찾아 오렴","Hihi ... Wenn du dich wieder verirrst,
komm ruhig zurück."
1010,3013,,"Ma ancora una volta, il nostro tempo è scaduto. Forse dovresti tornare al tuo vero lavoro, ""Cyber Sleuth""?","時候還沒到呢。
你只要繼續從事本行……繼續當你的偵探就行了吧？",,"아직, 때는 되지 않았어
본직… 탐정 업무를 하면 괜찮지 않을까?","Wieder einmal läuft uns die Zeit davon. Vielleicht
solltest du dich um deinen richtigen
Job kümmern, „Cyber-Detektiv“?"
1020,3013,,"Perché non porti quello che hai imparato a
Kyoko? Non è che non voglia chiacchierare, ma
c'è qualcuno a cui devi fare rapporto, e non sono io.","試著把獲得的情報告訴在事務所的杏子如何？
我不是不了解你想見我一面的心情，
但你應該報告的對象可不是我哦。",,"입수한 정보를, 사무소의 쿄코에게 전해 주는 건 어때?
나를 보고 싶은 마음을 모르진 않지만,
네가 보고해야 할 상대는, 내가 아닐 거야","Warum berichtest du Kyoko nicht davon, was du
erfahren hast? Ich plaudere ja gern, aber es ist
dein Job, ihr Bericht zu erstatten."
1500,3013,,"Ti darò una buona spiegazione dei terminali
qui. Quindi assicurati di ricordarli tutti.","我來一一為你介紹這裡的設施。
你可要牢牢記住使用方法。",,"이곳에 있는 시설에 대해, 하나하나 소개할게
사용법을 제대로 기억해 둬","Ich werde dir die Terminals hier gut erklären.
Ich hoffe, du wirst dich an alle erinnern."
1505,3013,,Non ho ancora finito di spiegare.,我還沒說明完哦。,,아직 설명 도중이야,Ich bin mit meiner Erklärung noch nicht fertig.
1510,3013,,"Hai capito il DigiLab?
Tutto qui è fatto per assisterti.
Quindi, per favore, usali bene.","你瞭解數碼實驗室了嗎？
這裡所有的東西都能幫上你的忙，
你要好好利用它們哦。",,"디지랩에 관해서 이해가 됐을까?
이곳에 있는 것은 모두 네 힘이 되어 주는 것들이야
잘 이용하도록 하렴","Hast du das DigiLab verstanden?
Alles, was du hier findest, soll dir helfen.
Bitte setze es also klug ein."
1520,3013,,"Stavate andando a Kowloon, sospetto?
Solo per questa volta, vi farò usare l'uscita speciale.","你正在前往「Kowloon」嗎？
唯獨這次，我就破例幫你連接上出口吧。",,"「쿠롱」으로 향하던 도중이었던 걸까?
이번 만은, 특별히 출구를 연결해 줄게","Du wolltest nach Kowloon, nicht wahr?
Nur dieses eine Mal lasse ich dich den
Spezialausgang benutzen."
1521,3013,,"La prossima volta, vada al punto d'accesso, se possibile.",接著就從“登入地點＂開始找起吧。,,"다음부터는 ""접속 포인트""를 통해서 방문해 줘",Geh nächstes Mal bitte zum Zugangspunkt.
2000,3013,,Hai parlato con la donna di fronte al negozio di CD? E non dimenticare la richiesta di Kyoko di prendere altri chicchi di caffè. Il negozio è a Nakano Broadway.,"你有跟唱片行前面的女孩子說話嗎？
還有，你也要記得完成杏子所委託的「咖啡豆採購」任務哦。
中野館內有買得到咖啡豆的店。",,"CD 숍의 앞에 있는 여자애와는 이미 대화를 나눈 걸까?
그리고, 쿄코의 의뢰「커피콩의 조달」도 잊으면 안 돼
커피콩을 살 수 있는 가게는, 나카노 관내에 있어","Hast du mit der Frau vor dem CD-Laden gesprochen?
Und vergiss nicht Kyokos Bitte um mehr
Kaffeebohnen. Das Geschäft ist in Nakano-Broadway."
2005,3013,,...Tsk. Ti sei dimenticato dove stavi andando?,……你已經不知道該做些什麼了？,,"…정말이지, 목적지를 까먹은 거니?","Also wirklich. Hast du vergessen, wo du
hinwolltest?"
2006,3013,,"Guarda. Controlla ogni anfratto
del Nakano Broadway.",聽好囉？　總之你先徹底走遍整個中野館內吧。,,"잘 들어. 일단, 나카노 관내를 구석구석까지 걸어 보렴","Hör zu. Du musst dich in
Nakano-Broadway genau umschauen."
2007,3013,,E allora... buona fortuna!,還有……　今後請多多指教。,,그리고… 앞으로도 잘 부탁해,Also dann ... viel Glück!
