ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,4932,,"Ehi, hai sentito? Gli Zaxons hanno sfidato
gli Under Zeros! È stato piuttosto incredibile!","嗨，
你聽說Zaxon去挑戰Under Zero的事了嗎？
好像很猛耶～",,"여어
잭슨이 언더 제로에 도전했다는 이야기 들었어?
엄청났다던데~","He, hast du das gehört? Die Zaxons haben
Unter Null herausgefordert! Das war klasse!"
101,4932,,"Conquistare la fortezza Under Zero è stato già
abbastanza difficile, ma sembra che ci sia stata una
battaglia con un'altra squadra oltre a questo...","光是Under Zero防禦牆的攻略就夠辛苦了，
聽說還有跟其他隊伍鬥爭呢。",,"언더 제로의 방벽 공략만으로도 큰일이었을 텐데
다른 팀과의 항쟁도 있었다고 해","Es war schwer genug, die Festung von Unter Null
einzunehmen, aber anscheinend gab es auch noch
einen Kampf gegen ein anderes Team."
102,4932,,"Sono apparsi anche i ribelli
fondati di recente e i veterani Judes, e
si è trasformato in una rissa a tre!","連最近新起的反叛者和老手Jude都冒出來，
簡直就是駭客集團三國鼎立的混戰狀態！",,"최근 새로 생긴 리벨리온즈나 고참인 쥬드까지 나와서
해커 팀들이 삼파전인 난전 상태!","Die vor Kurzem gegründeten Rebels und die
Veteranen von Gamma sind auch aufgetaucht
und haben einen 3-Gruppen-Kampf gestartet!"
103,4932,,"Da quel che so, gli Zaxon sono stati portati alla
sconfitta, ma il loro leader Yuugo è scampato a
malapena alla morte.","結果Zaxon被攻擊到組織全滅的地步，
但聽說隊長YUGO好像勉強撿回一條命。",,"잭슨은 궤멸 직전까지 몰렸지만
리더인 유고는 아슬아슬하게 생환했다고 해","Ich habe gehört, dass die Zaxons besiegt wurden.
Yuugo, ihr Anführer, ist geradeso mit dem Leben
davongekommen."
104,4932,,"Un tizio mi ha detto l'altro
giorno di averlo visto a Kowloon Livello 1.",有人最近在「Kowloon Lv. 1」看到過他。,,…얼마 전에「쿠롱 Lv.1」에서 봤다는 녀석이 있어서 말이지,"Jemand hat mir neulich erzählt, dass er ihn
in der ersten Ebene von Kowloon gesehen hat."
105,4932,,"Si dice in giro che Yuugo sia in realtà un
fantasma, una specie di ""hacker immortale"".
Continua a tornare in vita!","雖然有傳聞說YUGO會不會本來就是“幽靈”，
但實際上他就是不管被打倒幾次都會復活的“不死駭客”吧。",,"유고는 원래 ""유령""이 아닌가 하는 소문이 있었지만
실은 아무리 죽어도 되살아나는 ""불사신 해커""인 게 아닐까","Es kursiert ein Gerücht, dass Yuugo tatsächlich
ein Geist ist, eine Art „unsterblicher Hacker“,
der immer wieder aufersteht!"
106,4933,,"Ma, voglio dire, dai, tutti questi discorsi
ultimamente sono stupidi! È un avatar, non
può essere vivo o morto!","這傢伙從剛才就一直在講那些東西，
明明就是化身還活啊死啊的……到底在說什麼啊。",,"정말~, 이 녀석은 아까부터 이 이야기만 잔뜩 하고~
아바타인데 살아있다느니 죽었다느니… 뭐라는 건지","Aber, komm schon, all das Gerede in letzter Zeit
ist so albern! Er ist ein Avatar, er kann nicht
tot oder lebendig sein!"
107,4933,,"...Yuugo è colui che ha introdotto i programmi
Digimon all'hacking, quindi è una specie di
leggenda vivente. Ci sono molte voci su di lui.","不過因為YUGO是引入數碼寶貝程式進行非法入侵
而成為“活著的傳說”的駭客，所以傳聞很多。",,"…하지만 유고는 디지몬 프로그램을 집어넣는 해킹으로
""살아 있는 전설""이 된 해커인 만큼 여러 소문이 있구나","Yuugo war es, der Digimon mit Hacking bekannt
gemacht hat. Er ist eine lebende Legende.
Es kursieren viele Gerüchte über ihn."
108,3006,,"Stai bene
adesso? Cosa stai facendo? Dove sei?","你現在可以通話嗎？
你在哪裡？　在做什麼？",,"지금 괜찮을까?
어디서 뭘 하고 있지?","Geht es dir gut?
Was treibst du? Wo bist du?"
109,3006,,"...Cosa? Una leggenda vivente? Un hacker
immortale risorto dai morti? Hmm...queste voci su Yuugo
stanno davvero iniziando a sfuggire di mano...","什麼？　活著的傳說？　復活的不死駭客？
嗯……YUGO的謠言好像越來越離譜了。",,"…뭐라고? 살아 있는 전설? 죽어도 되살아나는 불사신 해커?
흐음… 유고의 소문이 멋대로 돌아다니고 있는 것 같군","Was? Eine lebende Legende? Ein unsterblicher
Hacker, der wiederaufersteht? Hm, diese Gerüchte
über Yuugo werden immer verrückter ..."
110,3006,,"Certo, sono sicuro che non sei così sciocco
da credere a nessuno di loro...",你該不會也隨那些謠言起舞了吧？,,설마 너도 그런 소문에 휘둘리고 있는 건 아니겠지,"Natürlich weiß ich, dass du nicht so einfältig
bist, ihnen Glauben zu schenken."
111,3006,,"...Comunque, abbiamo un nuovo caso dal
leggendario uomo in persona,
quindi per favore torna in ufficio.","傳說中的“本人”有事委託我們。
你回來事務所吧。",,"…전설인 ""본인""에게 의뢰가 와 있다
사무소로 돌아오도록","... Wie dem auch sei, wir haben einen neuen Fall,
von der Legende selbst.
Komm also bitte zurück ins Büro."
131,4932,,"Il grande leader degli Zaxon, l'hacker
immortale Yuugo! Ho sentito di recente da un
tizio che dice di averlo visto a Kowloon Lv. 1.","Zaxon的隊長，也就是不死駭客YUGO！
有人最近在Kowloon Lv. 1看到過他。",,"잭슨의 리더이며 불사신인 해커 유고!
얼마 전에 쿠롱 Lv.1에서 봤다는 녀석이 있었어","Der große Anführer der Zaxons, der unsterbliche
Hacker Yuugo! Gerade hatet mir jemand erzählt, dass 
er ihn in der ersten Ebene von Kowloon gesehen hat."
132,4933,,"Beh, Yuugo è colui che ha introdotto i programmi
Digimon alle leggi dell'hacking, quindi è una sorta di
leggenda vivente. Ci sono molte voci su di lui.","YUGO是引入數碼寶貝程式進行非法入侵而成為
“會走路的傳說”的駭客，所以當然有很多傳聞了……",,"뭐, 유고는 디지몬 프로그램을 집어넣는 해킹 방법으로
""걸어다니는 전설""이 된 해커야. 여러 소문이 있겠지…","Yuugo war es, der Digimon mit Hacking-Gesetzen
bekannt gemacht hat. Er ist eine lebende Legende.
Es kursieren viele Gerüchte über ihn."
133,3006,,"Yuuko ha detto che sta aspettando nella stanza
d'ospedale di suo fratello.",悠子說她「在哥哥的病房等你」。,,유코는「오빠의 병실에서 기다리겠다」고 했다,"Yuuko meinte, dass sie im Zimmer ihres Bruders
im Krankenhaus wartet."
134,3006,,"Sembrava piuttosto preoccupata. Penso
che probabilmente sia qualcosa di serio.","她的聲音聽起來有點凝重，
可能是有什麼重要的委託。",,"뭔가 결심한 듯한 목소리였지
중요한 의뢰일지도 모른다","Sie klang wirklich besorgt.
Es muss etwas Ernstes sein."
154,3003,,Grazie per aver accettato questo caso.,謝謝你接下委託。,,의뢰를 받아주셔서 감사합니다,"Danke, dass du den Fall übernommen hast."
155,3003,,"A dire la verità... sto pensando di
cancellare il mio avatar ""Yuugo""...","其實我……
想要刪除“YUGO”的化身。",,"실은 저…
…""유고""의 아바타를 지우려고 해요","Um ehrlich zu sein, überlege ich, meinen
„Yuugo“-Avatar zu löschen ..."
156,2001,,!?,？！,,?!,?!
157,3003,,"Se lo faccio, gli Zaxon si sgretoleranno e
non ci sarà più nessun hacker di nome ""Yuugo""...","如此一來Zaxon就會完全消滅，
身為駭客的“YUGO”也會就此消失……",,"그렇게 하면 잭슨은 완전히 소멸되고
해커인 ""유고""는 없어집니다…","Wenn ich das tue, ist das das Ende der Zaxons. Und
dann wird es den Hacker „Yuugo“ nicht mehr geben."
158,3003,,"...Ci penso da quando è successo l'incidente
di Under Zero...","我從Under Zero的事件那時起
就在考慮要這麼做了。",,"…저, 언더 제로 사건 때부터
그렇게 하려고 줄곧 생각하고 있었어요","... Ich habe darüber nachgedacht, seit dem Vorfall
in Unter Null ..."
159,3003,,L'avatar di Yuugo è qualcosa che ho ricevuto da Rie...,“YUGO”的化身是里繪姊給我的……,,"""유고""의 아바타는 리에 씨에게 받은 것…",Den Yuugo-Avatar habe ich von Rie erhalten ...
160,3003,,"Yuugo è un avatar speciale. Ti permette di passare
attraverso il sistema anche se hai le
informazioni personali sbagliate...","即使有個人資料的差異在，
還是可以鑽過系統使用的特別化身……那就是“YUGO”。",,"개인 정보의 차이가 있어도 시스템을 뚫고 사용할 수 있는
특별한 아바타… 그게 ""유고""입니다","Yuugo ist ein besonderer Avatar. Mit ihm kann man
das System passieren, auch wenn man die
falschen Accountdaten hat ..."
