ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4200,,"Uuuuuuh!? Mi stai dicendo di smetterla di hackerare!?
Assolutamente no, amico! Lo sballo che provo a fare il
cattivo è troppo bello per rinunciarci! Ora togliti di mezzo!","什麼！？　要我別再當駭客？
我才不要！　我已經迷上惡作劇的刺激感了。
少來阻礙我！",,"어엉!? 해커를 그만두라고?
거절하겠다! 나쁜 짓을 할 때의 스릴이 참을 수 없거든
방해하지 말라고!","Waaas?! Ich soll mit dem Hacken aufhören?! Auf
keinen Fall! Es ist so ein Kick für mich, böse zu
sein! Halt dich aus meinen Angelegenheiten raus!"
1,4200,,"Va bene, va bene! Ho capito!
La smetto di hackerare! Odio avere a
che fare con moralisti del cazzo come te...","……唉！　知道了知道了！
我不當駭客就是了。
我已經受夠被你這種傢伙糾纏不休了……",,"…아―! 알았어 알았어!
해커는 그만둘게
너 같은 녀석이랑 얽히는 건 이제 질색이야","Na schön! Ich werde das Hacken aufgeben!
Ich hasse es, mich mit superbraven
Speichelleckern wie dir abgeben zu müssen."
2,4200,,"Eh? Vuoi che smetta di usare male i
miei Digimon e rinunci all'hacking?",啊？不要再濫用數碼寶貝來非法入侵？,,아아? 디지몬을 악용해서 해킹하는 건 그만두라고?,"Was?! Ich soll aufhören, mein Digimon zu
missbrauchen? Das Hacken aufgeben?"
3,4200,,"Che diavolo stai dicendo? Il programma
Digimon è perfetto per l'hacking! Lo sto usando
proprio come è sempre stato inteso!","你在說什麼啊？
所謂的數碼寶貝程式，
就是為了非法入侵而存在的啊！？",,"너, 뭐라는 거야?
디지몬 프로그램은
해킹을 위한 프로그램이잖아!?","Wovon redest du bloß? Das Digimon-Programm
ist ideal zum Hacken! Ich nutze es bloß, wie
es ursprünglich gedacht war!"
4,4200,,"A che serve uno strumento se non lo usi,
idiota!? Chiunque nella mia posizione lo userebbe
per il proprio tornaconto!","道具就是要使用才會產生“價值”！
為了持有人的利益而發揮效用是理所當然的吧！？",,"도구는 사용되어야 ""가치""가 생긴다고!
소유자의 이익을 위해 일하는 게 당연하잖아!?","Was bringt ein Werkzeug, wenn man es nicht nutzt,
du Idiot?! Jeder an meiner Stelle würde es
zu seinem Vorteil nutzen!"
5,4200,,"...Vedo quello sguardo nei tuoi occhi. Se hai
qualcos'altro da dire su quello che faccio, dovrai
solo combattere con me!","…………你那是什麼眼神啊？
有意見的話……就來打一架啊！？",,"…………………………뭐야, 그 눈은
불만이 있으면… 해볼 테냐 이 자식아!?","... Ich sehe, wie du guckst. Wenn du noch mehr
zu meinen Machenschaften zu sagen hast, musst
du mit mir kämpfen!"
6,4200,,"Okay, okay! Ho capito cosa stai dicendo!
E basta, dai... Mi lascerai in pace se
prometto di trattare meglio i miei Digimon d'ora in poi?","我、我知道了我知道了！饒過我吧……！
我不會再任意驅使數碼寶貝了……！",,"아, 알았어 알았다고! 이제 봐 줘…!
디지몬을 더 이상 혹사시키지 않을게…!","Okay, okay! Ich verstehe schon, was du willst!
Jetzt halt die Klappe ... Lässt du mich in Ruhe,
wenn ich verspreche, Digimon besser zu behandeln?"
7,4200,,"Odio avere a che fare con gente di merda come te...",我已經受夠被你這種傢伙糾纏不休了……,,너 같은 거랑 얽히는 건 질색이야…,"Ich hasse es, mich mit Speichelleckern wie dir
abgeben zu müssen ..."
10,4201,,"Non ho mai veramente voluto fare
l'Hacker, lo giuro! Ma io, ma io... Aaaaaaugh!","我、我其實也不想當什麼駭客啊！
可是，可是……哇啊啊啊啊啊！！",,"나, 나도 사실은 해커 같은 거 하고 싶지 않아!
하지만, 하지만… 우와아아아앙!!","Eigentlich wollte ich überhaupt kein Hacker sein,
ich schwöre es! Aber ich, aber ich ... Arrrgh!"
11,4201,,"Sono stato minacciato di diventare un hacker,
altrimenti... Ma ora vedo la luce! Tornerò indietro e mi
farò valere, grazie a te!","有人威脅我不當駭客就要欺負我……
但我現在已經有所覺悟了！　我會試著和那些傢伙對抗的。",,"해커가 되지 않으면 괴롭힌다고 협박당했다고!
그래도 눈이 뜨였어! 나, 그 녀석들한테 맞서 볼래","Mir wurde gedroht, wenn ich kein Hacker werde,
dann ... Aber jetzt werde ich mich wehren.
Das verdanke ich dir!"
20,4202,,"Con questi Digimon, sarò il più forte hacker di tutti i tempi!
Chiunque provi a ostacolarmi si becca un biglietto di sola andata
per una sonora batosta!","本大爺會用數碼寶貝成為最強的駭客！
礙事的傢伙一律打倒，倒不如說，全部打飛！",,"이 몸은 디지몬을 이용해 최강의 해커가 될 거야!
방해하는 놈은 쓰러뜨린다, 그렇다기보다 날려 버린다!","Mit diesen Digimon werde ich der stärkste Hacker
aller Zeiten! Jeder, der sich mir in den Weg
stellt, wird sehen, was er davon hat!"
21,4202,,"Merda ... Ho ancora molto da imparare. Ma non mi arrendo! Non se ne parla!
Allenerò i miei Digimon e tornerò. Aspetta e vedrai!","可惡……通往最強的道路還很長……
但我不會放棄的！
我會鍛鍊好數碼寶貝再來挑戰！！",,"제길―… 최강이 되기 위한 길은 아직 머네…
하지만 이 몸은 포기하지 않아!
디지몬을 모아서 다시 도전이다!!","Mist ... Ich muss wohl noch viel lernen. Aber ich
gebe nicht auf! Auf keinen Fall! Ich trainiere
meine Digimon und komme wieder. Warte es ab!"
30,4203,,"Uuuuuuh!? Non ti avevo già preso a calci il
tuo debole culo prima!? Che diavolo ci fai di nuovo
qui!? Cerchi il bis, marmocchio di merda!?","哼啊啊啊啊！？
你剛才瞪了我吧！？
你這傢伙膽子不小嘛！！",,"아아아앙!?
네 녀석 지금 날 날려보냈겠다아아아―!?
좋은 배짱이잖아 이 자시이이익!!","Waaas?! Hatte ich das mit dir nicht schon
geregelt?! Was machst du wieder hier?! Hast du
Lust auf Nachschlag, du Nichtsnutz?!"
31,4203,,"Gah, devo averti scambiato per qualcun altro! Io,
io mi dispiace! Davvero tanto! Non
portarmi rancore, okay!?","說你瞪我什麼的……是我自己誤會了！
非、非常抱歉！！",,"나, 날려보냈다니… 제 착각이었습니닷!
죄, 죄송했습니다아앗!!","Gah, ich muss dich mit jemandem verwechselt haben!
E-Es tut mir leid! Wirklich! Nimm es
mir nicht übel, ja?"
40,4204,,"Mi chiamo Maki Sakimiya, sono una studentessa del
secondo anno della classe G. Da queste parti mi chiamano la ""Hacker
Fuorilegge"". Non sei altro che un misero strumento della polizia!","我是2年G班的崎宮麻紀。
別稱太妹駭客。
我饒不了你們這些條子的走狗。",,"2학년 C반 사키미야 마키
다른 이름은 스케반 해커
너희 짭새들, 용서하지 않아!","Ich bin Maki Sakimiya aus der Klasse G.
Ich werde hier die „Gesetzlose Hackerin“ genannt.
Du bist bloß ein mieser Handlanger der Polizei!"
41,4204,,"Mi sono cacciato in questo perché ho letto un
manga che aveva una hacker tosta... Ma ora so che
non è così. Grazie per avermi dato una lezione.","我之前一直很憧憬
同人漫畫中的太妹駭客……
多虧你，我清醒了。",,"나, 동인 만화의
스케반 해커를 동경하고 있는데…
네 덕분에 눈이 뜨였어","Ich wurde eine Hackerin, nachdem ich ein Manga
mit einer coolen Hackerin gelesen hatte. Aber nun
weiß ich es besser. Danke für die Lektion."
50,4205,,"Ehi, tu! Sì, sto parlando con te!
Mi hai urtato di proposito, vero!? Penso che tu
abbia rotto qualcosa! Pagherai le cure!","唔！喂，很痛耶！
你剛才撞到我了吧！　這不是骨折了嗎？
真的超痛的，超痛的好不好！　給我交出醫藥費！",,"응아악! 아프잖아 어이!
너 지금 나한테 부딪혔지! 이거 뼈 부러진 거 아니야?
완전 아파, 완전 아프다고 이거! 치료비 내라고!","He, du! Ja, ich rede mit dir! Du hast mich gerade
absichtlich gestoßen, oder?! Ich glaube, ich habe
mir was gebrochen! Dafür wirst du bezahlen!"
