ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
200,3013,,"Se sei qui, devi aver accettato il mio caso.",你接下委託了呢。,,"의뢰, 받아 줬구나","Da du hier bist, hast du wohl meinen Fall
übernommen."
201,3013,,"Sapevo che saresti venuto spontaneamente,
dati i tuoi stretti legami con i Digimon.","如果是和數碼寶貝之間有相連羈絆的你，
我想一定就會過來。",,"디지몬과의 인연으로 맺어진 너라면
당연히 와 줄 거라고 생각했어","Ich dachte mir schon, dass du kommst, da du
dich mit den Digimon so gut verstehst."
202,3013,,"Comunque, andiamo subito al dunque, ci stai?
Sei già stato a Kowloon in EDEN prima, sì?","我們現在就來談委託的內容。
你……已經見到Kowloon的駭客了嗎？",,"…바로 의뢰에 대한 내용인데
너… 이미 쿠롱의 해커랑 만났어?","Wie dem auch sei, kommen wir gleich zum Punkt, ja?
Du warst in EDEN schon in Kowloon, oder?"
203,3013,,Allora questo renderà la conversazione molto più veloce.,是嗎？那我們可以長話短說了。,,"그렇구나, 그럼 이야기가 빠르겠네",Das macht diese Unterhaltung sehr viel kürzer.
204,3013,,"EDEN è pieno zeppo di hacker che considerano i Digimon
poco più che meri strumenti per fare i loro comodi.","在這個世界……EDEN裡橫行霸道的駭客們，
只把數碼寶貝當作便利的道具來看待而已……",,"이 세계… EDEN에 만연한 해커들은
디지몬을 그저 편리한 도구로밖에 보지 않아…","EDEN ist voll von Hackern, die Digimon nur als
Werkzeuge für ihre Absichten ansehen."
205,3013,,"Naturalmente, le loro intenzioni sono piuttosto malvagie e illegali,
per farla breve.",不僅如此，還將它們用在犯罪行為上。,,그 뿐만이 아니라 그들을 범죄 행위에 이용하고 있어,"Natürlich sind ihre Absichten ziemlich böse und
illegal, um es kurz zu machen."
206,3013,,"Ecco perché ho cercato il tuo aiuto in questo caso.
Vorrei che tu andassi a dare la caccia a uno di questi hacker e,
diciamo, li ""disciplinassi"" per queste terribili buffonate.","這次的委託，是希望你能以同樣是駭客的身分開戰，
藉以處罰那些駭客。",,"이번 의뢰는 말이지, 그런 해커를 혼내줬으면 하는 거야
같은 해커로서, 배틀로 말이지","Darum möchte ich für diesen Fall deine Hilfe.
Ich möchte, dass du einem solchen Hacker nachsetzt
und ihn für seinen Unfug „disziplinierst“."
207,3013,,"Speriamo che, considerandoti uno di loro,
imparino dal tuo esempio a trattare i loro Digimon
con molta più gentilezza d'ora in poi.",然後，我希望他們反省，承諾不再濫用數碼寶貝。,,그리고 더 이상 디지몬을 악용하지 않겠도록 반성시켜 줬으면 해,"Hoffentlich kannst du ihm als Hacker ein
gutes Beispiel sein. So lernt der Hacker dann,
seine Digimon besser zu behandeln."
208,3013,,"Mmh? Non tutti gli hacker potrebbero essere così cattivi, dici?","咦……？
駭客說不定……並不全是壞蛋？",,"뭐…?
해커는 나쁜 녀석들만 있는 게 아닐지도… 모른다고?","Hm? Vielleicht sind nicht alle Hacker so schlimm,
meinst du?"
209,3013,,"Dal modo in cui parli, deduco che hai incontrato qualcuno che ti rende
così ottimista, allora?","呵呵……你已經遇到
值得期待的駭客了嗎？",,"후후… 기대를 갖고 있던 해커와
벌써 만난 걸까?","Was du sagst, lässt darauf schließen, dass du
welche getroffen hast, die dich optimistisch
stimmen?"
