ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,1317,"","Crap, where did I put it...?
I'm in real trouble if I don't find it...","不知道跑哪去了～
真傷腦筋呀～","","어디로 간 걸까요~
곤란하네요~","Mist, wo habe ich es hingetan ...?
Wenn ich es nicht finde, kriege ich Ärger ..."
101,1317,"","Oh, hey there, Detective! Great timing!
I dropped my ""precious thing"" somewhere!","欸欸，偵探大人，
我弄丟了「重要之物」，正在頭痛呢。","","저기저기 탐정님,
제가 「소중한 물건」을 잃어버려서 곤란하거든요","Ach, hallo, Detektiv! Tolles Timing!
Ich habe mein „wertvolles Ding“ irgendwo verloren!"
102,1317,"","Could you be a pal and look for it?
If I don't have it back, I'll be up a creek!","你可以幫幫我嗎？
我沒有那個是不行的。","","저 좀 도와주지 않을래요?
그게 없으면, 아무것도 못 하거든요","Könntest du so nett sein und danach suchen?
Wenn ich es nicht finde, stecke ich in der
Klemme!"
103,1317,"","I think I dropped it somewhere around
[m3010].
Thanks for doing this!","「重要之物」好像掉在[m3010]了。
那就麻煩你囉。","","「소중한 물건」은 [m3010]에서 잃어버렸던 것 같아요
잘 부탁드려요","Ich glaube, ich habe es irgendwo in
[m3010] verloren.
Danke, dass du mir hilfst!"
110,1317,"","You found my ""precious thing""! That's amazing!","偵探大人！　你幫我找到「重要之物」了耶！
你好厲害哦！！","","탐정님!「소중한 물건」을 찾아와 주신 거군요!
…굉장해요!!","Du hast mein „wertvolles Ding“ gefunden! Super!"
111,1317,"","I've sent something to your office as thanks.
You're a life-saver!","我把謝禮送去事務所了。
非常謝謝你的幫忙！","","보답은 사무소로 보내두었어요
정말 고마워요!","Als Dankeschön habe ich etwas an dein Büro
geschickt. Du warst meine Rettung!"
120,1320,"","Crap, where did I put it...?
I'm in real trouble if I don't find it...","不知道跑哪去了～
真傷腦筋呀～","","어디로 간 걸까요~
곤란하네요~","Mist, wo habe ich es hingetan ...?
Wenn ich es nicht finde, kriege ich Ärger ..."
121,1320,"","Oh, hey there, Detective! Great timing!
I dropped my ""precious thing"" somewhere!","欸欸，偵探大人，
我弄丟了「重要之物」，正在頭痛呢。","","저기저기 탐정님,
제가 「소중한 물건」을 잃어버려서 곤란하거든요","Ach, hallo, Detektiv! Tolles Timing!
Ich habe mein „wertvolles Ding“ irgendwo verloren!"
122,1320,"","Could you be a pal and look for it?
If I don't have it back, I'll be up a creek!","你可以幫幫我嗎？
我沒有那個是不行的。","","저 좀 도와주지 않을래요?
그게 없으면, 아무것도 못 하거든요","Könntest du so nett sein und danach suchen?
Wenn ich es nicht finde, stecke ich in der
Klemme!"
123,1320,"","I think I dropped it somewhere around
[m3010].
Thanks for doing this!","「重要之物」好像掉在[m3010]了。
那就麻煩你囉。","","「소중한 물건」은 [m3010]에서 잃어버렸던 것 같아요
잘 부탁드려요","Ich glaube, ich habe es irgendwo in
[m3010] verloren.
Danke, dass du mir hilfst!"
130,1320,"","You found my ""precious thing""! That's amazing!","偵探大人！　你幫我找到「重要之物」了耶！
你好厲害哦！！","","탐정님!「소중한 물건」을 찾아와 주신 거군요!
…굉장해요!!","Du hast mein „wertvolles Ding“ gefunden! Super!"
131,1320,"","I've sent something to your office as thanks.
You're a life-saver!","我把謝禮送去事務所了。
非常謝謝你的幫忙！","","보답은 사무소로 보내두었어요
정말 고마워요!","Als Dankeschön habe ich etwas an dein Büro
geschickt. Du warst meine Rettung!"
140,1321,"","Snff, snff... Uhuhu...","嗚嗚……嗚嗚……。","","우우… 우우… 훌쩍, 훌쩍","*Schnüff, schnüff* ... Buhuhu ..."
141,1321,"","Uhu... huh? Are you a detective?","嗚嗚……咦、咦？　難道是偵探大人嗎……？","","우우… 어, 어? 설마 탐정님…?","Buhu ... Was? Bist du ein Detektiv?"
142,1321,"","You gotta... You gotta listen...
I lost my ""precious thing"" somewhere around
[m3010].","我去[m3010]的時候……嗚嗚……
不小心……把「重要之物」搞丟了……嗚嗚嗚嗚……","","나,「소중한 물건」을… 우우…
[m3010]에 갔을 때… 잃어버려서… 우우우우…","Du musst ... Du musst mir zuhören ...
Ich habe mein „wertvolles Ding“ irgendwo in
[m3010] verloren."
143,1321,"","If I don't have it, I'll... I'll...uwaaaaaahhh!!!
Please, you gotta find it! You just gotta!","沒有那個的話，我、我……嗚哇啊啊啊啊啊啊啊啊！
求求你！　幫我找回來！","","그게 없으면, 나, 나… 우아아아아아아아아아앙!
부탁해애! 찾아와줘어!","Wenn ich es nicht finde, dann ... dann ... Buäää!
Bitte, du musst es finden! Du musst einfach!"
