ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,7301,,"Non posso farlo. Per favore, non chiedere di nuovo.","那、那種事情我做不到啊。
拜託你了，放過我吧……",,"그, 그럴 수는 없다니까.
부탁이야, 이제 좀 봐줘…","Das kann ich nicht tun. Bitte frag nicht noch
einmal."
2,3046,,Devi farlo.,"那樣的話我可無法接受，
乖乖做就對了。",,"그래선 내 기분이 풀리지 않아.
됐으니까 해줘",Du musst aber.
3,7301,,Faccio sul serio...,就說了這樣我很困擾了啊……,,그러니까 곤란하다고……,Ich meine es ernst ...
4,3047,,Ryuji!,龍司──！！,,류지이―!!,Ryuji!
5,3046,,Sei qui.,來了啊。,,왔군,Du bist hier.
6,3047,,"Eh? Tutto è normale. Ho sentito che eri fuori
controllo. Mi aspettavo il peggio.","……咦、咦？　感覺很正常啊。
聽說你失控了，我還以為你又
變得完全無法想像的樣子了…",,"……어, 어라? 뭔가 평범한데.
폭주하고 있다길래 틀림없이 또
터무니없는 짓을 하고 있는 게 아닐까 했는데…","Nanu? Alles ist normal. Ich hatte gehört, du
wärst am Randalieren. Ich hatte mit dem
Schlimmsten gerechnet."
7,7301,,"Ehi, Hudie! Devi fermarlo! È il tuo
leader, giusto?","喂，hudie的，快點阻止這傢伙啊！
他不是你們的隊長嗎？",,"어이, 후디에! 빨리 이 녀석을 말려봐!
너희들의 리더잖아?","He, Hudie! Ihr müsst ihn aufhalten! Er ist euer
Anführer, oder?"
8,1392,,Cos'ha fatto?,龍司他到底發生什麼事了？,,"류지, 대체 무슨 일이야?",Was hat er getan?
9,7302,,"Ha radunato tutti gli hacker di EDEN che è riuscito a trovare,
si è prostrato in mezzo alla strada,
e ha detto a tutti di picchiarlo.","他在EDEN隨機把駭客都聚集了過來，
突然跪在路中央，要我們揍他。如果不揍的話
反而會被他揍…從剛才一直都這樣，很令人困擾啊。",,"보이는 대로 EDEN의 해커를 모아
길 한가운데서 엎드려 사과한다거나 패달라고 부탁한다거나
때리지 않으면 역으로 패버리거나…계속 이래서 난처하다고","Er hat alle EDEN-Hacker versammelt, die er finden
konnte, sich mitten auf der Straße hingeworfen
und allen gesagt, sie sollen ihn schlagen."
10,3047,,Perché avrebbe dovuto farlo?,……什麼嘛，原來是這樣子啊──,,"……뭐야, 그런 거였구나~",Warum das denn?
11,3047,,"Eravamo preoccupati che fosse stato manipolato per andare
di nuovo su tutte le furie, come con Arcadiamon. Che
sollievo...","我們還以為，難道又像被阿卡迪獸那樣操控了，
擔心是不是又失控了。唉呀，真是太好了
太好了……",,"우린 그만 또 알카디몬 같은 것에 조종당해서
날뛰고 있는 게 아닐까 하고 걱정하고 있었는데~
이야~ 다행이다 다행이다……","Wir hatten Angst, er wäre manipuliert worden zu
randalieren, wie damals von dem Arkadimon. So eine
Erleichterung."
12,3047,,"Forza! Che significa, Ryuji?!","一點也不好啊啊啊！！！！！！！
你到底在幹麼，龍司！！",,"다행이 아니잖아!!!!!!!
뭐하는 거야, 류지!!","Komm schon! Was soll denn das, Ryuji?!"
13,3046,,"Te l'ho detto, c'è qualcosa che voglio farti vedere.",我說了吧，我希望你們都能見證。,,말했잖아. 너희가 지켜봐줬으면 하는 것이 있다고,"Ich sagte doch, ich wollte euch etwas zeigen."
14,3046,,È tempo che io paghi per ciò che ho fatto.,我從現在開始……要了結一切。,,나는 지금부터……빚을 갚겠다,"Zeit, dass ich für meine Taten büße."
15,2020,,...?,…………？,,…………?,...?
16,3046,,"Arcadiamon potrebbe avermi controllato, ma quello che
ho fatto agli hacker di EDEN è imperdonabile.","雖說是受到阿卡迪獸的影響，
但是我對EDEN的駭客們所做過的事情，
絕不是能被原諒的事。",,"알카디몬의 영향을 받았다곤 해도
내가 EDEN의 해커들에게 한 짓은
용서받을 만한 것이 아니야","Das Arkadimon hat mich zwar kontrolliert, aber was
ich den EDEN-Hackern angetan habe, ist
unverzeihlich."
17,3046,,"Qui è dove mi farò perdonare. Mi scuserò con ciascuno degli hacker di EDEN, uno ad uno. E voglio che tu lo veda.","這是一種了結。
我會跟EDEN裡的駭客，一個一個道歉。
希望你們可以見證這一切。",,"이건 끝맺음이다.
EDEN의 해커 한 명 한 명에게
사과하러 가겠다. 그걸 지켜봐줘","Nun werde ich es wiedergutmachen. Ich werde mich
bei jedem einzelnen EDEN-Hacker entschuldigen. Und
ihr sollt zusehen."
18,7301,,Stiamo bene! Non siamo affatto arrabbiati con te!,都說了，我們不會在意這種事的！,,그러니까 우린 이제 그런 거 신경쓰지 않는다니까요!,Uns geht’s gut! Wir sind dir auch nicht böse!
19,7301,,"Anche Zaxon ha detto che i membri di Hudie erano
vittime anche loro, quindi nessuno ha colpa.","Zaxon那頭也說「hudie也是被害者」，
「這次不追究一切」了啊……",,"잭슨에서도「후디에도 피해자다」
「이번엔 없던 일로 하자」고 말했고……","Sogar Zaxon meinte, die Mitglieder von Hudie wären
Opfer und niemand trage die Schuld."
20,3046,,Solo parole vuote!,少說這種姑息的話！,,물러 터진 소리 하지 마!,Nur leere Worte!
21,7301,,Eh?!,咿！！,,히익!!,Was?!
22,3046,,"Ti ho incolpato per cose su cui non avevi alcun controllo
e poi sono andato su tutte le furie.","……我將無可奈何的事，歸咎給你們，
到處大鬧特鬧。",,"……나는 해결할 수 없었던 여러 문제를
너희들 탓으로 돌리고 난동을 부렸다","Ich habe euch die Schuld an Dingen gegeben, über
die ihr keine Kontrolle hattet, und dann
gewütet."
23,3046,,"Se fossi al tuo posto e qualcuno mi facesse
una cosa così terribile, niente di ciò che direbbero potrebbe
farmi perdonarli, che se ne ricordino o meno!","對於你們來說，這根本是不相關的事。
明明給大家添了這麼多的麻煩，卻由
他人所說來了結……這我當然無法接受啊！",,"너희들 입장에서는 하지도 않은 일 때문에
터무니없는 피해를 받았는데도, 그렇게 남의
말 한마디로 정리되면…납득이 안 될 텐데!","Wenn mir an eurer Stelle jemand etwas so
Schreckliches angetan hätte, könnte ich ihm nie
verzeihen, ob er sich daran erinnert oder nicht."
24,3046,,Ora devo pagare il prezzo... Cyberdramon!,"我會做好了結的。
……電子龍獸！",,"빚은 제대로 갚겠다.
……사이버드라몬!",Jetzt muss ich dafür büßen ... Cyberdramon!
25,3047,,"Ehi, aspetta! Cosa hai intenzione di fare, Ryuji?!",喂喂喂喂！　你在做什麼啊龍司！？,,어이어이어이어이! 뭘 할 셈이냐 류지!?,"He, warte! Was hast du denn vor, Ryuji?!"
26,3046,,"Ho detto loro di colpirmi, ma si sono rifiutati.","雖然我說了，能揍我揍到氣消為止，
但大家或許是顧慮到我，沒有任何人要揍我……",,"기분이 풀릴 때까지 치라고 했는데
사양하고 있는 건지 아무도 치질 않아……","Ich habe ihnen gesagt, sie sollen mich schlagen,
aber sie haben sich geweigert."
27,3046,,"E quale altra scelta avrei, allora?!",那麼，就只好讓他來揍了吧……！,,그렇다면 스스로 할 수밖에 없잖나…!,Was habe ich also für eine andere Wahl?!
28,3047,,"Aspetta! Vuoi che tutti guardino Cyberdramon
ridurti in poltiglia?!","快住手啊───────！！！
你是想要讓大家看看，你被電子龍獸揍的畫面嗎！",,"그만두지 못할까―――――――!!!
네가 사이버드라몬에게 두들겨 맞는 걸
다 같이 보고 있으라는 거냐!","Moment mal! Du willst, dass alle zusehen, wie
Cyberdramon dich grün und blau schlägt?!"
29,3046,,Esatto.,沒錯。,,그래,So ist es.
30,3047,,Fermati!,說什麼沒錯啦！,,"""그래""가 아니잖아!",Hör auf damit!
31,3046,,"Non intralciarmi! Se non lo faccio, non avrò
mai pace! Posso solo ripagare veramente per ciò
che ho fatto mettendo in pericolo la mia vita!","不要阻止我！　不這麼做的話，我無法善罷甘休！
了結這種事啊……就是要賭上自己的性命！",,"방해하지 마! 이렇게라도 하지 않으면 내 기분이 풀리지 않아!
대가를 치른다는 건……목숨을 던지는 거란 말이다!","Komm mir nicht in die Quere! Wenn ich das nicht
tue, finde ich nie Frieden! Ich kann nur für
meine Tat büßen, indem ich mein Leben riskiere!"
