ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,2000,,Farei meglio a guardarmi intorno ancora un po'.,再稍微調查一下這一帶吧。,,좀 더 이 주변을 조사해 보자,Ich sollte mich lieber noch weiter umsehen.
114,2000,,Questo dovrebbe bastare per la parola chiave [2[k12]].,"關於關鍵字【[2[k12]]】的調查，
應該這樣就行了吧。",,"키워드 【[2[k12]]】에 관한 조사는
이 정도면 충분하겠지","Das sollte zum Stichwort [2[k12]]
reichen."
200,2000,,"Medaglia Digimon ""[d0]"" ottenuta!",得到數碼寶貝獎牌「[d0]」了！,,"디지몬 메달「[d0]」
를(을) 손에 넣었다!","Digimon-Medaille „[d0]“
erhalten!"
300,2000,,"Ho troppa roba con me e non posso trasportare altro.
Dovrei sistemare le mie cose e poi tornare.","持有物太多，沒辦法再拿了……
先整理一下再來吧。",,"소지품이 너무 많아서 이 이상 가질 수 없어…
정리하고서 다시 오자","Ich habe zu viel dabei und kann nichts mehr
tragen. Ich sollte meine Sachen ordnen und dann
wiederkommen."
400,2000,,"Non ho abbastanza soldi...
Forse la prossima volta.","現金不足……
下次再買吧。",,"돈이 부족해…
다음 기회로 미루자","Ich habe nicht genug Geld ...
Vielleicht nächstes Mal."
500,2000,,Nessun posto per questa medaglia...,"這個獎牌的持有數已經到達上限，
所以只能忍痛丟棄了……",,"이 메달은 더 이상 가질 수 없어서
버렸다…",Kein Platz für diese Medaille ...
600,4230,,"Oh, sei qui anche tu per portarmi una medaglia?",喔！你也拿「獎牌」來給我啦！？,,"앗! 너도「메달」을 가져와
준 거니!?","Oh, bist du auch hier, um mir eine Medaille zu
bringen?"
601,4230,,"... Che tipo di medaglie, chiedi?
Medaglie Digimon, ovviamente, cos'altro!","什麼的「獎牌」？
當然是「數碼寶貝獎牌」囉！",,"…무슨「메달」이냐고?
그야 너,「디지몬 메달」인 게
당연하잖아!","... Was für Medaillen, fragst du?
Digimon-Medaillen natürlich, was denn sonst!"
602,4230,,"Collezionare medaglie Digimon è il mio grande sogno!
La mia vita! Il mio tutto!","大叔我的夢想就是收集「數碼寶貝獎牌」！
那是大叔我的人生！大叔我的一切！",,"「디지몬 메달」모으기는, 아저씨의 꿈!
아저씨의 인생! 아저씨의 전부!","Digimon-Medaillen sammeln ist mein großer Traum!
Mein Leben! Mein Ein und Alles!"
603,4230,,"Per questo sono conosciuto come il...
Collezionista di medaglie!",沒錯！大家都叫我做「獎牌大叔」！,,그래! 아저씨는 이름하여「메달 아저씨」!,"Deshalb kennt man mich als den ...
Medaillensammler!"
604,4230,,"Quindi, se ti capitano delle Medaglie Digimon,
allora portale qui e te le comprerò volentieri!","因此，
只要你拿「數碼寶貝獎牌」來找我，
我就會花錢跟你收購，請多指教啦～",,"…그러니
「디지몬 메달」을 가져와 주면
아저씨가 매입해 줄 테니까, 잘 부탁해~","Wenn dir also Digimon-Medaillen unterkommen,
dann bring sie her und ich kaufe sie dir gerne ab!"
610,4230,,Allora? Hai medaglie per me?,如何？你有在收集獎牌嗎？,,"어때? 메달, 잘 모으고 있어?",Na? Hast du Medaillen für mich?
620,4230,,... So che mi stai nascondendo qualcosa.,我等你拿獎牌來哦。,,"…메달, 기다릴게","... Ich weiß, dass du mir was vorenthältst."
630,4230,,"Hihi, quindi vuoi vedere la mia collezione.
Non dirlo a mia moglie, ok?","呵呵呵，你想看我的收藏品嗎？
……不可以告訴我老婆哦。",,"우후후, 아저씨의 콜렉션이 보고 싶니?
…마누라에게는 비밀이야","Hihi, du willst also meine Sammlung sehen.
Sag meiner Frau nichts davon, ja?"
640,4230,,"Un giorno li avrò tutti... tutti e 500.
Grazie a te, sono un passo più vicino a quello!","總有一天，我會將所有的獎牌……
一共500種全部收集完整的。
今後也要麻煩你多多幫忙了，呵呵呵。",,"언젠가, 금메달…
500종류 전부 다 컴플리트하고 말겠어
앞으로도 협력 잘 부탁해, 우후후","Eines Tages werde ich sie alle haben ... alle 500.
Dank dir bin ich dem einen Schritt näher ...!"
650,4230,,"Se trovi medaglie, allora portamele!
Ti pago il miglior prezzo, promesso!
Ma non dire niente a mia moglie, va bene?","如果有得到獎牌，就拿來給我吧。
我會高價向你收購的。
……這件事可別告訴我老婆啊。",,"메달을 손에 넣으면 가져와 줘
아저씨가, 고가로 매입해 줄 테니까
…마누라에게는 비밀로 말이야","Wenn du Medaillen findest, dann bring sie mir!
Ich zahle dir den besten Preis, versprochen!
Aber sag meiner Frau nichts, ja?"
660,4230,,"Oh, mi hai quindi portato ancora più medaglie?",喔喔！你拿獎牌來給我啦！？,,오오! 메달을 가져와 준 거니!?,"Ui, du hast mir also noch mehr Medaillen gebracht?"
661,4230,,"Allora! Tutto sommato ti darò... [n0] Yen! Accetti?","……好！一共是
[n0]YEN！
我全部買下了！",,"…좋아! 전부 해서
[n0]YEN이다!
매입하게 해 줘!","So! Alles in allem gebe ich dir ...
[n0] Yen!
Abgemacht?"
662,4230,,"... Nessuna? Non hai medaglie? Peccato.
Procuratene alcune e poi torna, ok?","……什麼嘛，你身上沒有獎牌啊。
下次來記得帶一堆獎牌來啊。",,"…뭐야, 안 갖고 있는 거니, 메달
잔뜩 가져와 줘, 메달","... Gar keine? Du hast keine Medaillen? Schade.
Besorg ein paar und komm dann wieder, ja?"
670,4230,,"C-Cosa? Non vuoi venderli?
Che tu faccia piangere ancora un vecchio...","咦……？你不願意賣給我？
大叔我搞不好會傷心到哭出來耶……",,"에…? 안 팔아 주는 거니…?
울어 버릴지도… 아저씨…","W-Wie? Du willst sie nicht verkaufen?
Dass du einen alten Mann noch zum Weinen
bringst ..."
680,4230,,"Allora, venduto, nessun rimborso! Grazie!
Non dire a mia moglie niente di tutto questo, ok?","交易成立，謝謝惠顧！！
……你可千萬不要告訴我老婆哦！？",,"거래 성립이다, 고마워!!
…마누라에게는 아무쪼록 비밀로 해 주렴!?","So, verkauft, keine Rückerstattung! Danke!
... Sag meiner Frau nichts von alldem, ja?"
690,4230,,Oh! Grazie a te ho la collezione di medaglie [Adventures] completa!!!,"喔喔！？託你的福，
獎牌收藏品「[4冒險者]」
已經湊齊囉！！",,"오오!? 네 덕분에
메달 콜렉션「[4어드벤처즈]」
가 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Abenteuer] komplett!!!"
691,4230,,Wow! Grazie a te ho la collezione di medaglie [4Dark Masters] completa!!!,"啊！？託你的福，
獎牌收藏品「[4黑暗大師]」
已經湊齊囉！！",,"아앗!? 네 덕분에
메달 콜렉션「[4다크 마스터즈]」
가 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Meister der Dunkelheit] komplett!!!"
692,4230,,Wow! Grazie a te ho la collezione di medaglie [4Royal Knights] completa!!!,"太神奇了！！託你的福，
獎牌收藏品「[4皇家騎士]」
已經湊齊囉！！",,"판타스틱!! 네 덕분에
메달 콜렉션「[4로얄 나이츠]」
가 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Royal Knights] komplett!!!"
693,4230,,Oh! Grazie a te ho la collezione di medaglie [4Seven Deadly Digimon] completa!!!,"噫！？託你的福，
獎牌收藏品「[4七大魔王]」
已經湊齊囉！！",,"우히익!? 네 덕분에
메달 콜렉션「[47대 마왕]」
이 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Sieben Dämonenkönige] komplett!!!"
694,4230,,Oh! Grazie a te ho la collezione di medaglie [4Olympos XII] completa!!!,"太耀眼了！！託你的福，
獎牌收藏品「[4奧林匹斯十二神]」
已經湊齊囉！！",,"브릴리언트!! 네 덕분에
메달 콜렉션「[4올림푸스 12신]」
이 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Olympos XII] komplett!!!"
695,4230,,Evviva! Grazie a te ho la collezione di medaglie [4Boss] completata!!!,"喲！！託你的福，
獎牌收藏品「[4番長]」
已經湊齊囉！！",,"감사함다!! 네 덕분에
메달 콜렉션「[4반쵸]」
가 모였어!!","Jippie! Dank dir habe ich die Medaillensammlung
[4Boss] komplett!!!"
696,4230,,"Wow! Grazie a te ho la collezione di medaglie
[4Four Sovereign Digimon] completa!!!","哇！？託你的福，
獎牌收藏品「[4四聖獸]」
已經湊齊囉！！",,"와오!? 네 덕분에
메달 콜렉션「[44성수]」
가 모였어!!","Wow! Dank dir habe ich die Medaillensammlung
[4Four Sovereign Digimon] komplett!!!"
697,4230,,"Ottimo! Grazie a te ho la collezione di medaglie
[4Four Great Dragons] completa!!!","讚！！託你的福，
獎牌收藏品「[4四大龍]」
已經湊齊囉！！",,"그레이트!! 네 덕분에
메달 콜렉션「[44대룡]」
가 모였어!!","Spitze! Dank dir habe ich die Medaillensammlung
[4Vier Heilige Drachen] komplett!!!"
698,4230,,Santo cielo! Grazie a te ho la collezione di medaglie [4Deva] completa!!!,"天啊！？託你的福，
獎牌收藏品「[4十二神將]」
已經湊齊囉！！",,"신이시여!? 네 덕분에
메달 콜렉션「[412신장(데바)]」
가 모였어!!","Lieber Himmel! Dank dir habe ich die
Medaillensammlung [4Deva] komplett!!!"
699,4230,,"Mio Dio! Grazie a te ho la 
collezione di medaglie [4Celestial Digimon] completa!!!","我的老天！？託你的福，
獎牌收藏品「[4三大天使]」
已經湊齊囉！！",,"오 마이 갓!? 네 덕분에
메달 콜렉션「[43대 천사]」
가 모였어!!","Grundgütiger! Dank dir habe ich die
Medaillensammlung [4Himmlische Digimon] komplett!!!"
700,4230,,Ottimo! Grazie a te ho la collezione di medaglie [4Warriors of Justice] completa!!!,"Justice！！託你的福，
獎牌收藏品「[4正義十鬥士]」
已經湊齊囉！！",,"저스티스!! 네 덕분에
메달 콜렉션「[4정의의 10투사]」
가 모였어!!","Recht so! Dank dir habe ich die Medaillensammlung
[4Krieger der Gerechtigkeit] komplett!!!"
701,4230,,Muahaha! Grazie a te ho la collezione di medaglie [4Five Evil Warriors] completa!!!,"哈哈哈哈哈！！託你的福，
獎牌收藏品「[4邪惡五鬥士]」
已經湊齊囉！",,"후하하하하!! 네 덕분에
메달 콜렉션「[4악의 5투사]」
가 모였어!!","Muahaha! Dank dir habe ich die Medaillensammlung
[4Fünf Krieger des Bösen] komplett!!!"
702,4230,,Graarrr! Grazie a te ho la collezione di medaglie [4Ancient Warriors] completa!!!,"唉呀！？託你的福，
獎牌收藏品「[4古代十鬥士]」
已經湊齊囉！！",,"으햐악!? 네 덕분에
메달 콜렉션「[4고대의 10투사]」
가 모였어!!","Graarrr! Dank dir habe ich die Medaillensammlung
[4Legendäre Digikrieger] komplett!!!"
800,4230,,"Oh, ora ho più di 50 medaglie!
Ecco, un segno del mio apprezzamento!
... Non dire niente a mia moglie, va bene?","喔！
獎牌的總收藏數已經突破50個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"오!
메달의 총 콜렉션 수가 50개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Oh, jetzt habe ich mehr als 50 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
801,4230,,"Oh, adesso ho più di 100 medaglie!
Tieni, un segno del mio apprezzamento!
... Non dire niente a mia moglie, capito?","喔！
獎牌的總收藏數已經突破100個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"오!
메달의 총 콜렉션 수가 100개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Oh, jetzt habe ich mehr als 100 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
802,4230,,"Oh, ora ho più di 150 medaglie!
Ecco, un segno del mio riconoscimento!
... Non dire niente a mia moglie, ok?","喔！
獎牌的總收藏數已經突破150個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"오!
메달의 총 콜렉션 수가 150개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Oh, jetzt habe ich mehr als 150 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
803,4230,,"Ohhh, ora ho più di 200 medaglie!
Ecco, un segno della mia gratitudine!
... Non dire niente a mia moglie, ok?","喔喔！？
獎牌的總收藏數已經突破200個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"오오!?
메달의 총 콜렉션 수가 200개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ohhh, jetzt habe ich mehr als 200 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
804,4230,,"Ohhh, ora ho più di 250 medaglie!
Ecco, un segno del mio apprezzamento!
... Non dire niente a mia moglie, vero?","喔喔！？
獎牌的總收藏數已經突破250個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"오오!?
메달의 총 콜렉션 수가 250개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ohhh, jetzt habe ich mehr als 250 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
805,4230,,"Wow! Ora ho più di 300 medaglie!
Tieni, un segno della mia gratitudine!
... Non dire niente a mia moglie, ok?","太棒了！
獎牌的總收藏數已經突破300個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"굉장해!
메달의 총 콜렉션 수가 300개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Wow! Jetzt habe ich mehr als 300 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
806,4230,,"Incredibile! Adesso ho più di 350 medaglie!
Ecco, un segno del mio riconoscimento!
... Non dire niente a mia moglie, ok?","太、太厲害啦！？
獎牌的總收藏數已經突破350個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"괴, 굉장한데!?
메달의 총 콜렉션 수가 350개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Unfassbar! Jetzt habe ich mehr als 350 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
807,4230,,"Più di 400 medaglie! Sono commosso...
Ecco, un segno della mia riconoscenza!
... Non dire niente a mia moglie, ok?","大叔我現在超感動的……！！
獎牌的總收藏數已經突破400個囉！！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"아저씨 지금, 맹렬히 감동하고 있어…!!
메달의 총 콜렉션 수가 400개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Mehr als 400 Medaillen! Ich bin gerührt ...
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
808,4230,,"Più di 450 medaglie! Incredibile!
Ecco, un segno del mio riconoscimento!
... Non dire niente a mia moglie, va bene?","這、這真的是太神了！！
獎牌的總收藏數已經突破450個囉！！
請收下這個謝禮。　……不可以跟我老婆說哦。",,"이, 이거 엄청난 일이 됐는걸…!!
메달의 총 콜렉션 수가 450개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Mehr als 450 Medaillen! Kaum zu glauben!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
809,4230,,"Sto sognando? Pizzicami!
La mia collezione è finalmente completa! 500!
Prendi questo – devo dirlo a mia moglie!","這、這真是太不得了啦……！！
我的獎牌收藏數超過500啦！！
請收下這個謝禮。　……要跟我老婆保密喔。",,"이, 이거 엄청난 일이 일어났다…!!
메달 총 컬렉션 수가 500개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Träume ich? Kneif mich mal!
Meine Sammlung ist endlich komplett! 500!
Nimm das hier – ich muss das meiner Frau erzählen!"
810,4230,,"Eppure! Per conservarle, per ammirarle con orgoglio, per coccolarle...
Ho ancora bisogno di altre medaglie! Quindi continuo a comprarle!","但是！保存用、欣賞用、炫燿用、蹭臉用……
對大叔我來說，獎牌是越多越好！
我接下來也會瞞著我老婆拼命收購的！",,"하지만! 보존용, 감상용, 자랑용, 포교용…
아저씨에게는 메달이 얼마든지 더 필요해!
앞으로도 아내에게 비밀로 팍팍 매입할 테니까!","Und dennoch! Zur Aufbewahrung, zum stolzen
Bewundern, zum Kuscheln ... Ich brauch immer noch
mehr Medaillen! Also kaufe ich sie weiterhin!"
820,4230,,"Che sia per conservarle, per ammirarle con orgoglio, per coccolarle...
Ho sempre bisogno di altre medaglie! Quindi continuo a comprarle!","保存用、欣賞用、炫燿用、蹭臉用……
對大叔我來說，獎牌是越多越好！
我接下來也會瞞著我老婆拼命收購的！",,"보존용, 감상용, 자랑용, 포교용…
아저씨에게는 메달이 얼마든지 더 필요해!
앞으로도 아내에게 비밀로 팍팍 매입할 테니까!","Ob zur Aufbewahrung, zum stolzen
Bewundern, zum Kuscheln ... Ich brauch immer noch
mehr Medaillen! Also kaufe ich sie weiterhin!"
900,4230,,"Ottimo lavoro, hai trovato tutte le medaglie!
Ecco un segno del mio riconoscimento.","收集獎牌真是辛苦你了！
這是我的一點小小心意，呵呵呵。",,"메달 수집 수고 많았어!
이건 내 마음의 답례야, 우후후","Gut gemacht, dass du die ganzen Medaillen
gefunden hast! Hier ist ein Zeichen meiner
Anerkennung."
910,4230,,"Sono sempre qui... Quindi puoi portarmi medaglie in qualsiasi momento!","大叔我會一直待在這裡的，
你就儘管拿獎牌來給我吧！",,"아저씨, 언제든지 여기에 있을 테니까…
마구마구 메달을 가져와 줘!","Ich bin immer hier ...
Also kannst du mir jederzeit Medaillen bringen!"
1000,2000,,"Voglio vendere medaglie.
Mostrami la tua collezione.
Oh, niente.","出售持有的獎牌。
請他讓我看收藏品。
不，沒事。",,"소지 메달을 매각한다
콜렉션을 본다
아뇨… 아무것도 아니예요","Ich möchte Medaillen verkaufen.
Zeig mir deine Sammlung.
Och, nichts."
5000,4230,,Grazie! Grazie a te la mia collezione di medaglie cresce costantemente.,"謝謝你！
多虧了你，我的獎牌收藏也大幅充實了喔。",,"고맙네!
자네 덕택에 내 메달 컬렉션도
꽤 충실해졌다네","Danke! Dank dir wächst meine Medaillensammlung
stetig."
5001,4230,,Ma probabilmente non puoi più collezionarne.,"但是，你能收集來的，
看來只有這些了呢。",,"허나 자네가 모을 수 있는 건
아무래도 여기까지인 모양이군",Aber du kannst wohl keine mehr sammeln.
5002,4230,,"Ci sono ancora un sacco di medaglie nel mondo,
ma dovrò chiedere a qualcun altro
di procurarmele.","這個世界還有為數眾多的獎牌在，
剩下的獎牌收藏，只能拜託其他人才行了。",,"이 세상엔 아직 많은 메달이 있는 것 같은데
나머지 메달 컬렉션은
다른 누군가에게 부탁해야 하려나","Es gibt noch jede Menge Medaillen auf der Welt,
aber ich werde jemand anderen bitten müssen, sie
mir zu besorgen."
5003,4230,,"Ti sono comunque molto grato.
Grazie per aver raccolto così tante medaglie per me!","不管怎麼說，我都很感謝你喔。
能收集到這麼多獎牌，真的是太感謝你了！",,"아무튼 자네한테는 감사한다네.
메달을 이만큼이나 모아줘서 정말 고맙네!","Ich bin dir jedenfalls sehr dankbar. Danke, dass
du so viele Medaillen für mich gesammelt hast!"
5004,4230,,"Sto sognando?! Finalmente ho tutte le 700 medaglie!
Ti prego, prendi questa ricompensa.
Devo assolutamente dirlo a mia moglie!","我我、我、我是在做夢還是見鬼了嗎！？！
我終於把700個獎牌都收集完整啦！！！
請收下這個謝禮……也得向老婆報告一聲啊！！！",,"이이, 이, 이게 꿈인가 생시인가?!?
드디어 메달 700개 컴플리트를 달성했다!!!
답례로 이걸 받아 줘 …마누라에게도 보고해야겠군!!!","Träume ich?! Endlich habe ich alle 700 Medaillen!
Bitte nimm diese Belohnung.
Das muss ich unbedingt meiner Frau sagen!"
5005,4230,,"Non ci posso credere! Ho 550 medaglie nella mia collezione.
Prendi questa ricompensa. Ma non dire niente a mia moglie.","這、這真是太不得了啦……！！
我的獎牌收藏數超過550啦！！
請收下這個謝禮。　……要跟我老婆保密喔。",,"이, 이거 엄청난 일이로군…!!
메달 총 컬렉션 수가 550개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ich kann es nicht glauben! Ich habe 550 Medaillen
in meiner Sammlung. Nimm diese Belohnung.
Aber sag meiner Frau nichts."
5006,4230,,"Non posso crederci! Ho 600 medaglie nella mia collezione.
Prendi questa ricompensa.
Ma non dire niente a mia moglie.","這、這真是太不得了啦……！！
我的獎牌收藏數超過600啦！！
請收下這個謝禮。　……要跟我老婆保密喔。",,"이, 이거 엄청난 일이로군…!!
메달 총 컬렉션 수가 600개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ich kann es nicht glauben! Ich habe 600 Medaillen
in meiner Sammlung. Nimm diese Belohnung.
Aber sag meiner Frau nichts."
5007,4230,,"Non posso crederci! Ho 650 medaglie nella mia collezione.
Prendi questa ricompensa.
Ma non dire niente a mia moglie.","這、這真是太不得了啦……！！
我的獎牌收藏數超過650啦！！
請收下這個謝禮。　……要跟我老婆保密喔。",,"이, 이거 엄청난 일이로군…!!
메달 총 컬렉션 수가 650개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ich kann es nicht glauben! Ich habe 650 Medaillen
in meiner Sammlung. Nimm diese Belohnung.
Aber sag meiner Frau nichts."
