ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4421,,"Questo è il 12° piano, il Reparto Generale.",這裡是12F，普通病房。,,"여기는 12F, 일반 병동입니다","Das ist der 12. Stock, die Normalstation."
1,4422,,"Devo controllare tutti i reparti fino a quando non
sarà ora dei colloqui con i pazienti. Caspita, quante
cose da fare...","在問診期間前得去巡視病房，
要做的事跟山一樣多……",,"문진 시간까지 병동을 돌아봐야 하는데
할 일이 산더미야…","Ich muss alle Stationen abklappern, bis es Zeit
für die Patientengespräche ist ... Uff, so viel
Arbeit ..."
2,4423,,"Sono venuto a trovare il nonno! Per fortuna, sembra meglio di
quanto pensassi!","我來看爺爺了喔。
比我想像得還要有活力，這樣我就放心了。",,"할아버지 병문안 왔어.
생각보다 건강하셔서 안심했어","Ich besuche Opa! Zum Glück geht es ihm besser, als
ich dachte!"
3,4424,,"Hai sentito parlare dei fantasmi che infestano
questo posto? Li troverò tutti!","這家醫院有會出現妖怪的傳聞！
就讓我來查清真相！",,"이 병원, 귀신이 나온다는 소문이 있어!
내가 찾아볼 거야~!","Hast du schon von den Gespenstern hier gehört?
Ich werde sie finden!"
4,4425,,"Ero nella sala d'attesa con questa signora prima, e anche
lei stava piuttosto male. Ci siamo promesse con il mignolo che
avremmo entrambe cercato di guarire in fretta.","之前在檢查的候診室，和一個年紀比我大的
姐姐一起。姐姐說她也得了很嚴重的病，
我們約定好，要一起加油治好我們的病。",,"요전에, 검사 대합실에서 연상의 언니하고 같이 있었어.
언니도 큰 병이라 그랬어.
같이 힘내서 낫기로 약속했어","Ich war im Wartezimmer neben einer Frau, die auch
ziemlich krank war. Wir haben uns hoch und heilig
geschworen, schnell gesund zu werden!"
5,4426,,"Lo sapevate? Beh, sono sicuro che lo saprete entrambi.","這樣啊……那個姐姐跟你，
一定都會立刻好起來的。",,"그래…그 언니도 너도, 분명 금방 나을 거란다","Aha? Na, dann klappt das bestimmt auch."
100,4421,,"Questo è il 12° piano, il Reparto Generale.",這裡是12F，普通病房。,,"여기는 12F, 일반 병동입니다","Das ist der 12. Stock, die Normalstation."
101,4422,,"Potremmo dover iniziare a mettere letti nei corridoi se
le stanze del reparto si riempiono. Dovrò dare una
controllata al nostro arredamento.","病房滿了的時候，好像會在走廊上
擺放床位的樣子……
要先準備好必需品才行……",,"병동이 꽉 차면, 복도에 침대를 만들게 될 것 같네…
비품 확인해둬야지…","Wenn die Zimmer auf der Station voll sind, müssen
wir eventuell Betten in den Gang stellen. Ich
sollte sie eben inspizieren."
102,4423,,"Non so se sia un bene o un male che il
nonno sia in ospedale, ma almeno è al sicuro dentro.","不知道幸還是不幸，爺爺在這時候
住院真是太好了……
現在外面非常危險。",,"불행인지 다행인지, 할아버지가 입원해서 다행이야…
밖은 위험하니까","Weiß nicht, ob das gut ist, dass Opa im
Krankenhaus ist, aber wenigstens ist er da sicher."
103,4424,,"L'ho vista! Ho visto un fantasma qui
dentro, una ragazza! No, davvero!","我在這家醫院看到妖怪了！
是女孩子！　是真的啦！",,"나, 이 병원에서 귀신 봤어!
여자애였어! 정말이야!","Ich hab einen gesehen! Hier war ein Geist, von
einem Mädchen! Nein, echt jetzt!"
104,4425,,"Papà, ci sono davvero dei fantasmi in
città? Sono gli spiriti dei morti?","爸爸，街上出現妖怪的事是真的嗎？
人死了就會變成妖怪對嗎？
大家都是死人變成的妖怪嗎？",,"아빠, 거리에서 귀신이 나온다는 거 진짜야?
사람이 죽으면 귀신이 되는 거지?
모두 죽은 사람의 귀신인 거야?","Papa, gibt es in der Stadt wirklich Gespenster?
Sind das die Geister der Toten?"
105,4426,,"Hmm. Beh, il tuo vecchio papà non è un esperto di
fantasmi, ma ho la sensazione che questi siano diversi.","該怎麼說呢……雖然爸爸也不清楚詳細情況，
但總覺得那些妖怪，和你說的不太一樣……",,"글쎄…아빠도 자세한 거는 모르지만
그 귀신은 그런 귀신과는 다르지 않을까…","Hm. Na, dein Papa ist kein Gespensterexperte,
aber ich glaube, die hier sind was anderes."
