ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1009,,Hagurumon,齒輪獸,,톱니몬,Hagurumon
1010,,Meramon,火焰獸,,메라몬,Meramon
1012,,Garurumon,加魯魯獸,,가루몬,Garurumon
1013,,Bakemon,猛鬼獸,,고스몬,Bakemon
1014,,Starmon,星星獸,,스타몬,Starmon
1015,,Aquilamon,亞古拉獸,,아큐라몬,Aquilamon
1021,,Whamon,巨鯨獸,,고래몬,Whamon
1024,,MarineAngemon,海天使獸,,마린엔젤몬,MarineAngemon
1027,,WarGreymon,戰鬥暴龍獸,,워그레이몬,WarGreymon
1034,,Lilithmon,莉莉絲獸,,리리스몬,Lilithmon
1035,,Beelzemon,墮天地獄獸,,베르제브몬,Beelzemon
1036,,Barbamon,巴爾巴獸,,발바몬,Barbamon
1037,,Leviamon,利維坦獸,,리바이어몬,Leviamon
1038,,Creepymon,究極魔獸,,마왕몬,Creepymon
1039,,Lucemon FM,光明獸FM,,루체몬FM,Lucemon FM
1040,,Belphemon RM,貝爾菲獸RM,,벨페몬RM,Belphemon RM
1043,,BlackGatomon,黑迪路獸,,블랙가트몬,BlackGatomon
1049,,BanchoLeomon,番長獅子獸,,반쵸레오몬,BanchoLeomon
1050,,Agumon,亞古獸,,아구몬,Agumon
1053,,Kudamon,管狐獸,,쿠다몬,Kudamon
1054,,GeoGreymon,大地暴龍獸,,지오그레이몬,GeoGreymon
1055,,Gaomon,迦奧獸,,가오몬,Gaomon
1056,,Lalamon,拉拉獸,,라라몬,Lalamon
1057,,Rosemon,薔薇獸,,로제몬,Rosemon
1058,,Sunflowmon,向日葵獸,,해바라기몬,Sunflowmon
1061,,Monzaemon,熊仔獸,,퍼펫몬,Monzaemon
1068,,GaoGamon,迦奧迦獸,,가오가몬,GaoGamon
1069,,PlatinumNumemon,白金鼻涕獸,,플래티넘워매몬,PlatinumNumemon
1070,,Numemon,鼻涕獸,,워매몬,Numemon
1071,,RizeGreymon,進昇暴龍獸,,라이즈그레이몬,RizeGreymon
1072,,Leomon,獅子獸,,레오몬,Leomon
1073,,Lilamon,丁香獸,,라일라몬,Lilamon
1074,,MachGaogamon,音速迦奧迦獸,,마하가오가몬,MachGaoGamon
1077,,Reppamon,鐮鼬獸,,레파몬,Reppamon
1078,,Growlmon,古拉獸,,그라우몬,Growlmon
1079,,SuperStarmon,超級流星獸,,슈퍼스타몬,SuperStarmon
1081,,Impmon,小妖獸,,임프몬,Impmon
1084,,Chirinmon,麒麟獸,,치린몬,Chirinmon
1085,,Myotismon,吸血魔獸,,묘티스몬,Myotismon
1086,,Kentaurosmon,八腳馬獸,,슬레이프몬,Kentaurosmon
1087,,Angemon,天使獸,,엔젤몬,Angemon
1088,,Omnimon,奧米加獸,,오메가몬,Omnimon
1090,,Guilmon,基爾獸,,길몬,Guilmon
1091,,Stingmon,飛蟲獸,,스팅몬,Stingmon
1092,,Gatomon,迪路獸,,가트몬,Gatomon
1093,,Devimon,惡魔獸,,데블몬,Devimon
1094,,ShineGreymon,閃光暴龍獸,,샤인그레이몬,ShineGreymon
1095,,MirageGaogamon,幻影迦奧迦獸,,미라쥬가오가몬,MirageGaoGamon
1096,,Patamon,巴達獸,,파닥몬,Patamon
1097,,DemiDevimon,小惡魔獸,,피코데블몬,DemiDevimon
1101,,MagnaAngemon,神聖天使獸,,홀리엔젤몬,MagnaAngemon
1107,,LadyDevimon,女惡魔獸,,레이디데블몬,LadyDevimon
1111,,Goblimon,野人獸,,고부리몬,Goblimon
1112,,Dorumon,多路獸,,돌몬,Dorumon
1113,,GoldNumemon,黃金鼻涕獸,,골드워매몬,GoldNumemon
1114,,Veemon,V仔獸,,브이몬,Veemon
1126,,Gallantmon,紅蓮騎士獸,,듀크몬,Gallantmon
1132,,MegaSeadramon,超海龍獸,,메가시드라몬,MegaSeadramon
1134,,WarGrowlmon,大古拉獸,,메가로그라우몬,WarGrowlmon
1135,,MetalGarurumon,鋼鐵加魯魯獸,,메탈가루몬,MetalGarurumon
1140,,WereGarurumon,獸人加魯魯,,워가루몬,WereGarurumon
1143,,Agumon (Nero),亞古獸(黑),,아구몬(흑),Agumon (Schwarz)
1148,,Angewomon,天女獸,,엔젤우몬,Angewomon
1150,,ChaosGallantmon,混沌紅蓮騎士獸,,카오스듀크몬,ChaosGallantmon
1151,,Gabumon,加布獸,,파피몬,Gabumon
1175,,BlackWarGreymon,黑暗戰鬥暴龍獸,,블랙워그레이몬,BlackWarGreymon
1177,,BlueMeramon,藍色火焰獸,,블루메라몬,BlueMeramon
1182,,MetalGarurumon (Nero),鋼鐵加魯魯獸(黑),,메탈가루몬(흑),MetalGarurumon (S.)
1215,,Examon,艾克薩獸,,엑자몬,Examon
1301,,Megadramon,超蛇龍獸,,메가드라몬,Megadramon
1302,,MetalGreymon,機械暴龍獸,,메탈그레이몬,MetalGreymon
1303,,Tentomon,甲蟲獸,,텐토몬,Tentomon
1304,,Kabuterimon,比多獸,,캅테리몬,Kabuterimon
1305,,MegaKabuterimon,超比多獸,,아트라캅테리몬,MegaKabuterimon
1306,,HerculesKabuterimon,力神比多獸,,헤라클레스캅테리몬,HerculesKabuterimon
1307,,Biyomon,比丘獸,,피요몬,Biyomon
1308,,Birdramon,巴多拉獸,,버드라몬,Birdramon
1309,,Garudamon,伽樓達獸,,가루다몬,Garudamon
1310,,Hououmon,鳳凰獸,,페닉스몬,Phönixmon
1311,,Etemon,悟空獸,,에테몬,Etemon
1312,,MetalEtemon,鋼鐵悟空獸,,메탈에테몬,MetalEtemon
1313,,Sukamon,大便獸,,스카몬,Sukamon
1314,,Vegiemon,鼻屎獸,,베지몬,Veggiemon
1315,,Seraphimon,究極天使獸,,세라피몬,Seraphimon
1317,,Botamon,黑球獸,,깜몬,Botamon
1320,,Poyomon,浮游獸,,포요몬,Poyomon
1321,,Wanyamon,汪喵獸,,와냐몬,Wanyamon
1322,,Koromon,滾球獸,,코로몬,Koromon
1325,,Tokomon,迪哥獸,,토코몬,Tokomon
1326,,Greymon,暴龍獸,,그레이몬,Greymon
1327,,MetalGreymon (Blu),機械暴龍獸(藍),,메탈그레이몬(청),MetalGreymon (Blau)
1341,,Guardromon,守衛獸,,가드로몬,Guardromon
1342,,Andromon,安杜路獸,,안드로몬,Andromon
1343,,Gomamon,哥瑪獸,,쉬라몬,Gomamon
1344,,Ikkakumon,海獅獸,,원뿔몬,Ikkakumon
1345,,Zudomon,祖頓獸,,쥬드몬,Zudomon
1346,,Vikemon,維京毛人獸,,바이킹몬,Vikemon
1347,,Seadramon,海龍獸,,시드라몬,Seadramon
1348,,Palmon,巴魯獸,,팔몬,Palmon
1349,,Togemon,仙人掌獸,,니드몬,Togemon
1350,,Examon,艾克薩獸,,엑자몬,Examon
1359,,Lillymon,花仙獸,,릴리몬,Lillymon
1360,,Re Drasil_7D6,世界樹＿7D6,,위그드라실_7D6,König Drasil_7D6
1361,,Salamon,小狗獸,,플롯트몬,Salamon
1363,,Tyrannomon,巨龍獸,,티라노몬,Tyrannomon
1364,,MetalTyrannomon,鋼鐵巨龍獸,,메탈티라노몬,MetalTyrannomon
1365,,ExVeemon,V仔獸EX,,엑스브이몬,ExVeemon
1367,,Kuwagamon,古加獸,,쿠가몬,Kuwagamon
1370,,Frigimon,雪人獸,,프리지몬,Frigimon
1374,,Digitamamon,蛋蛋獸,,디지타몬,Digitamamon
1375,,Nanimon,亞伯獸,,모야몬,Nanimon
1376,,ShogunGekomon,怪蛙皇,,왕개굴몬,ShogunGekomon
1377,,Wizardmon,巫師獸,,위자몬,Wizardmon
1379,,Cherrymon,祖利獸,,쥬레이몬,Cherrymon
1382,,Magnamon,金甲龍獸,,매그너몬,Magnamon
1383,,RustTyranomon,終極巨龍獸,,러스트티라노몬,RustTyrannomon
1385,,Machinedramon,機械邪龍獸,,파워드라몬,Machinedramon
1387,,Pabumon,泡沫獸,,뽀글몬,Pabumon
1388,,Motimon,年糕獸,,모티몬,Motimon
1389,,Betamon,比特獸,,베타몬,Betamon
1390,,Lucemon,光明獸,,루체몬,Lucemon
1391,,Renamon,妖狐獸,,레나몬,Renamon
1392,,Wormmon,蟲蟲獸,,추추몬,Wormmon
1393,,Woodmon,朽木獸,,우드몬,Woodmon
1394,,Ogremon,奧加獸,,우가몬,Ogremon
1395,,Kyubimon,九尾狐獸,,구미호몬,Kyubimon
1396,,Dorugamon,多路加獸,,돌가몬,Dorugamon
1397,,Veedramon,V龍獸,,브이드라몬,Veedramon
1398,,Clockmon,時鐘獸,,타임몬,Clockmon
1399,,Gekomon,怪蛙獸,,개굴몬,Gekomon
1400,,AeroVeedramon,飛行V龍獸,,에어로브이드라몬,AeroVeedramon
1401,,Okuwamon,大古加獸,,왕쿠가몬,Okuwamon
1402,,Gigadramon,千兆龍獸,,기가드라몬,Gigadramon
1403,,GrapLeomon,格鬥獅子獸,,아이언레오몬,GrapLeomon
1404,,SkullGreymon,喪屍暴龍獸,,스컬그레이몬,SkullGreymon
1405,,Taomon,祭師獸,,도사몬,Taomon
1406,,SkullMeramon,死神火焰獸,,데드메라몬,SkullMeramon
1407,,DoruGreymon,多路龍獸,,돌그레몬,DoruGreymon
1408,,Paildramon,機甲龍獸,,파일드라몬,Paildramon
1409,,Panjyamon,邦加獸,,화이트레오몬,Panjyamon
1410,,Piximon,妖精獸,,피콜몬,Piximon
1411,,Vademon,入侵者獸,,베이더몬,Vademon
1412,,Mamemon,豆豆獸,,콩알몬,Mamemon
1413,,MetalMamemon,鋼鐵豆豆獸,,메탈콩알몬,MetalMamemon
1416,,Alphamon,阿爾法獸,,알파몬,Alphamon
1417,,UlforceVeedramon,究極V龍獸,,알포스브이드라몬,UlforceVeedramon
1419,,Imperialdramon FM,帝皇龍甲獸FM,,황제드라몬FM,Imperialdramon KM
1420,,Imperialdramon PM,帝皇龍甲獸PM,,황제드라몬PM,Imperialdramon PM
1421,,Ophanimon,神聖天女獸,,오파니몬,Ophanimon
1423,,GranKuwagamon,究極古加獸,,그랜쿠가몬,GranKuwagamon
1424,,SaberLeomon,黃金劍獅獸,,샤벨레오몬,SaberLeomon
1425,,Sakuyamon,沙古牙獸,,샤크라몬,Sakuyamon
1426,,HiAndromon,高級安杜路獸,,하이안드로몬,HiAndromon
1427,,Piedmon,小丑皇,,피에몬,Piedmon
1428,,Puppetmon,木偶獸,,피노키몬,Puppetmon
1429,,PrinceMamemon,王子豆豆獸,,프린스콩알몬,PrinceMamemon
1431,,Boltmon,科學怪人獸,,나사몬,Boltmon
1434,,MetalSeadramon,鋼鐵海龍獸,,메탈시드라몬,MetalSeadramon
1435,,Lucemon SM,光明獸SM,,루체몬SM,Lucemon SM
1437,,Punimon,普尼獸,,푸니몬,Punimon
1438,,Tsunomon,獨角獸,,뿔몬,Tsunomon
1439,,Belphemon SM,貝爾菲獸SM,,벨페몬SM,Belphemon SM
1440,,Titamon,泰坦獸,,타이타몬,Titamon
1450,,Plesiomon,蛇頸龍獸,,플레시오몬,Plesiomon
1451,,Ebemon,外星獸,,이바몬,Ebemon
1452,,Cyclonemon,獨眼龍獸,,사이크로몬,Cyclonemon
1453,,Magnadramon,聖龍獸,,홀리드라몬,Magnadramon
1454,,Waspmon,雀蜂獸,,말벌몬,Waspmon
1455,,ShellNumemon,貝殼鼻涕獸,,달팽이워매몬,ShellNumemon
1510,,Yokomon,比高獸,,어니몬,Yokomon
1512,,Tanemon,種子獸,,시드몬,Tanemon
1514,,Bukamon,布加獸,,둥실몬,Bukamon
1515,,Nyaromon,貓貓獸,,야옹몬,Nyaromon
1564,,Elecmon,艾力獸,,에렉몬,Elecmon
1567,,Pagumon,柏古獸,,퍼그몬,Pagumon
1569,,Gazimon,加支獸,,가지몬,Gazimon
1576,,Datamon,分子獸,,데이터몬,Datamon
1582,,Otamamon,蝌蚪獸,,올챙몬,Otamamon
1595,,Gotsumon,礦石獸,,울퉁몬,Gotsumon
1596,,Zuccaemon,南瓜獸,,펌프몬,Pumpkinmon
1600,,VenomMyotismon,究極吸血魔獸,,베놈묘티스몬,VenomMyotismon
1621,,Tankmon,坦克獸,,탱크몬,Tankmon
1626,,Keramon,哈哈獸,,케라몬,Keramon
1627,,Infermon,地獄使者獸,,인펠몬,Infermon
1629,,Kuramon,水母獸,,쿠라몬,Kuramon
1630,,Kurisarimon,魔蛹獸,,크리사리몬,Kurisarimon
1631,,Tsumemon,指爪獸,,츠메몬,Tsumemon
1632,,Diaboromon,超惡魔獸,,디아블로몬,Diaboromon
1687,,Hackmon,哈克獸,,헉몬,Hackmon
1688,,Gankoomon,頑固獸,,간쿠몬,Gankoomon
1701,,Terriermon,大耳獸,,테리어몬,Terriermon
1702,,Peckmon,銳啄獸,,펙크몬,Peckmon
1703,,Crusadermon,劍皇獸,,로드나이트몬,Crusadermon
1704,,GroundLocomon,超級火車獸,,그랜드로코몬,GrandLocomon
1705,,Falcomon,夜鷹獸,,팔코몬,Falcomon
1706,,Hawkmon,麻鷹獸,,호크몬,Hawkmon
1707,,Armadillomon,穿山獸,,아르마몬,Armadillomon
1708,,ToyAgumon,積木亞古獸,,토이아구몬,ToyAgumon
1709,,Syakomon,蝦蛄獸,,샤코몬,Syakomon
1710,,Gargomon,加魯哥獸,,가르고몬,Gargomon
1711,,Ankylomon,戰甲獸,,황금아르마몬,Ankylomon
1712,,Greymon (Blu),暴龍獸(藍),,그레이몬(청),Greymon (Blau)
1713,,Gabumon (Nero),加布獸(黑),,파피몬(흑),Gabumon (Schwarz)
1714,,Garurumon (Nero),黑加魯魯獸,,가루몬(흑),Garurumon (Schwarz)
1715,,WereGarurumon (Nero),黑獸人加魯魯,,워가루몬(흑),WereGarurumon (S.)
1716,,Flamedramon,烈焰獸,,화염드라몬,Flamedramon
1718,,Knightmon,騎士獸,,나이트몬,Knightmon
1719,,Cyberdramon,電子龍獸,,사이버드라몬,Cyberdramon
1720,,Silphymon,人面戰鷹獸,,실피드몬,Silphymon
1721,,Crowmon,八咫鴉獸,,크라운몬,Crowmon
1722,,Rapidmon,拉比獸,,래피드몬,Rapidmon
1723,,Shakkoumon,古神獸,,토우몬,Shakkoumon
