ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Detective Cibernetico Maschio,網路偵探男主角,,사이버 슬루스 남주인공,Cyber-Detektiv (M)
2,,Cyber Sleuth Femminile,網路偵探女主角,,사이버 슬루스 여주인공,Cyber-Detektiv (W)
3,,Cyber Sleuth M (Uniforme),網路偵探男主角（制服）,,사이버 슬루스 남주인공(교복),Herrenuniform (CS)
4,,Cyber Sleuth F (Uniforme),網路偵探女主角（制服）,,사이버 슬루스 여주인공(교복),Damenuniform (CS)
5,,T-shirt C. Sleuth M,網路偵探男主角T Shirt,,사이버 슬루스 남주인공 티셔츠,Herren-T-Shirt (CS)
6,,T-shirt da Cyber Detective F,網路偵探女主角T Shirt,,사이버 슬루스 여주인공 티셔츠,Damen-T-Shirt (CS)
7,,Memoria H. Protagonista,駭客追憶主角,,해커스 메모리 주인공,Hauptfigur (HM)
8,,Memoria H (Uniforme),駭客追憶主角（制服）,,해커스 메모리 주인공(교복),Uniform (HM)
9,,Maglietta P. Memoria H.,駭客追憶主角T Shirt,,해커스 메모리 주인공 티셔츠,Hauptf.-T-Shirt (HM)
10,,Yuugo,YUGO,,유고,Yuugo
11,,Nokia,諾奇雅,,노키아,Nokia
12,,Yuuko,悠子,,유코,Yuuko
13,,Arata (Cappuccio Alzato),真田新(戴帽),,아라타(후드 씀),Arata (Kapuze auf)
14,,Arata (Cappuccio Abbassato),真田新(脫帽),,아라타(후드 벗음),Arata (Kapuze runt.)
15,,Kyoko,杏子,,쿄코,Kyoko
16,,Matayoshi,又吉,,마타요시,Matayoshi
17,,Kishibe,岸部,,키시베,Kishibe
18,,Suedou,末堂,,스에도,Suedou
19,,Jimiken,Jimmy Ken,,지미켄,Jimiken
20,,Fei,菲,,페이,Fei
21,,Mirei,米蕾,,미레이,Mirei
22,,Rina,莉娜,,리나,Rina
23,,Data,伊達,,다테,Date
24,,Ryota,良太,,료타,Ryota
25,,Sakura,櫻,,사쿠라,Sakura
26,,Sayo,小夜,,사요,Sayo
27,,Reiko Tawa,田和玲子,,타와 레이코,Reiko Tawa
28,,Yuugo,勇吾,,유고,Yuugo
29,,Erika,艾莉卡,,에리카,Erika
30,,Ryuji,龍司,,류지,Ryuji
31,,Chitose,千歲,,치토세,Chitose
32,,Yu,圭介,,유우,Yu
