ID,Japanese,English,Chinese,EnglishCensored,Korean,German
3,,SÌ,YES,,YES,JA
4,,NO,NO,,NO,NEIN
1000,,NESSUN DATO,NO DATA,,NO DATA,KEINE DATEN
1001,,Tempo di Gioco,遊戲時間,,플레이 시간,Spielzeit:　
1002,,ore,小時,,시간, Std. 
1003,,min,分,,분, Min.
1200,,Gruppo,隊伍,,파티,Gruppe
1201,,Isola Farm 1,農場島１,,팜 섬 1,Farminsel 1
1202,,Isola Fattoria 2,農場島２,,팜 섬 2,Farminsel 2
1203,,Isola Fattoria 3,農場島３,,팜 섬 3,Farminsel 3
1204,,Isola Fattoria 4,農場島４,,팜 섬 4,Farminsel 4
1205,,Isola Fattoria 5,農場島５,,팜 섬 5,Farminsel 5
1206,,DigiBanca,數碼銀行,,디지털 뱅크,Digibank
1207,,Non puoi andare qui.,無法移動到這裡,,여기로는 이동할 수 없습니다.,Nicht zugänglich.
1208,,Spostati a [d0],移動到[d0],,[d0]에 이동,Nach: [d0]
1209,,Trasferito a [d0],已移動到[d0],,[d0]에 이동했습니다.,Jetzt: [d0]
1210,,Tasso di scansione,掃描率,,스캔율,Scanwert
1211,,%,%,,%, %
1212,,Non ci sono Digimon.,沒有數碼寶貝,,디지몬이 없습니다.,Kein Digimon vorhanden.
1213,,Vuoto,Empty,,Empty,Leer
1214,,???,？？？,,???,???
1215,,Requisiti,必要條件,,필요조건,Anforderungen
1216,,Livello,等級,,레벨,Level 
1217,,o superiore,以上,,이상, oder höher
1218,,HP MAX è,最大HP,,최대 HP가 ,Max. TP =
1219,,SP MAX è,最大SP,,최대 SP가 ,Max. SP =
1220,,ATK è,ATK,,공격력이 ,ANG = 
1221,,DEF è,DEF,,방어력이 ,VER = 
1222,,INT è,INT,,지력이 ,INT = 
1223,,SPD è,SPD,,민첩이 ,GES = 
1224,,ABI è,才能,,재능이 ,FÄH = 
1225,,richiesto,必要,, 필요, erforderlich
1226,,CAM è,友情,,우정이 ,KAM = 
1227,,% richiesto,%必要,,% 필요, % erforderlich
1228,,tenuto,擁有,,을(를) 가지고 있다., in Besitz
1229,,CAM 100%,友情100%的,,우정 100%의 ,KAM 100 % 
1230,,è tuo amico.,在同伴中,,가(이) 동료에 있다, ist Freund.
1231,,Hai già scoperto questo Digimon.,曾見過這種數碼寶貝,,이 디지몬을 발견한 적이 있다.,Du hast dieses Digimon bereits entdeckt.
1232,,DNA Digievoluzione Possibile!,合體進化完成！,,조그레스 진화 OK!,DNA-Digitation möglich!
1233,,DNA Digievoluzione non possibile...,合體進化失敗．．．,,조그레스 진화 NG…,DNA-Digitation unmöglich!
1234,,Può eseguire un Cambio di Modalità incondizionatamente.,可無條件地變更模式,,모드체인지는 무조건 할 수 있습니다.,Moduswechsel uneingeschränkt möglich.
1235,,Le statistiche non cambieranno durante un Cambio di Mode:,即使變更模式，以下狀態也不會產生變化,,모드체인지를 해도 이하의 스테이터스는 변화하지 않습니다.,Keine Wertänderung bei Moduswechsel:
1236,,- Livello,・等級,,* 레벨,- Level
1237,,- Livello massimo,・最高等級,,* 최대 레벨,- Max. Level
1238,,- EXP,・EXP,,* EXP,- EP
1239,,- Abilità,・才能,,* 재능,- Fähigkeiten
1240,,- Cameratismo,・友情,,* 우정,- Kameradschaft
1241,,- Personalità,・個性,,* 개성,- Persönlichkeit
1300,,Difficoltà,難易度,,난이도,SchwGr.
1301,,★,★,,★,★
1302,, completato!,已過關,,을(를) 클리어 했습니다., abgeschlossen!
1303,,Ricompensa in denaro,報酬金,,보수금,Verdienst
1304,,Yen,YEN,,YEN, Yen
1305,,CSP Ottenuti,獲得CSP,,획득 CSP,CDP
1306,,CSP,CSP,,CSP,CDP
1307,,x,×,,x,x
1308,,-,‐,,-,–
