ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Predefinito,預設,,디폴트,Standard
2,,Butter-Fly,Butter-Fly,,Butter-Fly,Schmetterling
3,,brave heart,brave heart,,brave heart,Mutiges Herz
4,,Target ~Akai Shougeki~,ターゲット ～赤い衝撃～,,ターゲット ～赤い衝撃～,Ziel: roter Angriff
5,,Break up!,Break Up,,Break Up,Trennung
6,,The Biggest Dreamer,The Biggest Dreamer,,The Biggest Dreamer,Der größte Träumer
7,,Slash!,SLASH!!,,SLASH!!,Schlitz!
8,,FIRE!!,FIRE!!,,FIRE!!,Feuer!
9,,With The Will,With The Will,,With The Will,Willensstark
10,,Gou-ing! Going! My soul!!,強ing! Going! My soul!!,,強ing! Going! My soul!!,"Sei stark, meine Seele!"
11,,Believer,Believer,,Believer,Gläubig
12,,Never Give Up!,ネバギバ！,,ネバギバ！,Gib nie auf!
13,,WE ARE Xros Heart!,WE ARE クロスハート！,,WE ARE クロスハート！,Wir sind Kreuzherz!
