ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,"Non c'è nessun Digimon destinatario, quindi il messaggio
non può essere inviato.",由於沒有可發送訊息的數碼寶貝，因此無法發送訊息,,"송신 대상의 디지몬이 존재하지 않아
메시지를 보내지 못했습니다.","Kein Empfänger-Digimon vorhanden.
Nachricht konnte nicht gesendet werden."
2,,Ricevuti [n0] nuovi messaggi.,收到[n0]件新訊息,,신규 메시지 [n0]건 수신,[n0] neue Nachrichten.
100,,"Ci sono Digimon di livello massimo nella fattori,
incluso [d0].","像是[d0]等等，
農場島裡有好幾隻LV MAX的數碼寶貝囉",,"[d0] 등, 팜에 
몇 마리 정도 최대 레벨에 도달한 디지몬이 있어","Auf der Farm sind Digimon auf
Höchstlevel, unter anderem [d0]."
101,,"[d0] nella fattoria è al livello massimo.","農場島裡的[d0]
已經達到LV MAX了呢",,"팜의 [d0]이(가)
Lv. MAX가 된 것 같아.","Auf der Farm hat [d0]
das Höchstlevel erreicht."
200,,"Comando di addestramento Farm [n0] completato!
Per favore, dai un comando alla tua DigiFarm.","農場島[n0]的特訓指令已執行完畢
記得去數碼農場發出指令唷",,"팜 [n0]의 특훈지시가 완료되었어.
디지팜에서 지시를 내려줘.","Trainingsbefehl auf Farm [n0] beendet!
Erteile deiner Digifarm einen Befehl."
300,,"Comando di sviluppo Farm [n0] completato!
Sviluppo di [d0] riuscito.","農場島[n0]的開發指令已執行完畢
似乎成功開發出了[d0]喔",,"팜 [n0]의 개발지시가 완료되었어.
[d0]의 개발에 성공한 것 같아.","Entwicklungsbefehl auf Farm [n0]
beendet! [d0] erfolgreich entwickelt."
400,,"Comando di indagine Farm [n0] completato!
Trovati [n1] casi.","農場島[n0]的調查指令已執行完畢
似乎發現了[n1]件委託喔",,"팜 [n0]의 조사 지시가 완료되었어.
의뢰를 [n1]건 발견한 것 같아.","Ermittlungsbefehl auf Farm [n0] beendet!
[n1] Fall/Fälle gefunden."
401,,"Comando di indagine Farm [n0] completato.
Nessun nuovo caso, ma trovati [d0].","農場島[n0]的調查指令已執行完畢。
雖然調查沒有斬獲，但似乎發現了[d0]喔",,"팜 [n0]의 조사지시 완료. 의뢰 조사는 없었지만
[d0]을 발견한 것 같아.","Ermittlungsbefehl auf Farm [n0] beendet!
Kein neuer Fall, aber [d0] gefunden."
1101,,"Ehi, è vero quello che dicono di tutti gli umani
spaventosi?",吶吶，我聽說人類有很多可怕的傢伙，是真的嗎？,,"저기저기, 인간 중엔 무서운 사람이 많다는 게 진짜야?","Sag mal, stimmt es, was man über all die
grusligen Menschen sagt?"
1102,,"Allenarsi non è divertente, portami subito fuori!",訓練什麼的好無趣……快帶我去外頭！,,트레이닝 같은건 재미없어…빨리 밖으로 데려가줘―!,"Das Training macht keinen Spaß,
nimm mich endlich mit!"
1103,,"Ho fatto un sogno pazzesco stanotte! Era tipo, uh...
ehm... cavolo, me ne ero dimenticato.","我昨天做了一個很有趣的夢喔！　聽我說、聽我說！
唔～嗯……啊咧，我不記得了",,"어제 재미있는 꿈을 꿨어! 있잖아 있잖아!
그게 그게… 어라, 잊어버렸네.","Letzte Nacht hatte ich einen irren
Traum, äh ... ähm ... Mist, vergessen."
1104,,"Oggi mi sono svegliato prima del solito!
Non sono un bravo Digimon?","我今天比平時還要早起床喔！
吶，快誇我、快誇我！",,"오늘은 평소보다 빨리 일어났어!
자자, 칭찬해줘 칭찬해줘!","Ich bin heute früher aufgewacht als
sonst! Bin ich nicht ein gutes Digimon?"
1105,,"Un altro Digimon mi ha invitato provare questa cosa
di DigiLine. Alla gente piace?","因為其他數碼寶貝的邀請，所以我試了一下……
數碼連線好困難呢，大家都喜歡這樣做嗎？",,"다른 디지몬이 권유해서 해 봤는데…
디지라인은 어렵네. 다들 이런게 재밌는거야?","Ein Digimon sagt, ich soll dieses
Digiline-Zeug probieren. Macht das Spaß?"
