ID,Japanese,English,Chinese,EnglishCensored,Korean,German
301,,"HP Massimi +50
/Equipaggiamento","最大HP+50
／裝備",,"최대 HP+50
/장비품","Max. TP +50
/Ausrüstung"
302,,"HP max +100
/Equipaggiamento","最大HP+100
／裝備",,"최대 HP+100
/장비품","Max. TP +100
/Ausrüstung"
303,,"HP max +150
/Equipaggiamento","最大HP+150
／裝備",,"최대 HP+150
/장비품","Max. TP +150
/Ausrüstung"
304,,"HP Max +200
/Equipaggiamento","最大HP+200
／裝備",,"최대 HP+200
/장비품","Max. TP +200
/Ausrüstung"
305,,"HP Massimi +250
/Equipaggiamento","最大HP+250
／裝備",,"최대 HP+250
/장비품","Max. TP +250
/Ausrüstung"
306,,"SP Max +5
/Equipaggiamento","最大SP+5
／裝備",,"최대 SP+5
/장비품","Max. SP +5
/Ausrüstung"
307,,"Max SP +10
/Equipaggiamento","最大SP+10
／裝備",,"최대 SP+10
/장비품","Max. SP +10
/Ausrüstung"
308,,"SP Massime +15
/Equipaggiamento","最大SP+15
／裝備",,"최대 SP+15
/장비품","Max. SP +15
/Ausrüstung"
309,,"SP massimi +20
/Equipaggiamento","最大SP+20
／裝備",,"최대 SP+20
/장비품","Max. SP +20
/Ausrüstung"
310,,"Max SP +25
/Equipaggiamento","最大SP+25
／裝備",,"최대 SP+25
/장비품","Max. SP +25
/Ausrüstung"
311,,"ATK +5
/Equipaggiamento","ATK+5
／裝備",,"공격력+5
/장비품","ANG +5
/Ausrüstung"
312,,"ATK +10
/Equipaggiamento","ATK+10
／裝備",,"공격력+10
/장비품","ANG +10
/Ausrüstung"
313,,"ATK +15
/Equipaggiamento","ATK+15
／裝備",,"공격력+15
/장비품","ANG +15
/Ausrüstung"
314,,"ATK +20
/Equipaggiamento","ATK+20
／裝備",,"공격력+20
/장비품","ANG +20
/Ausrüstung"
315,,"ATK +25
/Equipaggiamento","ATK+25
／裝備",,"공격력+25
/장비품","ANG +25
/Ausrüstung"
316,,"DEF +5
/Equipaggiamento","DEF+5
／裝備",,"방어력+5
/장비품","VER +5
/Ausrüstung"
317,,"DEF +10
/Equipaggiamento","DEF+10
／裝備",,"방어력+10
/장비품","VER +10
/Ausrüstung"
318,,"DEF +15
/Equipaggiamento","DEF+15
／裝備",,"방어력+15
/장비품","VER +15
/Ausrüstung"
319,,"DEF +20
/Equipaggiamento","DEF+20
／裝備",,"방어력+20
/장비품","VER +20
/Ausrüstung"
320,,"DEF +25
/Equipaggiamento","DEF+25
／裝備",,"방어력+25
/장비품","VER +25
/Ausrüstung"
321,,"INT +5
/Equipaggiamento","INT+5
／裝備",,"지력+5
/장비품","INT +5
/Ausrüstung"
322,,"INT +10
/Equipaggiamento","INT+10
／裝備",,"지력+10
/장비품","INT +10
/Ausrüstung"
323,,"INT +15
/Equipaggiamento","INT+15
／裝備",,"지력+15
/장비품","INT +15
/Ausrüstung"
324,,"INT +20
/Equipaggiamento","INT+20
／裝備",,"지력+20
/장비품","INT +20
/Ausrüstung"
325,,"INT +25
/Equipaggiamento","INT+25
／裝備",,"지력+25
/장비품","INT +25
/Ausrüstung"
326,,"SPD +5
/Equipaggiamento","SPD+5
／裝備",,"민첩+5
/장비품","GES +5
/Ausrüstung"
327,,"SPD +10
/Equipaggiamento","SPD+10
／裝備",,"민첩+10
/장비품","GES +10
/Ausrüstung"
328,,"SPD +15
/Equipaggiamento","SPD+15
／裝備",,"민첩+15
/장비품","GES +15
/Ausrüstung"
329,,"SPD +20
/Equipaggiamento","SPD+20
／裝備",,"민첩+20
/장비품","GES +20
/Ausrüstung"
330,,"SPD +25
/Equipaggiamento","SPD+25
／裝備",,"민첩+25
/장비품","GES +25
/Ausrüstung"
331,,"ACU +5%
/Equipaggiamento","ACU+5%
／裝備",,"명중률+5%
/장비품","GEN +5 %
/Ausrüstung"
332,,"ACU +10%
/Equipaggiamento","ACU+10%
／裝備",,"명중률+10%
/장비품","GEN +10 %
/Ausrüstung"
333,,"ACU +15%
/Equipaggiamento","ACU+15%
／裝備",,"명중률+15%
/장비품","GEN +15 %
/Ausrüstung"
334,,"EVA +3%
/Equipaggiamento","EVA+3%
／裝備",,"회피율+3%
/장비품","AWN +3 %
/Ausrüstung"
335,,"EVA +6%
/Equipaggiamento","EVA+6%
／裝備",,"회피율+6%
/장비품","AWN +6 %
/Ausrüstung"
336,,"EVA +9%
/Equipaggiamento","EVA+9%
／裝備",,"회피율+9%
/장비품","AWN +9 %
/Ausrüstung"
337,,"CRT +5%
/Equipaggiamento","CRT+5%
／裝備",,"크리티컬 발생 확률+5%
/장비품","KRT +5 %
/Ausrüstung"
338,,"CRT +10%
/Equipaggiamento","CRT+10%
／裝備",,"크리티컬 발생 확률+10%
/장비품","KRT +10 %
/Ausrüstung"
339,,"CRT +15%
/Equipaggiamento","CRT+15%
／裝備",,"크리티컬 발생 확률+15%
/장비품","KRT +15 %
/Ausrüstung"
340,,"HP +100, SP +10
/Equipaggiamento","HP+100　SP+10
／裝備",,"HP+100, SP+10 
/장비품","TP +100, SP +10
/Ausrüstung"
341,,"HP +100, ATK +10
/Equipaggiamento","HP+100　ATK+10
／裝備",,"HP+100, 공격력+10 
/장비품","TP +100, ANG +10
/Ausrüstung"
342,,"HP +100, DEF +10
/Equipaggiamento","HP+100　DEF+10
／裝備",,"HP+100, 방어력+10 
/장비품","TP +100, VER +10
/Ausrüstung"
343,,"HP +100, INT +10
/Equipaggiamento","HP+100　INT+10
／裝備",,"HP+100, 지력+10 
/장비품","TP +100, INT +10
/Ausrüstung"
344,,"HP +100, SPD +10
/Equipaggiamento","HP+100　SPD+10
／裝備",,"HP+100, 민첩+10 
/장비품","TP +100, GES +10
/Ausrüstung"
345,,"SP +10, ATK +10
/Equipaggiamento","SP+10　ATK+10
／裝備",,"SP+10, 공격력+10 
/장비품","SP +10, ANG +10
/Ausrüstung"
346,,"SP +10, DEF +10
/Equipaggiamento","SP+10　DEF+10
／裝備",,"SP+10, 방어력+10 
/장비품","SP +10, VER +10
/Ausrüstung"
347,,"SP +10, INT +10
/Equipaggiamento","SP+10　INT+10
／裝備",,"SP+10, 지력+10 
/장비품","SP +10, INT +10
/Ausrüstung"
348,,"SP +10, SPD +10
/Equipaggiamento","SP+10　SPD+10
／裝備",,"SP+10, 민첩+10 
/장비품","SP +10,GES +10
/Ausrüstung"
349,,"ATK +10, DEF +10
/Equipaggiamento","ATK+10　DEF+10
／裝備",,"공격력+10, 방어력+10 
/장비품","ANG +10, VER +10
/Ausrüstung"
350,,"ATK +10, INT +10
/Equipaggiamento","ATK+10　INT+10
／裝備",,"공격력+10, 지력+10 
/장비품","ANG +10, INT +10
/Ausrüstung"
351,,"ATK +10, SPD +10
/Equipaggiamento","ATK+10　SPD+10
／裝備",,"공격력+10, 민첩+10
/장비품","ANG +10, GES +10
/Ausrüstung"
352,,"DEF +10, INT +10
/Equipaggiamento","DEF+10　INT+10
／裝備",,"방어력+10, 지력+10 
/장비품","VER +10, INT +10
/Ausrüstung"
