ID,Japanese,English,Chinese,EnglishCensored,Korean,German
301,,HP Allegato E,HP附件E,,HP어태치 E,TP-Zusatz E
302,,HP Allegato D,HP附件D,,HP어태치 D,TP-Zusatz D
303,,HP Allegato C,HP附件C,,HP어태치 C,TP-Zusatz C
304,,HP Allegato B,HP附件B,,HP어태치 B,TP-Zusatz B
305,,HP Allegato A,HP附件A,,HP어태치 A,TP-Zusatz A
306,,SP Allegato E,SP附件E,,SP어태치 E,SP-Zusatz E
307,,SP Allegato D,SP附件D,,SP어태치 D,SP-Zusatz D
308,,SP Allegato C,SP附件C,,SP어태치 C,SP-Zusatz C
309,,SP Allegato B,SP附件B,,SP어태치 B,SP-Zusatz B
310,,SP Allegato A,SP附件A,,SP어태치 A,SP-Zusatz A
311,,ATK Allegato E,ATK附件E,,ATK어태치 E,ANG-Zusatz E
312,,ATK Allegato D,ATK附件D,,ATK어태치 D,ANG-Zusatz D
313,,ATK Allegato C,ATK附件C,,ATK어태치 C,ANG-Zusatz C
314,,ATK Allegato B,ATK附件B,,ATK어태치 B,ANG-Zusatz B
315,,ATK Allegato A,ATK附件A,,ATK어태치 A,ANG-Zusatz A
316,,DEF Allegato E,DEF附件E,,DEF어태치 E,VER-Zusatz E
317,,DEF Allegato D,DEF附件D,,DEF어태치 D,VER-Zusatz D
318,,DEF Allegato C,DEF附件C,,DEF어태치 C,VER-Zusatz C
319,,DEF Allegato B,DEF附件B,,DEF어태치 B,VER-Zusatz B
320,,DEF Allegato A,DEF附件A,,DEF어태치 A,VER-Zusatz A
321,,INT Allegato E,INT附件E,,INT어태치 E,INT-Zusatz E
322,,INT Allegato D,INT附件D,,INT어태치 D,INT-Zusatz D
323,,INT Allegato C,INT附件C,,INT어태치 C,INT-Zusatz C
324,,INT Allegato B,INT附件B,,INT어태치 B,INT-Zusatz B
325,,INT Allegato A,INT附件A,,INT어태치 A,INT-Zusatz A
326,,SPD Allegato E,SPD附件E,,SPD어태치 E,GES-Zusatz E
327,,SPD Allegato D,SPD附件D,,SPD어태치 D,GES-Zusatz D
328,,SPD Allegato C,SPD附件C,,SPD어태치 C,GES-Zusatz C
329,,SPD Allegato B,SPD附件B,,SPD어태치 B,GES-Zusatz B
330,,SPD Allegato A,SPD附件A,,SPD어태치 A,GES-Zusatz A
331,,HIT Allegato C,HIT附件C,,HIT어태치 C,TRE-Zusatz C
332,,HIT Allegato B,HIT附件B,,HIT어태치 B,TRE-Zusatz B
333,,HIT Allegato A,HIT附件A,,HIT어태치 A,TRE-Zusatz A
334,,AGL Allegato C,AGL附件C,,AGL어태치 C,GEW-Zusatz C
335,,AGL Allegato B,AGL附件B,,AGL어태치 B,GEW-Zusatz B
336,,AGL Allegato A,AGL附件A,,AGL어태치 A,GEW-Zusatz A
337,,CRT Allegato C,CRT附件C,,CRT어태치 C,KRT-Zusatz C
338,,CRT Allegato B,CRT附件B,,CRT어태치 B,KRT-Zusatz B
339,,CRT Allegato A,CRT附件A,,CRT어태치 A,KRT-Zusatz A
340,,Disco Energetico,活力光碟,,에너지 디스크,Energiedisc
341,,Disco Allegro,愉悅光碟,,치어풀 디스크,Lachdisc
342,,Disco Resistente,堅毅光碟,,터프 디스크,Zähe Disc
343,,Disco Anima,靈魂光碟,,소울 디스크,Seelendisc
344,,Disco Carica,突擊光碟,,차지 디스크,Sturmdisc
345,,Disco dell'Oracolo,神諭光碟,,오라클 디스크,Orakeldisc
346,,Disco Mentale,意志光碟,,마인드 디스크,Bewusstseinsdisc
347,,Disco Mago,法師光碟,,메이지 디스크,Magierdisc
348,,Disco Ladro,盜賊光碟,,시프 디스크,Diebesdisc
349,,Disco Combattente,戰士光碟,,파이터 디스크,Kämpferdisc
350,,Disco Saggio,賢者光碟,,세이지 디스크,Weisendisc
351,,Disco Assassino,刺客光碟,,어쌔신 디스크,Meuchelmörderdisc
352,,Bishop Disc,主教光碟,,비숍 디스크,Bischofsdisc
353,,Disco Monaco,僧侶光碟,,몽크 디스크,Mönchsdisc
354,,Disco Spirituale,神靈光碟,,스피릿 디스크,Geistdisc
355,,Disco Ranger,遊俠光碟,,레인저 디스크,Waldläuferdisc
