ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,AAAAAAAAAAAAAACCCCCCAAAAAAAAAAAAADDAAAAAAEEEFFFFGGGGG,あいうえおかきくけこ亜欝ＡＡＡＡＡＡＡＣＡＡＡＡＡＡＡＡＡＤＡＡＡＡＡＡＡＡＡＥＦ,,아야어여오요우쿠케코아AAAAAAACAAAAAAAAAAADAAAAAAEF,AAAAAAAAAAAAAACCCCCCAAAAAAAAAAAAADDAAAAAAEEEFFFFGGGGG
1000,,Seleziona una posizione di salvataggio.,請選擇您要保存的位置。,,저장을 할 장소를 골라주세요.,Wähle einen Speicherort.
1001,,Seleziona i dati da caricare.,請選擇您要讀取的檔案。,,불러올 데이터를 선택하십시오.,Wähle die zu ladenden Daten.
1200,,"Sposta i tuoi Digimon nel Party, DigiBank o Isola Fattoria.",可以將持有數碼寶貝移動到隊伍、數碼銀行、農場島中。,,"소유한 디지몬을 파티, 디지털 뱅크, 팜 섬으로 이동할 수 있습니다.","Verschiebe Digimon in die Gruppe, Digibank oder Farminsel."
1201,,Digievolvi o De-Digievolvi il tuo Digimon.,可以使持有數碼寶貝進化、退化。,,"소유한 디지몬의 진화, 퇴화가 가능합니다.",Lass deine Digimon digitieren oder de-digitieren.
1202,,Consuma fino a cinque Digimon per potenziare uno dei tuoi Digimon.,最多可以消耗5隻持有數碼寶貝來強化1隻數碼寶貝。,,소유한 디지몬을 최대 5마리 소비하여 1마리의 디지몬을 강화합니다.,"Absorbiere bis zu fünf Digimon, um ein Digimon zu stärken."
1203,,Materializza i Digimon con percentuali di Scan superiori al 100%.,掃描率超過100%的數碼寶貝將會實體化。,,스캔율이 100%를 넘어선 디지몬을 실체화합니다.,Materialisiere Digimon mit einem Scanwert über 100 %.
1204,,Convertire i Digimon in dati di scansione.,將持有數碼寶貝回復為掃描數據。,,소유한 디지몬을 스캔 데이터로 되돌립니다.,Wandle deine Digimon in Scandaten um.
1205,,Seleziona Digimon da spostare.,請選擇要移動的數碼寶貝。,,이동할 디지몬을 선택해주세요.,Wähle die Digimon zum Verschieben aus.
1206,,Seleziona i Digimon da spostare.,請選擇要移動的數碼寶貝。,,이동할 디지몬을 선택해주세요.,Wähle die Digimon zum Verschieben aus.
1207,,"Controlla le statistiche, l'equipaggiamento e le abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1208,,Seleziona una destinazione.,請選擇移動地點。,,이동할 장소를 선택해주세요.,Wähle ein Ziel.
1209,,"Controlla le Statistiche, l'Equipaggiamento e le Abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1210,,Seleziona Digimon per Digievolvere o De-digievolvere.,請選擇要進化、退化的數碼寶貝。,,진화/퇴화할 디지몬을 선택해주세요.,Wähle ein Digimon für die Digitation oder De-Digitiation aus.
1211,,"Controlla le statistiche, l'equipaggiamento e le abilità del tuo Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1212,,Seleziona Digimon per Digievoluzione o De-Digievoluzione.,請選擇進化後、退化後的數碼寶貝。,,진화/퇴화할 디지몬을 선택해주세요.,Wähle ein Digimon für die Digitation oder De-Digitiation aus.
1213,,"Controlla le statistiche, l'equipaggiamento e le abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1214,,Seleziona Digimon per la DNA Digievoluzione.,請選擇要合體進化的數碼寶貝。,,조그레스 할 디지몬을 선택해주세요.,Wähle Digimon für die DNA-Digitation aus.
1215,,"Controlla le statistiche, l'equipaggiamento e le skill dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1216,,"Controlla le statistiche, l'equipaggiamento e le skill dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1217,,X: Salvataggio riuscito. Ritorna alla DigiBanca.,×：設定完成，返回數碼銀行。,,"X : 세팅 종료, 디지뱅크로 돌아간다.",X: Speichern erfolgreich. Zurück zur Digibank.
1218,,Seleziona Digimon da potenziare.,請選擇要強化的數碼寶貝。,,강화할 디지몬을 선택해주세요.,Wähle das Digimon zum Stärken aus.
1219,,"Controlla le Statistiche, l'Equipaggiamento e le Abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1220,,Seleziona Digimon da consumare.,請選擇要吸收的數碼寶貝。,,소비할 디지몬을 선택해주세요.,Wähle Digimon zum Absorbieren aus.
1221,,Seleziona i Digimon da consumare.,請選擇要吸收的數碼寶貝。,,소비할 디지몬을 선택해주세요.,Wähle Digimon zum Absorbieren aus.
1222,,"Controlla le Statistiche, l'Equipaggiamento e le Abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1223,,Seleziona il Digimon da convertire.,請選擇要孵化的數碼寶貝。,,컨버트할 디지몬을 선택해주세요.,Wähle Digimon zum Umwandeln aus.
1224,,"Controlla le statistiche, l'equipaggiamento e le abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1225,,Seleziona Digimon da restituire ai dati di scansione.,請選擇要回復到掃描數據的數碼寶貝。,,스캔 데이터로 되돌릴 디지몬을 선택해주세요.,Wähle Digimon zum Umwandeln in Scandaten aus.
1226,,"Controlla le statistiche, l'equipaggiamento e le abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1227,,"Controlla le Statistiche, l'Equipaggiamento e le Abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1228,,"Controlla le statistiche, l'equipaggiamento e le abilità dei tuoi Digimon.",可以確認數碼寶貝的狀態、裝備、技能。,,디지몬의 스테이터스/장비/스킬을 확인할 수 있습니다.,"Prüfe Werte, Ausrüstung und Fertigkeiten deiner Digimon."
1300,,Seleziona un caso da investigare.,請選擇要調查的委託。,,조사할 의뢰를 선택해주세요.,Wähle einen Fall zum Ermitteln aus.
1301,,Seleziona un caso da investigare.,請選擇要調查的委託。,,조사할 의뢰를 선택해주세요.,Wähle einen Fall zum Ermitteln aus.
1600,,Seleziona un Digimon per visualizzare maggiori informazioni.,請選擇要確認詳細資訊的數碼寶貝。,,자세한 정보를 확인하고 싶은 디지몬을 선택해주세요.,"Wähle ein Digimon aus, um mehr Informationen zu erhalten."
1601,,Seleziona un Digimon per visualizzare maggiori informazioni.,請選擇要確認詳細資訊的數碼寶貝。,,자세한 정보를 확인하고 싶은 디지몬을 선택해주세요.,"Wähle ein Digimon aus, um mehr Informationen zu erhalten."
1602,,Controlla stato e abilità.,確認狀態或技能。,,스테이터스나 스킬을 확인할 수 있습니다.,Prüfe Status und Fertigkeiten.
1603,,Controlla la De-Digievoluzione del tuo Digimon.,可以確認退化後的數碼寶貝。,,퇴화할 디지몬을 확인할 수 있습니다.,Prüfe die De-Digitation deiner Digimon.
1604,,Controlla i Digimon da Digievolvere.,可以確認進化後的數碼寶貝。,,진화할 디지몬을 확인할 수 있습니다.,Prüfe die Digitation deiner Digimon.
1605,,Controlla il profilo.,確認基本資料。,,프로필을 확인할 수 있습니다.,Sieh das Profil ein.
1800,,Controlla varie informazioni del giocatore.,確認玩家的各種資訊。,,플레이어의 다양한 정보를 확인할 수 있습니다.,Betrachte verschiedene Spielerinformationen.
1801,,Visualizza maggiori informazioni su un'abilità di hacking.,確認駭客技能的詳細內容。,,해킹 스킬의 상세 정보를 확인할 수 있습니다.,Erhalte weitere Informationen zu einer Hacking-Fertigkeit.
1802,,Controlla lo stato dell'indagine del caso.,可以確認委託的調查狀況。,,의뢰의 조사 상황을 확인할 수 있습니다.,Prüfe den Status der Ermittlungen.
1803,,Controlla i tutorial che hai già visualizzato.,可以再次查看新手教學。,,한번 본 튜토리얼을 확인할 수 있습니다.,Wiederhole bereits angesehene Anleitungen.
1900,,Seleziona l'oggetto da usare.,請選擇要使用的道具。,,사용할 아이템을 선택해주세요.,Wähle ein Item aus.
1901,,Seleziona i Digimon da utilizzare.,請選擇要使用的數碼寶貝。,,사용할 디지몬을 선택해주세요.,Wähle Digimon aus.
1902,,Seleziona i Digimon da usare.,請選擇要使用的數碼寶貝。,,사용할 디지몬을 선택해주세요.,Wähle Digimon aus.
2000,,Seleziona una parola chiave per visualizzarne i dettagli.,請選擇要確認詳細內容的關鍵字。,,상세 정보를 확인하고 싶은 키워드를 선택해주세요.,"Wähle ein Stichwort aus, um mehr zu erfahren."
2200,,Imposta il volume della musica.,設定BGM音量。,,BGM의 볼륨을 설정합니다.,Stelle die Musiklautstärke ein.
2201,,Imposta il volume degli effetti sonori.,設定SE音量。,,SE의 볼륨을 설정합니다.,Stelle die Effektlautstärke ein.
2202,,Imposta il volume della voce del personaggio.,設定角色語音的音量。,,캐릭터 보이스의 볼륨을 설정합니다.,Stelle die Dialoglautstärke ein.
2203,,Imposta se la minimappa deve essere visualizzata o meno.,設定小地圖的顯示、隱藏。,,미니맵의 표시/비표시를 설정합니다.,"Lege fest, ob die Minikarte eingeblendet wird."
2204,,Imposta se i Digimon partner sono mostrati sul campo.,設定移動中同行數碼寶貝的顯示、隱藏。,,필드에서 데리고 다닐 디지몬의 표시/비표시를 설정합니다.,"Lege fest, ob Partnerdigimon auf dem Feld angezeigt werden."
2205,,Imposta il tipo di cutscene mostrata durante la battaglia.,設定戰鬥演出的種類。,,배틀 시의 연출 종류를 설정합니다.,"Lege fest, welche Videosequenzen im Kampf gezeigt werden."
2206,,Attiva/disattiva le voci dei Digimon del party durante la battaglia.,將戰鬥中的同行數碼寶貝的聲音設定為ON、OFF。,,배틀 시 파티 디지몬 보이스의 ON/OFF를 설정합니다.,Aktiviert/deaktiviert Stimmen der Digimongruppe im Kampf.
2207,,Ripristina tutte le impostazioni predefinite.,將所有項目回復初期設定。,,모든 항목을 초기설정으로 되돌립니다.,Setze alles auf die Standardeinstellungen zurück.
2208,,Applica le impostazioni attuali.,套用目前設定的內容。,,지금 설정한 내용을 반영합니다.,Zeigt die aktuellen Einstellungen an.
2500,,Seleziona un messaggio a cui rispondere.,請選擇要回覆的訊息。,,답신할 메시지를 선택해주세요.,"Wähle eine Nachricht aus, um darauf zu antworten."
2700,,Seleziona un dungeon da cui entrare.,請選擇要前往的迷宮。,,가고 싶은 던전을 선택해주세요.,"Wähle einen Dungeon aus, den du betreten möchtest."
2800,,Questa è la collezione di medaglie dell'uomo delle medaglie.,獎牌大叔的獎牌收藏。,,메달 아저씨의 메달 컬렉션입니다.,Dies ist die Sammlung des Medaillensammlers.
2900,,Affronta battaglie su Internet.,使用網路進行連線對戰。,,인터넷을 이용하여 통신대전을 합니다.,Kämpfe über das Internet.
2901,,Combatti tramite comunicazione locale.,以鄰近主機通訊進行通訊對戰。,,로컬 통신을 이용해 통신 대전을 합니다.,Spiele einen lokalen Kampf.
2902,,Trova un avversario da affrontare in battaglia.,搜尋對戰者。搜尋到對手後將進行對戰。,,대전자를 탐색합니다. 상대를 찾는대로 대전을 실시합니다.,Finde einen Gegner zum Kämpfen.
2903,,Controlla la top 100 nelle classifiche.,確認排行榜上的前100名玩家。,,랭킹 상위 100인을 확인할 수 있습니다.,Sieh die Top 100 in der Rangliste an.
