ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,"Hai ricevuto un
""lasciapassare gratuito"".",獲得【通行車票】,,"【프리패스】
를 입수했습니다.","Du hast eine „Freikarte“
erhalten."
2,,Guida pratica 1,新手教學1,,필드 튜토리얼 1,Praxisanleitung 1
3,,"Questo è un mondo digitale creato
da un programma per computer.",這裡是由電腦程式所創造出來的電腦世界。,,"이곳은 컴퓨터 프로그램에 의해서
창조된 전뇌세계입니다.","Dies ist eine digitale Welt, die von einem
Computerprogramm erschaffen wird."
4,,"Nel mondo reale i punti di accesso fungono da
gateway.","可以透過現實世界中所設置的登入地點
穿越出入口來到電腦世界。",,"현실세계에 설치된 액세스 포인트로부터
게이트를 통해 올 수 있습니다.","Zugangspunkte in der echten Welt fungieren als
Tor."
5,,"Quando esci, ritorni al
mondo reale.","只要選擇登出
就可以回到現實世界",,"로그아웃을 선택하면
원래의 현실세계로 돌아갈 수 있습니다.","Wenn du dich ausloggst, kehrst du in die echte
Welt zurück."
6,,Guida pratica 2,新手教學2,,필드 튜토리얼 2,Praxisanleitung 2
7,,"Nel mondo digitale ci sono delle Digifarm in
cui puoi cambiare gruppo.",電腦世界裡有可以整編隊伍的數碼農場,,"전뇌세계에는 파티 편성을 변경할 수 있는
디지팜이 있습니다.","In der Digitalen Welt gibt es Digifarmen, auf denen du
deine Gruppe verändern kannst."
8,,"Dopo aver raccolto i dati di scansione dei Digimon,
prova a cambiare il tuo gruppo presso una Digifarm.","掃描完的數碼寶貝數據累積到一定程度後
就回到數碼農場裡試著重新整編隊伍吧",,"스캔한 디지몬 데이터가 쌓이면
디지팜에 가서
파티 편성을 변경해 봅시다.","Wenn du Digimon-Scandaten gesammelt hast, versuche
auf einer Digifarm deine Gruppe zu verändern."
9,,Guida pratica 3,新手教學3,,필드 튜토리얼 3,Praxisanleitung 3
10,,A quanto pare hai raccolto dati di scansione dei Digimon.,數碼寶貝的掃描數據已經累積完成了,,"디지몬의 스캔 데이터가
모여있는 것 같습니다.",Anscheinend hast du Digimon-Scandaten gesammelt.
11,,"Visita una Digifarm e aggiungi il
Digimon scansionato al tuo gruppo.","回到數碼農場
將掃描完的數碼寶貝加到隊伍裡吧！",,"디지팜에 가서
스캔한 디지몬을
파티에 넣어봅시다!","Besuche eine Digifarm und füge das gescannte
Digimon zu deiner Gruppe hinzu."
12,,è stato aggiunto alla fattoria!,已經加入農場島了！,,이 팜에 추가되었습니다!, wurde zur Farm hinzugefügt!
13,,Hai ricevuto un “Digivice”.,獲得【Digivice】,,"【디지바이스】
를 입수했습니다.",Du hast ein „Digivice“ erhalten.
14,,La barriera dei biglietti è chiusa.,剪票口閘門關閉中,,개찰구는 닫혀 있다.,Die Ticketschranke ist geschlossen.
15,,"Hai utilizzato il tuo biglietto gratuito per
aprire la barriera dei biglietti.","使用通行車票
開啟剪票口閘門",,"프리패스를 사용해
개찰구를 열었다.","Du hast deine Freikarte benutzt, um die
Ticketschranke zu öffnen."
16,,Il semaforo è rosso! Non si può attraversare ora!,"紅燈
還不能過馬路",,"적신호다.
아직 건널 수 없어.",Die Ampel ist rot! Du kannst jetzt nicht rüber!
17,,"ATTENZIONE Se si
segue il percorso, non è possibile
tornare alla piattaforma.","～注意～
跳下鐵軌後
無法重回月台",,"                 ～ 주의 ～
               선로로 내려오면
홈으로 돌아갈 수 없게 됩니다","                 ACHTUNG
Wenn du der Strecke folgst, kannst du nicht
zur Plattform zurückkehren."
18,,Non è possibile acquistarlo nella demo.,"試玩版
無法購物",,"평가판에서는
쇼핑을 할 수 없습니다.",Dies kannst du in der Demo nicht kaufen.
19,,Scansione completata.,掃描完畢,,스캔을 완료했다.,Scan abgeschlossen.
22,,"Hai ricevuto la parola chiave ""[2Kowloon]""!",獲得關鍵字【[2Kowloon]】！,,"키워드【[2쿠롱]】
을 획득!",Du hast das Stichwort „[2Kowloon]“ erhalten!
23,,Hai ricevuto “???”,獲得【？？？】,,"【？？？】
을 입수했습니다.",Du hast „???“ erhalten.
24,,Seguiamo Nokia!,追上諾奇雅,,노키아를 쫓아가자.,Folgen wir Nokia!
25,,"Non puoi percorrere questa strada.
Dobbiamo trovarne un'altra.","現在過不去
找別條路吧",,"지금은 지나갈 수 없어.
다른 길을 찾아보자.","Du kannst diese Straße nicht entlanggehen.
Wir müssen eine andere finden."
26,,Arata può aiutarti.,新在等待,,아라타가 기다리고 있다.,Arata kann weiterhelfen.
32,,"Posizionati di fronte al distributore automatico accanto a
te e premi il pulsante A.","請在隔壁的自動販賣機前
按下A鍵",,"주변 자판기 앞에서
A 버튼을 눌러주세요","Stell dich vor den Verkaufsautomaten neben dir und
drücke den A-Knopf."
33,,Controlla la bacheca in ufficio.,請回報至事務所裡的委託板,,"사무실에 있는
의뢰보드에 보고해주세요.",Sieh auf dem Schwarzen Brett im Büro nach.
37,,Hai il telefono del ragazzo più sexy.,獲得道具「帥氣男子的手機」,,아이템「훈남의 핸드폰」을 입수했다.,Du hast das Handy des heißen Typen erhalten.
38,,Hai dato il telefono al ragazzo attraente.,將「帥氣男子的手機」交給帥氣的男子,,잘생긴 남자에게「훈남의 핸드폰」을 건넸다.,Du hast dem heißen Typen sein Handy gegeben.
39,,Hai ricevuto la tessera dall'associazione pugilistica.,獲得道具「拳擊協會人員的名片」,,아이템「복싱협회 사람의 명함」을 입수했다.,Du hast die Karte vom Boxverband erhalten.
40,,Hai strappato la carta.,主角撕破了名片,,주인공은 명함을 찢어버렸다.,Du hast die Karte zerrissen.
41,,Hai convinto Gaomon. Segnalalo al cliente.,"成功說服迦奧獸
向委託人報告吧",,"가오몬의 설득에 성공했다.
의뢰인에게 보고하자.",Du hast Gaomon überzeugt. Melde das dem Klienten.
42,,Dovremmo tornare da Hagurumon.,回到齒輪獸身邊,,톱니몬이 있는 곳으로 돌아가자.,Wir sollten zu Hagurumon zurückkehren.
43,,Hai inserito l'equipaggiamento in Hagurumon.,為齒輪獸裝上齒輪,,주인공은 톱니몬에게 톱니바퀴를 끼웠다.,Du hast das Zahnrad in Hagurumon eingefügt.
44,,Hai ottenuto le ossa di Ogremon.,獲得奧加獸的骨頭,,우가몬의 뼈를 입수했다.,Du hast Ogremons Knochen erhalten.
45,,Hai consegnato le ossa di Ogremon.,交出奧加獸的骨頭,,우가몬의 뼈를 건네주었다.,Du hast Ogremons Knochen abgegeben.
46,,Hai ricevuto i noodles fatti in casa di Growlmon.,獲得古拉獸的手作拉麵,,그라우몬의 수제 라면을 입수했다.,Du hast Growlmons selbstgemachte Nudeln erhalten.
47,,"Hai portato i noodles fatti in
casa di Growlmon.",交出古拉獸的手作拉麵,,그라우몬의 수제 라면을 건네주었다.,"Du hast Growlmons selbstgemachte Nudeln
vorbeigebracht."
48,,Hai ricevuto i chicchi di caffè.,獲得咖啡豆,,커피콩을 입수했다.,Du hast die Kaffeebohnen erhalten.
49,,Hai ricevuto la maschera Zaxon.,獲得Zaxon的面具,,잭슨 가면을 입수했다.,Du hast die Zaxon-Maske erhalten.
50,,[p] ha ricevuto dati sul Digivice.,[p]用Digivice接收了資料,,[p]의 디지바이스가 데이터를 받았다.,[p] hat Daten auf dem Digivice empfangen.
1000,,Il file 1 è danneggiato.,DATA1已毀損,,DATA1이 망가져 있습니다.,Datei 1 ist beschädigt.
1001,,Il file 2 è danneggiato.,DATA2已毀損,,DATA2가 망가져 있습니다.,Datei 2 ist beschädigt.
1002,,Il file 3 è danneggiato.,DATA3已毀損,,DATA3이 망가져 있습니다.,Datei 3 ist beschädigt.
1003,,Salva ...,保存中,,저장하고 있습니다.,Speichern ...
1004,,Salvato con successo.,保存完畢,,저장을 완료했습니다.,Erfolgreich gespeichert.
