ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Compra,購買,,구입한다,Kaufen
2,,Vendi,販賣,,매각한다,Verkaufen
3,,Esci,取消,,그만둔다,Verlassen
1000,,Benvenuto!,歡迎光臨,,어서오세요,Willkommen!
1001,,Grazie mille.,謝謝惠顧,,감사합니다,Vielen Dank.
1002,,Come posso esserti d'aiuto?,請問您有什麼需求呢？,,무슨 용건이시죠?,Wie kann ich dir helfen?
1003,,Cosa vuoi comprare?,您要購買什麼商品呢？,,무엇을 구입하겠습니까?,Was möchtest du kaufen?
1004,,Quanti ne vuoi comprare?,您要購買幾個呢？,,몇 개 구입하겠습니까?,Wie viel davon möchtest du kaufen?
1005,,Cosa vuoi vendere?,您要販賣什麼商品呢？,,무엇을 매각하겠습니까?,Was möchtest du verkaufen?
1006,,Quanti ne vuoi vendere?,您要販賣幾個呢？,,몇 개 매각하겠습니까?,Wie viel davon möchtest du verkaufen?
1007,,Aspetto il tuo ordine.,請說出需求,,주문해주세요,Ich erwarte deine Bestellung.
1008,,Torna presto a trovarci.,誠摯恭候您的再度光臨,,다음 방문을 기다리겠습니다,Komm bald wieder.
1011,,C'è qualcosa in cui posso esserti d'aiuto?,有什麼能夠為您服務的嗎？,,도움이 필요하십니까?,Kann ich dir behilflich sein?
1012,,"C'è una forte reazione digitale 
sulla piattaforma del treno...",車站的月臺傳來了強烈的數碼反應呢……,,역 플랫폼에 강한 디지털 반응이 있네요...,"Auf dem Bahnsteig gibt es eine starke digitale
Reaktion ..."
1019,,"Benvenuto!? Sarà pure un'emergenza, 
ma mi prenderò comunque i tuoi
soldi!","歡、歡迎光臨～！
在這種非常時期下，還是要收錢的！
要收錢的啊－－！！",,"어, 어서오세요~!?
이런 비상시라도 돈은 받습니다!
받고말고요!!","Willkommen?!
Es ist vielleicht ein Notfall, aber ich nehme
trotzdem dein Geld!"
1020,,"Umm... Be-be-benvenuto!?
È sempre servizio con un sorriso,
non importa cosa!","歡、歡、歡迎光臨～！
無、無、無論發生什麼事，都要在顧客前保持笑容！
這才叫做專業！",,"어,어,어, 어서오세요오오오~!
어,어, 어떤 때라도 손님 앞에서는 미소로!
그것이 프로입니다!","Ähm ... W-Wi-Willkommen?!
Hier wirst du immer mit einem Lächeln bedient,
egal was passiert!"
1021,,Non esitare a tornare.,若有什麼需求，歡迎再度光臨,,또 용건이 있으면 다시 찾아와주세요,Schau jederzeit wieder vorbei.
1050,,Benvenuto!,歡迎光臨,,어서오세요,Willkommen!
1051,,Seleziona una transazione.,請選擇您要交易的項目,,거래할 내용을 선택해주세요,Bitte wähle eine Transaktion.
1052,,Cosa vuoi comprare?,您要購買什麼商品呢？,,무엇을 구입하겠습니까?,Was möchtest du kaufen?
