ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Attacco,攻擊,,공격,Angriff
2,,Attacco,攻擊,,공격,Angriff
3,,Guardia,守備,,방어,Block
4,,Fuga,逃脫,,도주,Flucht
5,,Cambia,交換,,교체,Ändern
6,,Strategia,作戰,,작전,Strategie
7,,Auto,自動,,오토,Autom.
8,,Impossibile fuggire!,無法從這場戰鬥中逃脫！,,이 싸움에서 도망칠 수 없다!,Flucht nicht möglich!
9,,Impossibile fuggire!,逃脫失敗！,,도망치지 못했다!,Flucht fehlgeschlagen!
10,,Niente più Digimon!,將要沒有可以戰鬥的數碼寶貝！,,싸울 디지몬이 없어집니다!,Keine Digimon mehr!
11,,,,,,
19,,Contrattacco,反擊,,카운터,Konter
20,,Paralizzato!,因麻痺而無法動彈！,,마비로 움직일 수 없다!,Gelähmt!
21,,Addormentato!,因睡眠而無法動彈！,,수면으로 움직일 수 없다!,Schläft!
22,,Non puoi muoverti per il contraccolpo!,因反作用力而無法動彈！,,반동으로 움직일 수 없다!,Rückstoß – pausiert!
1001,,Pepper Breath,小型火焰,,꼬마불꽃,Pfefferatem
1002,,Spitfire Blast,噴火,,스핏파이어,Speifeuer-Stoß
1003,,Guscio di diamante,滾動攻擊,,롤링스톤,Diamanten-Schale
1004,,Evoca,召喚,,서몬,Herbeirufen
1005,,Nuvola di Tuono,閃光電擊,,날벼락치기,Gewitterwolke
1006,,Bolla Ninna Nanna,睡之泡,,룰러바이 버블,Schlafliedblase
1007,,Doppio Rovescio,雙重反擊,,더블백핸드,Doppelte Rückhand
1008,,Scarica Elettrica Stordente,麻痺毒氣,,패럴라이즈 브레스,Blitzbetäubung
1009,,Blaster Blu,爆炎火焰彈,,파란불꽃,Kleines Feuer
1010,,Frantumapietra,破岩擊,,락 브레이커,Felsbrecher
1011,,Raggio Accecante,絕光衝,,절광충,Blendstrahl
1012,,Risata Folle,瘋狂大笑,,크레이지 기글,Lachangriff
1013,,Pugno di Roccia,憤怒岩石,,돌주먹,Felsenfaust
1014,,Colpo Goblin,野人火焰彈,,고부리 스트라이크,Goblinschlag
1015,,Pesci in Marcia,魚群大暴走,,물고기 행진,Marschierende Fische
1016,,Esplosione Perla Nera,黑珍珠,,블랙펄,Schwarze Perlensalve
1017,,Terrier Tornado,小型龍捲風,,프티 트위스터,Terrier-Tornado
1018,,Super Folgorazione,小型閃電,,푸치썬더,Kleiner Donnerschlag
1019,,Vampa di Plastica,玩具火焰彈,,토이 플레임,Plastikbrand
1020,,Cannone Metallico,金屬加農,,메탈 캐논,Metallkanone
1021,,Schiaccia Ingranaggi,黑暗齒輪,,톱니바퀴 포,Zahnradzermalmer
1022,,Colpo d'Aria,空氣炮,,공기팡,Luftstoß
1023,,Quinto Rush,五連閃,,피프스 슬래쉬,Fünfter Ansturm
1024,,Edera Velenosa,毒蔓藤,,독줄기 공격,Giftiger Efeu
1025,,Dardi Demi,小惡魔飛鏢,,피코주사기,Giftpfeile
1026,,Torsione a Spirale,魔法火焰,,빙빙회오리,Magisches Feuer
1027,,Lama Ninja,手裏裏劍,,수리리검,Ninja Messer
1028,,Testata di Veemon,V仔頭槌,,브이몬 헤드,Veemon-Kopfstoß
1029,,Ululato di Cucciolo,小狗怒吼,,플롯트의 외침,Jaulender Hund
1030,,Scarica Elettrica,麻痺電擊,,전격 찌리릿,Elektroschlag
1031,,Lama di Piume,羽毛回力鏢,,페더 슬래쉬,Federstreich
1032,,Esplosione di Semi,堅果射擊,,너츠 슛,Pflanzensamen-Explosion
1033,,Gran Croce,宏偉十字架,,그랜드 크로스,Großes Kreuz
1034,,Tempesta di Diamanti,狐葉楔,,호엽설,Diamantensturm
1035,,Ghiaccio Ardente,爆裂寒冰,,블레이징 아이스,Brennendes Eis
1036,,Rete Adesiva,粘性羅網,,끈적그물 ,Netzfalle
1037,,Corno Planante,碎裂角,,글라이드 호른,Gleithorn
1038,,Martello di Coda,尾巴錘擊,,테일 해머,Schwanzhammer
1039,,Siluro Arpione,魚叉火神炮,,뿔날리기,Harpune
1040,,Nuvola di Tuono,雷雲閃光,,번쩍구름,Gewitterwolke
1041,,Drenaggio Ramificazione,吸命樹枝,,브랜치 드레인,Astentleerung
1042,,Vee Laser,X光線,,엑스 레이저,Vee-Laser
1043,,Pugno Celestiale,天堂之拳,,헤븐즈 너클,Knöchel des Himmels
1044,,Pestello Martello,霸王拳,,패왕권,Kaiserfaust
1045,,D-Granata,毀滅榴彈炮,,D그레네이드,D-Granate
1046,,Soffio a Spirale,螺旋吹襲,,스파이럴 블로우,Spiralschlag
1047,,Elettroshock,百萬爆破,,메가블라스터,Stromschlag
1048,,Cacca Matura,熟成大便,,숙성 응가,Erwachsenenhaufen
1049,,Dumdum Uppercut,達達勾拳,,덤덤 어퍼,Dumdum-Kinnhaken
1050,,Fuoco di Volpe,妖狐火焰,,푸른화염포,Fuchsfeuer
1051,,Fuoco Fatuo,鬼火玉,,귀화옥,Irrlicht
1052,,Fiamma Esausta,排射火炎,,이그저스트 플레임,Flamme löschen
1053,,Data Crusher,資料粉碎者,,데이터 크러셔,Datei-Zerstörer
1054,,Mega Fiamma,超級火焰,,메가파이어,Mega-Flamme
1055,,Chrono Breaker,超時空破碎,,크로노 브레이커,Chronometer
1056,,Artiglio a Forbice,剪刀臂,,시저암즈,Scherenarme
1057,,Symphony Crusher,碰撞交響樂,,크래시 심포니,Melodienanschlag
1058,,Corsa Dorata,黃金榴槤衝刺,,골든 러시,Goldrausch
1059,,Iper Calore,超高熱量,,하이퍼 히트,Megafeuer
1060,,Raggio di Sole,陽光射線,,선샤인 빔,Sonnenstrahl
1061,,Esplosione di Ghiaccio,寒冰箭,,얼음화살,Eisschleuder
1062,,Mega Esplosione,百萬爆破,,메가 버스트,Mega-Explosion
1063,,Cacca,大便,,응가던지기,Kothaufen
1064,,Pioggia di meteoriti,流星風暴,,메테오스 콜,Meteorschauer
1065,,Attacco Spiking,終結刺釘,,스파이킹 피니시,Stechangriff
1066,,Nuvola di Cristallo,冰晶雲,,크리스탈 클라우드,Kristallwolke
1067,,Iper Cannone,高壓加農炮,,기관총팔,Hyperkanone
1068,,Alito di Fuoco,火焰吐息,,불 뿜기,Feuerodem
1069,,Zampa Fulmine,貓貓拳,,고양이 펀치,Blitzpfote
1070,,Artiglio della Morte,死亡之爪,,악마의손길,Todeskralle
1071,,Nebbia di aghi,尖尖碰碰拳,,바늘뿜기,Nadelfeuer
1072,,Power Metal,強力金屬彈,,파워 메탈,Power Metal
1073,,Tuffo nella cacca,糞便灌籃,,운치덩크,Kothaufentaucher
1074,,Lancio di cacca,大便投擲,,응가투척,Kothaufenwurf
1075,,Ala Meteora,隕石巨翼,,메테오윙,Meteorenflügel
1076,,Amuleto della Morte,死亡魅惑,,유령손톱,Todeszauber
1077,,V-Nova Blast,V疾風矢,,브이브레스 애로우,Hörner-Angriff
1078,,Cacca di Metallo Raro,稀有金屬大便,,레어메탈응가,Seltener MetallKothaufen
1079,,Zampa Fulminante,貓貓拳,,고양이 펀치,Blitzpfote
1080,,Getto Super Puzzolente,超惡臭噴射,,초악취 분사,Super-Stinkdüse
1081,,Ala Kunai,苦無羽,,수리검날개,Wurfmesser-Flügel
1082,,Pugno Infuocato,火焰重拳,,불타는 주먹,Feuerfaust
