ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Prologo: EDEN,Prologue 　E‧D‧E‧N,,Prologue,Prolog: EDEN
2,,Capitolo 1: L'Agenzia Investigativa Kuremi,Chapter01　「歡迎光臨暮海偵探事務所」,,Chapter 1,Kapitel 1: „Willkommen im Detektivbüro Kuremi“
3,,Capitolo 2: Alla ricerca del padre (Yuuko),Chapter02　尋找父親　～山科悠子的委託,,Chapter 2,Kapitel 2: Suche nach dem Vater: Yuuko Yamashina
4,,Capitolo 3: Mostri Digitali,Chapter03　數碼寶貝,,Chapter 3,Kapitel 3: Digitales Monster
5,,Capitolo 4: Labirinto Sotterraneo di Shinjuku,Chapter04　新宿地下迷宮“迷途之村”事件,,Chapter 4,Kapitel 4: Der Vorfall im Shinjuku-Labyrinth
6,,Capitolo 5: La Ricerca Continua (Yuuko),Chapter05　尋找父親．續　～神代悠子的委託,,Chapter 5,Kapitel 5: Die Suche geht weiter: Yuuko Kamishiro
7,,Capitolo 6: Scomparizioni ad Akihabara,Chapter06　秋葉原連續“神秘失蹤”事件,,Chapter 6,Kapitel 6: Die Vermissten von Akihabara
8,,Capitolo 7: Capriccio del Pellegrinaggio Demoniaco,Chapter07　惡魔巡禮狂想曲,,Chapter 7,Kapitel 7: Lockruf der Demons
9,,Capitolo 8: Non si fermano le Gale Girls,Chapter08　永不止息的風暴女孩,,Chapter 8,Kapitel 8: Die Gale-Mädchen sind nicht aufzuhalten
10,,Capitolo 9: Il nostro piano generale!,Chapter09　我們的大作戰！,,Chapter 9,Kapitel 9: Unser Masterplan!
11,,Capitolo 10: Verso la terra promessa,Chapter10　前往約定之地,,Chapter 10,Kapitel 10: Zum gelobten Land
12,,Capitolo 11: Paradiso Perduto,Chapter11　失樂園,,Chapter 11,Kapitel 11: Verlorenes Paradies
13,,Capitolo 12: Errante,Chapter12　徬徨,,Chapter 12,Kapitel 12: Auf Wanderschaft
14,,Capitolo 13: Digievoluzione di Tokyo,Chapter13　東京數碼事變,,Chapter 13,Kapitel 13: Tokyos Digifizierung
15,,Capitolo 14: Cos'è la gioventù?,Chapter14　What is a Youth?,,Chapter 14,Kapitel 14: Was ist Jugend?
16,,Capitolo 15: Mondo Parallelo,Chapter15　平行世界,,Chapter 15,Kapitel 15: Parallelwelt
17,,Capitolo 16: Diver City - Isola dei Draghi,Chapter16　DiverCity：Dragons　～棲息著龍的島嶼,,Chapter 16,Kapitel 16: Diver-City: Insel der Drachen
